Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617570000.0 10.0 NA 131 319 0 NA NA NA NA NA NA 1314 1351 0 NA NA NA NA NA NA 9901 15381 2236 NA NA NA NA NA NA 3009 7999 2333 NA NA NA NA NA
1617570000.0 10002.0 NA 225 NA NA NA NA NA NA NA NA 1764 NA NA NA NA NA NA NA NA 6900 NA NA NA NA NA NA NA NA 2383 NA NA NA NA NA NA NA
1617570000.0 10003.0 NA 223 NA NA NA NA NA NA NA NA 1764 NA NA NA NA NA NA NA NA 6864 NA NA NA NA NA NA NA NA 2370 NA NA NA NA NA NA NA
1617570000.0 10009.0 NA 225 NA NA NA NA NA NA NA NA 1764 NA NA NA NA NA NA NA NA 6876 NA NA NA NA NA NA NA NA 2279 NA NA NA NA NA NA NA
1617570000.0 1001.0 NA 287 121 0 0 0 0 0 0 NA 1418 630 0 0 0 0 0 0 NA 12240 2761 326 289 405 1059 435 928 NA 6146 1506 373 335 559 1157 486 971
1617570000.0 1002.0 NA 310 78 NA NA NA NA NA NA NA 1729 622 NA NA NA NA NA NA NA 14109 2503 NA NA NA NA NA NA NA 7805 1193 NA NA NA NA NA NA
1617570000.0 10025.0 NA 226 396 NA NA NA NA NA NA NA 1764 1428 NA NA NA NA NA NA NA 7052 10423 NA NA NA NA NA NA NA 2290 8274 NA NA NA NA NA NA
1617570000.0 10026.0 NA 235 409 0 NA NA NA NA NA NA 1828 1428 0 NA NA NA NA NA NA 7443 10682 2842 NA NA NA NA NA NA 2437 7010 2967 NA NA NA NA NA
1617570000.0 10424.0 NA 187 NA NA NA NA NA NA NA NA 1700 NA NA NA NA NA NA NA NA 3548 NA NA NA NA NA NA NA NA 1558 NA NA NA NA NA NA NA
1617570000.0 107.0 85 114 306 NA NA NA NA NA NA 673 801 1223 NA NA NA NA NA NA 12009 2387 8023 NA NA NA NA NA NA 4068 979 6059 NA NA NA NA NA NA
