Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617487200.0 10224.0 NA 372 582 0 166 NA 778 940 0 338 NA 4679 4575 676 792 NA 2249 4094 1080 1540
1617487200.0 11634.5 NA 291 110 0 NA NA 696 272 0 NA NA 2389 1385 167 NA NA 2110 1837 519 NA
1617487200.0 11634.511 NA 283 107 0 NA NA 763 217 0 NA NA 2419 694 172 NA NA 1929 1447 374 NA
1617487200.0 12634.0 NA 465 708 0 172 NA 960 1139 0 325 NA 5683 5910 1039 954 NA 4972 5645 1949 2068
1617487200.0 1325.517 NA 152 0 NA NA NA 296 0 NA NA NA 1928 187 NA NA NA 2783 553 NA NA
1617487200.0 136.72411 NA 168 0 NA NA NA 298 0 NA NA NA 1929 170 NA NA NA 2486 671 NA NA
1617487200.0 136.76111 NA 165 0 NA NA NA 300 0 NA NA NA 2314 179 NA NA NA 2441 562 NA NA
1617487200.0 136.7803 NA 100 0 NA NA NA 220 0 NA NA NA 861 198 NA NA NA 2006 533 NA NA
1617487200.0 136.88811 NA 169 0 NA NA NA 334 0 NA NA NA 2114 188 NA NA NA 3109 637 NA NA
1617487200.0 312.0 70 173 386 0 NA 174 544 729 0 NA 1064 807 2172 638 NA 1260 954 2759 1139 NA
1617487200.0 4.28 NA 75 289 0 NA NA 141 605 0 NA NA 294 4098 1745 NA NA 728 4734 2343 NA
1617487200.0 4007.0 58 0 0 NA NA 148 0 0 NA NA 737 243 1705 NA NA 1021 751 2844 NA NA
1617487200.0 511.0 41 0 NA NA NA 112 0 NA NA NA 7971 168 NA NA NA 11160 974 NA NA NA
1617487200.0 516.0 18 48 0 NA NA 81 112 0 NA NA 2632 231 157 NA NA 8664 640 704 NA NA
1617487200.0 526.0 18 43 0 NA NA 81 105 0 NA NA 2695 208 156 NA NA 8653 904 642 NA NA
1617487200.0 528.0 18 47 0 NA NA 81 110 0 NA NA 2600 191 153 NA NA 8047 838 350 NA NA
