Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617051600.0 1.0 78 91 185 NA NA NA NA NA NA 217 191 550 NA NA NA NA NA NA 1181 862 1826 NA NA NA NA NA NA 1657 1105 2518 NA NA NA NA NA NA
1617051600.0 10.0 NA 122 308 0 NA NA NA NA NA NA 239 707 0 NA NA NA NA NA NA 2535 4093 496 NA NA NA NA NA NA 1653 3250 631 NA NA NA NA NA
1617051600.0 1000.0 NA 276 141 0 54 NA NA NA NA NA 649 298 0 151 NA NA NA NA NA 3315 1519 376 328 NA NA NA NA NA 2993 2456 635 578 NA NA NA NA
1617051600.0 10001.0 NA 201 370 0 80 142 NA NA NA NA 415 795 0 191 282 NA NA NA NA 2496 2481 624 439 835 NA NA NA NA 1522 3278 1776 896 1115 NA NA NA
1617051600.0 10002.0 NA 199 374 0 80 166 NA NA NA NA 397 783 0 191 332 NA NA NA NA 2540 2474 623 424 699 NA NA NA NA 1359 3397 1332 644 1756 NA NA NA
1617051600.0 10003.0 NA 200 372 0 80 167 NA NA NA NA 406 823 0 190 325 NA NA NA NA 2512 2422 620 544 685 NA NA NA NA 1449 3353 1422 1504 1046 NA NA NA
1617051600.0 10004.0 NA 201 369 0 80 143 NA NA NA NA 397 830 0 190 295 NA NA NA NA 2439 2453 611 659 648 NA NA NA NA 1420 3887 875 1971 1343 NA NA NA
1617051600.0 10005.0 NA 201 369 0 83 162 NA NA NA NA 401 776 0 189 336 NA NA NA NA 2481 2855 631 510 814 NA NA NA NA 1883 4435 1287 1115 1300 NA NA NA
1617051600.0 10006.0 NA 201 364 0 77 136 NA NA NA NA 396 789 0 187 276 NA NA NA NA 2453 2635 617 484 715 NA NA NA NA 1108 4781 1161 907 915 NA NA NA
1617051600.0 10007.0 NA 210 366 0 82 144 NA NA NA NA 395 795 0 192 305 NA NA NA NA 2645 3265 619 397 717 NA NA NA NA 1621 4697 884 546 822 NA NA NA
1617051600.0 10008.0 NA 204 365 0 81 162 NA NA NA NA 385 787 0 186 343 NA NA NA NA 2670 2528 630 516 801 NA NA NA NA 2127 3224 1471 1010 1636 NA NA NA
1617051600.0 10009.0 NA 212 371 0 81 162 NA NA NA NA 392 846 0 189 344 NA NA NA NA 2731 2718 617 424 819 NA NA NA NA 2208 2869 777 610 1365 NA NA NA
1617051600.0 1001.0 NA 260 117 0 0 0 0 0 0 NA 626 235 0 0 0 0 0 0 NA 3177 959 97 72 111 245 136 230 NA 2556 1285 554 491 307 755 326 275
1617051600.0 1001.2 NA 416 145 0 NA NA NA NA NA NA 873 311 0 NA NA NA NA NA NA 14789 2267 115 NA NA NA NA NA NA 7880 1316 557 NA NA NA NA NA
1617051600.0 1002.0 NA 282 71 NA NA NA NA NA NA NA 603 168 NA NA NA NA NA NA NA 3757 403 NA NA NA NA NA NA NA 4609 255 NA NA NA NA NA NA
1617051600.0 10023.0 NA 201 362 0 85 137 NA NA NA NA 398 835 0 190 274 NA NA NA NA 2572 2461 627 445 873 NA NA NA NA 1505 3233 1228 1362 1662 NA NA NA
1617051600.0 10024.0 NA 214 387 0 82 170 NA NA NA NA 403 793 0 190 343 NA NA NA NA 2602 2876 651 414 766 NA NA NA NA 1463 4466 1517 776 951 NA NA NA
1617051600.0 10024.1 NA 223 388 0 NA NA NA NA NA NA 393 835 0 NA NA NA NA NA NA 2745 3311 634 NA NA NA NA NA NA 1383 2722 883 NA NA NA NA NA
1617051600.0 10024.2 NA 224 379 0 NA NA NA NA NA NA 421 829 0 NA NA NA NA NA NA 2503 2747 644 NA NA NA NA NA NA 969 4482 1082 NA NA NA NA NA
1617051600.0 10024.3 NA 219 390 0 NA NA NA NA NA NA 429 807 0 NA NA NA NA NA NA 2562 3004 649 NA NA NA NA NA NA 1265 3853 1227 NA NA NA NA NA
1617051600.0 10024.4 NA 221 387 0 NA NA NA NA NA NA 404 836 0 NA NA NA NA NA NA 2619 2652 639 NA NA NA NA NA NA 1295 3045 833 NA NA NA NA NA
1617051600.0 10024.5 NA 207 381 0 NA NA NA NA NA NA 407 804 0 NA NA NA NA NA NA 2610 2573 644 NA NA NA NA NA NA 1994 2957 1046 NA NA NA NA NA
1617051600.0 10025.0 NA 196 373 0 81 163 NA NA NA NA 407 781 0 191 337 NA NA NA NA 2819 2542 638 425 670 NA NA NA NA 2362 3944 1175 622 881 NA NA NA
1617051600.0 10026.0 NA 218 389 0 82 167 NA NA NA NA 402 792 0 188 342 NA NA NA NA 2717 3095 649 442 826 NA NA NA NA 1454 3547 1101 603 1371 NA NA NA
1617051600.0 1003.0 NA 325 0 NA NA NA NA NA NA NA 739 0 NA NA NA NA NA NA NA 3867 358 NA NA NA NA NA NA NA 3057 484 NA NA NA NA NA NA
1617051600.0 1004.0 NA 200 104 0 0 0 0 NA NA NA 389 204 0 0 0 0 NA NA NA 1735 482 69 101 240 237 NA NA NA 1856 309 175 304 422 305 NA NA
1617051600.0 10042.0 NA 209 374 0 83 164 NA NA NA NA 392 867 0 191 337 NA NA NA NA 2818 2529 665 450 878 NA NA NA NA 2265 3570 1353 991 1459 NA NA NA
1617051600.0 10059.0 NA 227 392 0 83 167 NA NA NA NA 395 845 0 189 333 NA NA NA NA 3077 4017 649 493 700 NA NA NA NA 2561 4096 1797 1250 1649 NA NA NA
1617051600.0 10071.0 NA 209 379 0 84 166 NA NA NA NA 393 843 0 189 348 NA NA NA NA 2621 2813 652 549 833 NA NA NA NA 1803 4375 1391 1246 1501 NA NA NA
1617051600.0 101.0 89 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 781 NA NA NA NA NA NA NA NA 1109 NA NA NA NA NA NA NA NA
1617051600.0 1010.0 NA 38 48 0 NA NA NA NA NA NA 125 155 0 NA NA NA NA NA NA 152 240 154 NA NA NA NA NA NA 934 369 230 NA NA NA NA NA
1617051600.0 102.0 87 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 674 NA NA NA NA NA NA NA NA 926 NA NA NA NA NA NA NA NA
1617051600.0 1020.0 NA 47 32 0 45 NA NA NA NA NA 186 112 0 185 NA NA NA NA NA 308 124 68 299 NA NA NA NA NA 1422 258 148 346 NA NA NA NA
1617051600.0 10224.0 NA 377 603 0 169 NA NA NA NA NA 598 1015 0 340 NA NA NA NA NA 4664 5063 665 729 NA NA NA NA NA 2558 5379 1140 1477 NA NA NA NA
1617051600.0 10224.15 NA 389 602 0 196 NA NA NA NA NA 610 976 0 367 NA NA NA NA NA 4854 4413 672 1300 NA NA NA NA NA 3166 4861 951 2190 NA NA NA NA
1617051600.0 10225.0 NA 346 585 0 174 NA NA NA NA NA 614 976 0 341 NA NA NA NA NA 4688 4599 666 818 NA NA NA NA NA 3083 6874 1015 1240 NA NA NA NA
1617051600.0 103.0 60 0 0 NA NA NA NA NA NA 155 0 0 NA NA NA NA NA NA 850 180 1693 NA NA NA NA NA NA 1610 682 4375 NA NA NA NA NA NA
1617051600.0 1030.0 NA 187 52 0 0 NA NA NA NA NA 444 144 0 0 NA NA NA NA NA 7967 283 69 62 NA NA NA NA NA 3930 336 138 109 NA NA NA NA
1617051600.0 1040.0 NA 368 37 0 NA NA NA NA NA NA 781 116 0 NA NA NA NA NA NA 12057 170 106 NA NA NA NA NA NA 5127 255 145 NA NA NA NA NA
1617051600.0 1040.1 NA 65 38 0 NA NA NA NA NA NA 180 116 0 NA NA NA NA NA NA 433 170 110 NA NA NA NA NA NA 703 264 163 NA NA NA NA NA
1617051600.0 10424.0 NA 176 376 0 NA NA NA NA NA NA 338 790 0 NA NA NA NA NA NA 1091 2630 671 NA NA NA NA NA NA 876 3334 965 NA NA NA NA NA
1617051600.0 105.0 73 92 27 NA NA NA NA NA NA 209 192 120 NA NA NA NA NA NA 1031 599 143 NA NA NA NA NA NA 1202 462 233 NA NA NA NA NA NA
1617051600.0 106.0 58 0 0 NA NA NA NA NA NA 158 0 0 NA NA NA NA NA NA 1103 160 1693 NA NA NA NA NA NA 2344 669 2463 NA NA NA NA NA NA
1617051600.0 107.0 83 97 281 NA NA NA NA NA NA 217 199 642 NA NA NA NA NA NA 2370 947 2505 NA NA NA NA NA NA 2173 930 3759 NA NA NA NA NA NA
1617051600.0 108.0 81 99 289 NA NA NA NA NA NA 222 197 693 NA NA NA NA NA NA 2552 664 2610 NA NA NA NA NA NA 2499 732 3820 NA NA NA NA NA NA
1617051600.0 10801.0 NA 192 363 0 81 164 NA NA NA NA 373 774 0 190 317 NA NA NA NA 2338 2776 627 636 806 NA NA NA NA 1198 3930 2098 2110 1148 NA NA NA
1617051600.0 10802.0 NA 195 364 0 81 169 NA NA NA NA 374 792 0 190 331 NA NA NA NA 2389 2758 634 501 646 NA NA NA NA 2067 3818 1470 884 722 NA NA NA
1617051600.0 10803.0 NA 188 361 0 81 167 NA NA NA NA 361 826 0 189 337 NA NA NA NA 2575 2701 634 800 825 NA NA NA NA 2062 3669 1786 2409 1941 NA NA NA
1617051600.0 10804.0 NA 190 370 0 81 161 NA NA NA NA 401 787 0 190 328 NA NA NA NA 2355 2632 615 529 712 NA NA NA NA 1392 3993 1205 1301 1722 NA NA NA
1617051600.0 10805.0 NA 192 364 0 79 167 NA NA NA NA 369 856 0 181 340 NA NA NA NA 2406 2457 623 507 794 NA NA NA NA 1470 3663 1281 1318 1160 NA NA NA
1617051600.0 10806.0 NA 185 357 0 77 139 NA NA NA NA 373 770 0 180 295 NA NA NA NA 2367 2611 630 431 658 NA NA NA NA 1730 3896 1905 966 1460 NA NA NA
1617051600.0 10807.0 NA 197 364 0 81 151 NA NA NA NA 390 767 0 187 308 NA NA NA NA 2531 2520 626 412 974 NA NA NA NA 1628 3918 1801 667 1478 NA NA NA
1617051600.0 10808.0 NA 210 363 0 81 165 NA NA NA NA 386 792 0 190 341 NA NA NA NA 2512 2584 633 615 915 NA NA NA NA 1996 4156 1343 1574 1106 NA NA NA
1617051600.0 10809.0 NA 208 367 0 81 169 NA NA NA NA 385 783 0 190 337 NA NA NA NA 2546 2649 634 484 898 NA NA NA NA 1696 3689 1652 965 1712 NA NA NA
1617051600.0 10823.0 NA 188 364 0 78 139 NA NA NA NA 387 855 0 181 277 NA NA NA NA 2426 2592 649 415 832 NA NA NA NA 1583 4612 1564 620 1416 NA NA NA
1617051600.0 10824.0 NA 208 375 0 83 172 NA NA NA NA 395 803 0 191 341 NA NA NA NA 2931 2903 652 426 818 NA NA NA NA 2199 4652 1821 692 1280 NA NA NA
1617051600.0 10824.1 NA 199 379 0 NA NA NA NA NA NA 383 838 0 NA NA NA NA NA NA 2529 2829 647 NA NA NA NA NA NA 1108 2450 902 NA NA NA NA NA
1617051600.0 10824.5 NA 194 381 0 NA NA NA NA NA NA 384 815 0 NA NA NA NA NA NA 2569 2778 644 NA NA NA NA NA NA 1095 3295 1089 NA NA NA NA NA
1617051600.0 10824.501 NA 214 90 0 NA NA NA NA NA NA 383 280 0 NA NA NA NA NA NA 2555 909 197 NA NA NA NA NA NA 1574 915 286 NA NA NA NA NA
1617051600.0 10824.511 NA 213 84 0 NA NA NA NA NA NA 374 202 0 NA NA NA NA NA NA 2435 397 169 NA NA NA NA NA NA 1292 565 261 NA NA NA NA NA
1617051600.0 10824.521 NA 203 68 0 NA NA NA NA NA NA 391 178 0 NA NA NA NA NA NA 2676 390 174 NA NA NA NA NA NA 1604 533 263 NA NA NA NA NA
1617051600.0 10824.6 NA 211 382 0 91 169 NA NA NA NA 395 844 0 190 346 NA NA NA NA 2562 2798 650 677 838 NA NA NA NA 1923 2788 1232 2066 1209 NA NA NA
1617051600.0 10824.8 NA 213 379 0 83 169 NA NA NA NA 389 859 0 190 347 NA NA NA NA 2472 2717 664 453 898 NA NA NA NA 1945 3356 2544 1114 2221 NA NA NA
1617051600.0 10825.0 NA 190 374 0 81 169 NA NA NA NA 380 854 0 190 332 NA NA NA NA 2492 2656 645 609 724 NA NA NA NA 1980 3407 1835 1793 1849 NA NA NA
1617051600.0 10826.0 NA 215 385 0 82 171 NA NA NA NA 400 870 0 188 334 NA NA NA NA 2447 2887 650 512 704 NA NA NA NA 1199 3860 1200 1697 1040 NA NA NA
1617051600.0 10842.0 NA 214 377 0 82 170 NA NA NA NA 382 795 0 191 339 NA NA NA NA 2434 2733 647 419 872 NA NA NA NA 1957 2683 1820 644 1521 NA NA NA
1617051600.0 10842.501 NA 212 92 0 NA NA NA NA NA NA 395 280 0 NA NA NA NA NA NA 2485 863 192 NA NA NA NA NA NA 1362 1019 286 NA NA NA NA NA
1617051600.0 10859.0 NA 217 389 0 83 169 NA NA NA NA 380 888 0 187 341 NA NA NA NA 2665 3720 656 574 878 NA NA NA NA 1825 4994 1453 1194 1618 NA NA NA
1617051600.0 10871.0 NA 213 379 0 83 168 NA NA NA NA 378 845 0 192 330 NA NA NA NA 2564 2941 648 595 729 NA NA NA NA 1991 4292 1642 1684 1580 NA NA NA
1617051600.0 109.0 84 99 288 NA NA NA NA NA NA 220 201 623 NA NA NA NA NA NA 2627 1867 2178 NA NA NA NA NA NA 2355 1994 3584 NA NA NA NA NA NA
1617051600.0 11.0 NA 116 298 0 76 NA NA NA NA NA 217 647 0 164 NA NA NA NA NA 1970 2449 561 359 NA NA NA NA NA 1031 1684 1032 447 NA NA NA NA
1617051600.0 110.0 64 91 283 NA NA NA NA NA NA 166 198 697 NA NA NA NA NA NA 809 841 2229 NA NA NA NA NA NA 1407 769 3148 NA NA NA NA NA NA
1617051600.0 1102.0 NA 122 308 151 83 NA NA NA NA NA 240 703 623 198 NA NA NA NA NA 2593 5039 2314 351 NA NA NA NA NA 1571 4103 1123 407 NA NA NA NA
1617051600.0 11024.0 NA 423 679 0 171 NA NA NA NA NA 706 1120 0 345 NA NA NA NA NA 5639 5855 679 814 NA NA NA NA NA 3561 5976 1384 1423 NA NA NA NA
1617051600.0 11024.15 NA 413 715 0 198 NA NA NA NA NA 672 1119 0 371 NA NA NA NA NA 5920 6400 702 898 NA NA NA NA NA 4375 8231 1808 1213 NA NA NA NA
1617051600.0 11024.2 NA 406 694 0 173 NA NA NA NA NA 688 1096 0 348 NA NA NA NA NA 5693 6158 664 847 NA NA NA NA NA 3842 5236 907 931 NA NA NA NA
1617051600.0 11024.3 NA 414 673 0 174 NA NA NA NA NA 706 1114 0 340 NA NA NA NA NA 5707 5924 680 1088 NA NA NA NA NA 3610 5212 2261 1797 NA NA NA NA
1617051600.0 11024.6 NA 408 682 0 171 NA NA NA NA NA 710 1062 0 333 NA NA NA NA NA 6055 6130 674 758 NA NA NA NA NA 4263 6457 1103 1835 NA NA NA NA
1617051600.0 11025.0 NA 405 686 0 169 NA NA NA NA NA 713 1063 0 345 NA NA NA NA NA 6165 5800 691 819 NA NA NA NA NA 5336 6200 1307 981 NA NA NA NA
