Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617487200.0 1.0 77 92 195 NA NA NA NA 214 185 537 NA NA NA NA 1374 879 1880 NA NA NA NA 2235 1411 2497 NA NA NA NA
1617487200.0 10.0 NA 122 305 0 NA NA NA NA 252 657 0 NA NA NA NA 2261 3930 538 NA NA NA NA 1064 3208 968 NA NA NA
1617487200.0 10001.0 NA 192 368 0 80 142 NA NA 384 838 0 187 279 NA NA 2694 2795 663 517 1331 NA NA 2641 2982 1321 1850 2839 NA
1617487200.0 10002.0 NA 199 369 0 81 167 NA NA 403 816 0 188 342 NA NA 2602 2735 664 645 892 NA NA 1238 3530 1407 1283 1467 NA
1617487200.0 10003.0 NA 201 370 0 96 166 NA NA 384 847 0 190 341 NA NA 2518 2542 656 402 901 NA NA 2032 3272 1945 1382 1519 NA
1617487200.0 10005.0 NA 199 367 0 81 167 NA NA 399 761 0 188 346 NA NA 2548 2752 663 420 915 NA NA 1180 2885 1404 1039 1522 NA
1617487200.0 10007.0 NA 205 368 0 81 147 NA NA 385 789 0 185 314 NA NA 2714 3060 667 437 798 NA NA 1646 3615 962 615 855 NA
1617487200.0 10008.0 NA 214 368 0 81 160 NA NA 411 768 0 190 329 NA NA 2694 2591 681 426 758 NA NA 1894 2980 2305 820 2081 NA
1617487200.0 1002.0 NA 287 72 NA NA NA NA NA 707 169 NA NA NA NA NA 3698 396 NA NA NA NA NA 4229 333 NA NA NA NA
1617487200.0 10024.1 NA 223 386 0 NA NA NA NA 429 871 0 NA NA NA NA 2561 2635 662 NA NA NA NA 1097 2391 1166 NA NA NA
1617487200.0 10024.2 NA 223 386 0 NA NA NA NA 422 859 0 NA NA NA NA 2654 2674 675 NA NA NA NA 1297 3127 773 NA NA NA
1617487200.0 10024.4 NA 224 380 0 NA NA NA NA 411 778 0 NA NA NA NA 2660 2943 670 NA NA NA NA 1378 2943 834 NA NA NA
1617487200.0 10024.5 NA 224 387 0 NA NA NA NA 428 841 0 NA NA NA NA 2603 2948 677 NA NA NA NA 1125 2315 955 NA NA NA
1617487200.0 10025.0 NA 198 377 0 89 165 NA NA 393 804 0 188 340 NA NA 2793 3165 695 427 840 NA NA 1417 3933 1965 492 947 NA
1617487200.0 1003.0 NA 324 0 NA NA NA NA NA 829 0 NA NA NA NA NA 3863 366 NA NA NA NA NA 3398 551 NA NA NA NA
1617487200.0 1004.0 NA 209 91 0 0 0 0 NA 390 203 0 0 0 0 NA 1864 600 81 108 249 241 NA 3761 1081 633 310 462 369
1617487200.0 10042.0 NA 213 377 0 83 167 NA NA 397 823 0 189 342 NA NA 2833 2732 669 451 957 NA NA 2195 3259 1584 968 1815 NA
1617487200.0 10059.0 NA 213 391 0 100 169 NA NA 398 802 0 187 338 NA NA 2952 3671 684 476 788 NA NA 2288 4407 895 858 1729 NA
1617487200.0 10071.0 NA 200 381 0 98 165 NA NA 391 781 0 191 342 NA NA 2596 3263 679 417 803 NA NA 1664 6274 2084 733 995 NA
1617487200.0 101.0 86 NA NA NA NA NA NA 213 NA NA NA NA NA NA 806 NA NA NA NA NA NA 1724 NA NA NA NA NA NA
1617487200.0 1010.0 NA 36 52 0 NA NA NA NA 125 155 0 NA NA NA NA 158 267 150 NA NA NA NA 1236 527 280 NA NA NA
1617487200.0 102.0 88 NA NA NA NA NA NA 213 NA NA NA NA NA NA 697 NA NA NA NA NA NA 1370 NA NA NA NA NA NA
1617487200.0 1020.0 NA 45 35 0 46 NA NA NA 185 112 0 187 NA NA NA 332 139 73 313 NA NA NA 1072 663 186 1201 NA NA
1617487200.0 10224.0 NA 380 597 0 169 NA NA NA 596 929 0 347 NA NA NA 4688 4674 701 790 NA NA NA 3267 5621 1286 834 NA NA
1617487200.0 10224.15 NA 373 613 0 195 NA NA NA 633 1008 0 364 NA NA NA 4744 5213 701 884 NA NA NA 3773 6599 1591 952 NA NA
1617487200.0 10225.0 NA 366 599 0 171 NA NA NA 599 1077 0 334 NA NA NA 4641 4950 681 732 NA NA NA 3471 6482 1146 1255 NA NA
1617487200.0 103.0 59 0 0 NA NA NA NA 160 0 0 NA NA NA NA 640 137 1651 NA NA NA NA 791 546 2835 NA NA NA NA
1617487200.0 1030.0 NA 189 58 0 0 NA NA NA 395 147 0 0 NA NA NA 8127 276 72 75 NA NA NA 3136 477 160 259 NA NA
1617487200.0 1040.0 NA 368 35 0 NA NA NA NA 893 116 0 NA NA NA NA 12368 185 120 NA NA NA NA 5213 490 451 NA NA NA
1617487200.0 1040.1 NA 67 37 0 NA NA NA NA 180 116 0 NA NA NA NA 421 179 122 NA NA NA NA 980 558 303 NA NA NA
1617487200.0 10424.0 NA 176 373 0 NA NA NA NA 328 778 0 NA NA NA NA 1272 2595 680 NA NA NA NA 1788 4829 937 NA NA NA
1617487200.0 105.0 75 97 30 NA NA NA NA 210 192 120 NA NA NA NA 1259 671 156 NA NA NA NA 1168 649 382 NA NA NA NA
1617487200.0 106.0 57 0 0 NA NA NA NA 155 0 0 NA NA NA NA 805 145 1732 NA NA NA NA 953 511 3627 NA NA NA NA
1617487200.0 108.0 84 100 287 NA NA NA NA 220 197 629 NA NA NA NA 2591 1059 2623 NA NA NA NA 1717 787 2843 NA NA NA NA
1617487200.0 10801.0 NA 185 370 0 80 160 NA NA 384 766 0 189 316 NA NA 2670 3212 658 545 870 NA NA 2056 3862 865 915 1201 NA
1617487200.0 10802.0 NA 194 366 0 84 182 NA NA 374 806 0 190 342 NA NA 2363 2689 665 419 887 NA NA 1650 4043 1451 750 1002 NA
1617487200.0 10803.0 NA 186 378 0 98 171 NA NA 380 837 0 189 330 NA NA 2578 2705 656 510 707 NA NA 2270 4236 1619 1347 918 NA
1617487200.0 10805.0 NA 185 369 0 78 169 NA NA 371 820 0 187 341 NA NA 2998 2696 663 647 894 NA NA 2469 3502 1370 1479 1102 NA
1617487200.0 10807.0 NA 198 365 0 82 149 NA NA 400 790 0 190 305 NA NA 2522 3387 673 543 712 NA NA 1565 4707 1089 752 1514 NA
1617487200.0 10808.0 NA 200 372 0 81 163 NA NA 384 825 0 192 339 NA NA 2893 3014 666 476 860 NA NA 2335 3823 2349 802 1332 NA
1617487200.0 10809.0 NA 199 371 0 81 163 NA NA 371 850 0 191 340 NA NA 2739 2798 668 460 889 NA NA 1948 4600 1254 704 1387 NA
1617487200.0 10823.0 NA 190 363 0 81 142 NA NA 384 788 0 190 278 NA NA 2422 2589 671 496 758 NA NA 2286 3544 1351 1265 1218 NA
1617487200.0 10824.0 NA 210 381 0 82 172 NA NA 397 854 0 188 343 NA NA 2625 2711 681 436 869 NA NA 2095 3516 1603 838 1454 NA
1617487200.0 10824.1 NA 212 381 0 NA NA NA NA 398 809 0 NA NA NA NA 2464 2773 681 NA NA NA NA 1889 3960 965 NA NA NA
1617487200.0 10824.5 NA 214 380 0 NA NA NA NA 404 849 0 NA NA NA NA 2530 2898 668 NA NA NA NA 1421 3113 823 NA NA NA
1617487200.0 10824.501 NA 214 108 0 NA NA NA NA 400 272 0 NA NA NA NA 2410 789 205 NA NA NA NA 914 908 339 NA NA NA
1617487200.0 10824.511 NA 193 73 0 NA NA NA NA 388 200 0 NA NA NA NA 2712 450 177 NA NA NA NA 1361 1016 342 NA NA NA
1617487200.0 10824.521 NA 215 80 0 NA NA NA NA 394 179 0 NA NA NA NA 2394 404 185 NA NA NA NA 1090 695 605 NA NA NA
1617487200.0 10824.6 NA 213 382 0 85 172 NA NA 418 821 0 188 336 NA NA 2599 3416 692 593 766 NA NA 1304 4512 1565 1178 939 NA
1617487200.0 10824.8 NA 202 376 0 83 170 NA NA 388 784 0 192 342 NA NA 2509 2629 679 666 801 NA NA 1870 3761 1408 1832 1028 NA
1617487200.0 10825.0 NA 198 376 0 83 168 NA NA 377 808 0 190 341 NA NA 2443 2947 686 406 816 NA NA 1144 3894 1536 640 993 NA
1617487200.0 10826.0 NA 215 389 0 83 171 NA NA 399 846 0 189 341 NA NA 2623 3294 681 523 891 NA NA 2449 3774 964 769 1213 NA
1617487200.0 10842.0 NA 206 373 0 82 173 NA NA 398 782 0 190 342 NA NA 2623 3830 685 479 872 NA NA 2042 4921 993 955 1398 NA
1617487200.0 10842.501 NA 207 93 0 NA NA NA NA 397 272 0 NA NA NA NA 2490 754 218 NA NA NA NA 1302 917 650 NA NA NA
1617487200.0 10859.0 NA 218 391 0 100 169 NA NA 417 817 0 189 346 NA NA 2668 3468 685 487 836 NA NA 2363 4919 1622 1141 1738 NA
1617487200.0 10871.0 NA 218 385 0 92 169 NA NA 390 819 0 189 345 NA NA 2559 3042 697 465 844 NA NA 1178 3951 1057 755 923 NA
1617487200.0 11.0 NA 106 295 0 71 NA NA NA 213 645 0 163 NA NA NA 1829 2360 581 341 NA NA NA 963 3793 1000 471 NA NA
1617487200.0 110.0 64 107 283 NA NA NA NA 163 192 620 NA NA NA NA 840 626 2159 NA NA NA NA 1825 563 3033 NA NA NA NA
1617487200.0 11024.0 NA 415 695 0 173 NA NA NA 711 1171 0 344 NA NA NA 5757 6313 698 794 NA NA NA 3967 6492 1312 814 NA NA
1617487200.0 11024.15 NA 405 698 0 197 NA NA NA 653 1114 0 375 NA NA NA 6055 5906 698 959 NA NA NA 3993 7563 1418 2004 NA NA
1617487200.0 11024.2 NA 407 691 0 171 NA NA NA 687 1172 0 345 NA NA NA 5790 5751 710 824 NA NA NA 4362 6536 1494 872 NA NA
1617487200.0 11024.3 NA 385 670 0 170 NA NA NA 650 1025 0 345 NA NA NA 5801 5817 699 885 NA NA NA 3697 6077 852 1215 NA NA
1617487200.0 11024.6 NA 407 649 0 173 NA NA NA 735 1042 0 342 NA NA NA 5841 5730 716 796 NA NA NA 3900 6257 1860 949 NA NA
1617487200.0 11025.0 NA 433 666 0 174 NA NA NA 677 1038 0 346 NA NA NA 5800 5619 700 846 NA NA NA 3181 6446 1457 1625 NA NA
1617487200.0 111.0 64 92 277 NA NA NA NA 190 194 622 NA NA NA NA 1140 572 2222 NA NA NA NA 2024 1140 4001 NA NA NA NA
1617487200.0 112.0 82 95 286 NA NA NA NA 219 191 668 NA NA NA NA 1895 648 2079 NA NA NA NA 1004 494 1940 NA NA NA NA
1617487200.0 11224.0 NA 172 372 0 NA NA NA NA 335 816 0 NA NA NA NA 1742 2804 675 NA NA NA NA 1157 2758 852 NA NA NA
1617487200.0 11224.6 NA 176 377 0 NA NA NA NA 340 746 0 NA NA NA NA 1105 2633 682 NA NA NA NA 518 4548 941 NA NA NA
1617487200.0 113.0 83 96 291 NA NA NA NA 221 200 630 NA NA NA NA 1920 651 2310 NA NA NA NA 1697 637 3078 NA NA NA NA
1617487200.0 114.0 76 95 285 NA NA NA NA 212 191 677 NA NA NA NA 2187 774 2186 NA NA NA NA 1635 1001 3127 NA NA NA NA
1617487200.0 115.0 86 97 292 NA NA NA NA 222 192 667 NA NA NA NA 2343 746 2443 NA NA NA NA 1698 523 3072 NA NA NA NA
1617487200.0 116.0 84 99 287 NA NA NA NA 232 197 677 NA NA NA NA 2195 720 2110 NA NA NA NA 1246 543 2166 NA NA NA NA
1617487200.0 11601.0 NA 255 451 0 90 NA NA NA 468 858 0 203 NA NA NA 2305 3133 911 903 NA NA NA 3771 5262 1968 1136 NA NA
1617487200.0 11602.0 NA 261 454 0 90 NA NA NA 479 787 0 199 NA NA NA 2492 4208 915 947 NA NA NA 3864 6843 1717 1242 NA NA
1617487200.0 11603.0 NA 266 457 0 91 NA NA NA 492 800 0 198 NA NA NA 2370 3351 928 1009 NA NA NA 3536 6021 1511 1348 NA NA
