Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617368400.0 1.0 89 111 240 NA NA NA NA NA NA 1045 1290 1369 NA NA NA NA NA NA 3771 2223 2469 NA NA NA NA NA NA 2146 777 1620 NA NA NA NA NA NA
1617368400.0 10.0 NA 138 341 0 NA NA NA NA NA NA 1320 1486 0 NA NA NA NA NA NA 11675 13733 1337 NA NA NA NA NA NA 3443 7213 1376 NA NA NA NA NA
1617368400.0 1000.0 NA 342 191 0 65 NA NA NA NA NA 1444 1165 0 968 NA NA NA NA NA 14791 5856 1145 695 NA NA NA NA NA 6774 3214 1194 545 NA NA NA NA
1617368400.0 10001.0 NA 224 410 0 118 227 NA NA NA NA 1423 1631 0 1011 1194 NA NA NA NA 12768 9060 2233 1273 1518 NA NA NA NA 3586 6353 2269 805 1387 NA NA NA
1617368400.0 10002.0 NA 223 413 0 122 234 NA NA NA NA 1435 1631 0 1009 1216 NA NA NA NA 11931 8990 2651 1343 1565 NA NA NA NA 3306 6291 2702 855 1419 NA NA NA
1617368400.0 10003.0 NA 242 414 0 125 239 NA NA NA NA 1483 1618 0 1009 1223 NA NA NA NA 11772 9187 1978 1338 1725 NA NA NA NA 3313 6502 2017 883 1601 NA NA NA
1617368400.0 10004.0 NA 240 413 0 116 211 NA NA NA NA 1536 1605 0 1009 1178 NA NA NA NA 11978 8900 2384 1256 1481 NA NA NA NA 3365 6565 2523 810 1363 NA NA NA
1617368400.0 10005.0 NA 227 411 0 99 233 NA NA NA NA 1458 1594 0 1007 1216 NA NA NA NA 12068 9119 1895 1097 2086 NA NA NA NA 3394 6293 1931 724 1782 NA NA NA
1617368400.0 10006.0 NA 223 412 0 92 204 NA NA NA NA 1472 1606 0 996 1170 NA NA NA NA 11876 9355 1562 1073 1531 NA NA NA NA 3381 6677 1588 682 1860 NA NA NA
1617368400.0 10007.0 NA 244 419 0 126 212 NA NA NA NA 1466 1604 0 1011 1176 NA NA NA NA 12367 8558 2303 1381 1298 NA NA NA NA 3436 6379 2352 905 1177 NA NA NA
1617368400.0 10008.0 NA 244 417 0 120 236 NA NA NA NA 1490 1611 0 1011 1214 NA NA NA NA 11973 8592 2386 1409 1591 NA NA NA NA 3356 6209 2437 928 1458 NA NA NA
1617368400.0 10009.0 NA 232 410 0 121 231 NA NA NA NA 1421 1605 0 1009 1215 NA NA NA NA 12536 9487 1897 1051 1564 NA NA NA NA 3522 6609 1932 677 1432 NA NA NA
1617368400.0 1001.0 NA 317 142 0 0 0 0 0 0 NA 1420 1047 0 0 0 0 0 0 NA 7327 2298 211 140 333 991 237 800 NA 3321 1188 273 214 407 1065 262 820
1617368400.0 1001.2 NA 442 156 0 NA NA NA NA NA NA 1711 1131 0 NA NA NA NA NA NA 58255 10017 197 NA NA NA NA NA NA 17461 4107 218 NA NA NA NA NA
1617368400.0 1002.0 NA 324 85 NA NA NA NA NA NA NA 1499 1006 NA NA NA NA NA NA NA 11414 1232 NA NA NA NA NA NA NA 6435 606 NA NA NA NA NA NA
1617368400.0 10023.0 NA 236 415 0 114 209 NA NA NA NA 1495 1616 0 999 1176 NA NA NA NA 12480 8859 2178 1254 1482 NA NA NA NA 3508 6201 2219 847 1389 NA NA NA
1617368400.0 10024.0 NA 242 421 0 96 241 NA NA NA NA 1439 1628 0 1014 1215 NA NA NA NA 12405 9010 2756 1456 1491 NA NA NA NA 3429 6243 2809 922 1783 NA NA NA
