Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617570000.0 101.0 113 NA NA NA NA 1023 NA NA NA NA 1894 NA NA NA NA 1936 NA NA NA NA
1617570000.0 1010.0 NA 53 85 0 NA NA 951 958 0 NA NA 211 659 296 NA NA 283 509 322 NA
1617570000.0 102.0 110 NA NA NA NA 1023 NA NA NA NA 1718 NA NA NA NA 1760 NA NA NA NA
1617570000.0 1020.0 NA 49 54 0 48 NA 1004 926 0 1009 NA 721 166 63 955 NA 515 198 83 597
1617570000.0 1040.1 NA 87 46 0 NA NA 1034 931 0 NA NA 1070 183 186 NA NA 885 212 212 NA
1617570000.0 11646.0 NA 327 503 NA NA NA 1597 1603 NA NA NA 6657 11962 NA NA NA 3877 8646 NA NA
1617570000.0 1325.51 NA 188 0 NA NA NA 1166 0 NA NA NA 4559 251 NA NA NA 2978 287 NA NA
1617570000.0 1325.516 NA 188 0 NA NA NA 1165 0 NA NA NA 6095 427 NA NA NA 4320 459 NA NA
1617570000.0 1325.517 NA 191 0 NA NA NA 1177 0 NA NA NA 4971 235 NA NA NA 3030 265 NA NA
1617570000.0 136.72411 NA 198 0 NA NA NA 1173 0 NA NA NA 4587 264 NA NA NA 2925 292 NA NA
1617570000.0 136.76111 NA 198 0 NA NA NA 1184 0 NA NA NA 4992 240 NA NA NA 3037 274 NA NA
1617570000.0 136.77211 NA 196 0 NA NA NA 1190 0 NA NA NA 4648 246 NA NA NA 2776 274 NA NA
1617570000.0 136.7801 NA 128 0 NA NA NA 1057 0 NA NA NA 1291 502 NA NA NA 1124 551 NA NA
1617570000.0 136.7802 NA 93 0 NA NA NA 1012 0 NA NA NA 860 235 NA NA NA 915 265 NA NA
1617570000.0 136.7803 NA 133 0 NA NA NA 1082 0 NA NA NA 1672 333 NA NA NA 1502 364 NA NA
1617570000.0 136.8311 NA 196 0 NA NA NA 1168 0 NA NA NA 5496 238 NA NA NA 3176 268 NA NA
1617570000.0 136.83111 NA 195 0 NA NA NA 1201 0 NA NA NA 6543 239 NA NA NA 4110 275 NA NA
1617570000.0 136.8861 NA 127 536 0 NA NA 1087 1739 0 NA NA 2475 66776 2467 NA NA 990 22001 2525 NA
1617570000.0 136.88811 NA 207 0 NA NA NA 1189 0 NA NA NA 4284 311 NA NA NA 2510 347 NA NA
1617570000.0 144.6 NA 327 NA NA NA NA 1492 NA NA NA NA 7143 NA NA NA NA 4201 NA NA NA
1617570000.0 2017.9 1005 0 148 NA NA 2382 0 1081 NA NA 3685 872 1514 NA NA 2079 914 1091 NA NA
1617570000.0 503.0 55 0 NA NA NA 938 0 NA NA NA 2987 289 NA NA NA 1644 328 NA NA NA
1617570000.0 504.0 63 0 NA NA NA 943 0 NA NA NA 443 343 NA NA NA 386 374 NA NA NA
1617570000.0 505.0 61 0 NA NA NA 947 0 NA NA NA 388 197 NA NA NA 396 230 NA NA NA
1617570000.0 506.0 71 0 NA NA NA 947 0 NA NA NA 296 194 NA NA NA 285 225 NA NA NA
1617570000.0 507.0 53 0 NA NA NA 939 0 NA NA NA 2175 283 NA NA NA 1268 318 NA NA NA
1617570000.0 508.0 57 0 NA NA NA 939 0 NA NA NA 432 363 NA NA NA 421 397 NA NA NA
1617570000.0 509.0 56 0 NA NA NA 938 0 NA NA NA 282 214 NA NA NA 275 245 NA NA NA
1617570000.0 510.0 54 0 NA NA NA 943 0 NA NA NA 3439 287 NA NA NA 1924 321 NA NA NA
1617570000.0 511.0 61 0 NA NA NA 953 0 NA NA NA 21302 247 NA NA NA 21701 276 NA NA NA
1617570000.0 531.0 78 0 NA NA NA 1053 0 NA NA NA 258 364 NA NA NA 282 389 NA NA NA
1617570000.0 541.0 67 0 NA NA NA 961 0 NA NA NA 474 246 NA NA NA 410 278 NA NA NA
1617570000.0 545.0 89 0 NA NA NA 957 0 NA NA NA 768 326 NA NA NA 585 356 NA NA NA
1617570000.0 546.0 75 69 NA NA NA 947 1003 NA NA NA 360 380 NA NA NA 371 400 NA NA NA
1617570000.0 560.0 54 0 NA NA NA 940 0 NA NA NA 460 296 NA NA NA 423 323 NA NA NA
1617570000.0 561.0 75 0 NA NA NA 943 0 NA NA NA 442 325 NA NA NA 401 355 NA NA NA
