Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617487200.0 1325.0 NA 161 253 0 67 NA 224 315 0 108 NA 493 1012 1173 104 NA 821 1089 1210 184
1617487200.0 133.0 56 83 194 NA NA 100 148 254 NA NA 4371 295 459 NA NA 4603 343 516 NA NA
1617487200.0 134.702 NA 40 228 0 NA NA 77 298 0 NA NA 130 4287 373 NA NA 157 4619 415 NA
1617487200.0 134.703 NA 41 234 0 NA NA 82 312 0 NA NA 127 4332 380 NA NA 154 4655 412 NA
1617487200.0 134.705 NA 45 237 0 NA NA 82 314 0 NA NA 137 4511 365 NA NA 150 4645 397 NA
1617487200.0 134.903 NA 36 225 0 NA NA 83 301 0 NA NA 144 3657 367 NA NA 158 4194 399 NA
1617487200.0 134.904 NA 42 228 0 NA NA 81 300 0 NA NA 151 4351 364 NA NA 163 4478 397 NA
1617487200.0 134.907 NA 75 244 0 NA NA 141 314 0 NA NA 432 3952 370 NA NA 463 4488 390 NA
1617487200.0 134.909 NA 41 224 0 NA NA 82 293 0 NA NA 139 3763 368 NA NA 167 4076 388 NA
1617487200.0 134.99602 NA 33 226 0 NA NA 81 302 0 NA NA 147 3479 363 NA NA 164 3982 388 NA
1617487200.0 136.722 NA 157 264 0 NA NA 235 346 0 NA NA 2828 6213 724 NA NA 3284 6307 745 NA
1617487200.0 136.723 NA 169 251 0 NA NA 230 325 0 NA NA 2710 6127 748 NA NA 2798 6251 764 NA
1617487200.0 136.725 NA 171 276 0 NA NA 231 356 0 NA NA 2611 6233 738 NA NA 2724 6316 754 NA
1617487200.0 136.726 NA 162 252 0 NA NA 231 335 0 NA NA 2955 6435 689 NA NA 3407 6553 720 NA
1617487200.0 136.727 NA 186 266 0 NA NA 283 341 0 NA NA 2810 6005 754 NA NA 3247 6090 776 NA
1617487200.0 136.728 NA 187 259 0 NA NA 279 343 0 NA NA 3064 6512 709 NA NA 3531 6614 744 NA
1617487200.0 136.729 NA 160 252 0 NA NA 227 325 0 NA NA 2567 6220 744 NA NA 3015 6331 768 NA
1617487200.0 136.73 NA 164 269 0 NA NA 224 359 0 NA NA 2776 6191 766 NA NA 3229 6272 786 NA
1617487200.0 136.731 NA 164 278 0 NA NA 235 363 0 NA NA 2819 6373 723 NA NA 3278 6467 752 NA
1617487200.0 136.734 NA 161 250 0 NA NA 230 326 0 NA NA 2766 6188 748 NA NA 3229 6284 767 NA
1617487200.0 145.0 NA 227 280 0 NA NA 305 359 0 NA NA 2299 2068 166 NA NA 2470 2256 183 NA
1617487200.0 25.0 NA 80 213 0 82 NA 146 274 0 124 NA 1687 2001 422 88 NA 1715 2053 440 101
1617487200.0 250402.0 229 0 108 NA NA 312 0 157 NA NA 1018 230 432 NA NA 1167 251 508 NA NA
1617487200.0 250403.0 229 0 107 NA NA 312 0 156 NA NA 857 216 377 NA NA 980 232 444 NA NA
1617487200.0 25210.0 66 208 323 0 NA 156 274 404 0 NA 2879 1711 2329 1196 NA 4624 2152 2718 1245 NA
1617487200.0 280.0 58 77 190 0 NA 169 148 253 0 NA 3936 281 363 359 NA 4011 322 409 383 NA
1617487200.0 3.0 56 73 133 NA NA 101 146 187 NA NA 5130 209 728 NA NA 5245 231 769 NA NA
1617487200.0 302.0 80 207 284 0 NA 136 278 356 0 NA 1643 840 1449 167 NA 1859 1023 1680 188 NA
1617487200.0 39.0 NA 80 203 0 NA NA 146 259 0 NA NA 1704 3060 425 NA NA 1737 3124 452 NA
1617487200.0 4.41 NA 37 218 0 NA NA 73 291 0 NA NA 118 3668 339 NA NA 128 3713 375 NA
1617487200.0 4.42 NA 38 223 0 NA NA 74 299 0 NA NA 120 4468 350 NA NA 139 4529 379 NA
1617487200.0 4.53 NA 37 220 0 NA NA 73 299 0 NA NA 123 4748 355 NA NA 138 4813 394 NA
1617487200.0 4.78 NA 45 222 0 NA NA 82 292 0 NA NA 105 3688 351 NA NA 112 3745 374 NA
