Timestamp WorkflowId PeakValueRss1 PeakValueVsize1 TotalJobCPU1 TotalJobTime1
1617656400.0 1360.0 0 0 2023 1538
1617656400.0 1361.0 0 0 780 768
1617656400.0 1361.17 0 0 2001 1438
1617656400.0 1361.18 0 0 894 1027
1617656400.0 1361.181 0 0 904 1026
1617656400.0 1362.0 0 0 771 747
1617656400.0 1362.17 0 0 1055 1434
1617656400.0 1362.18 0 0 1865 1585
1617656400.0 1363.0 0 0 1383 752
1617656400.0 1363.17 0 0 905 1030
1617656400.0 1363.18 0 0 1045 1423
1617656400.0 25210.0 0 0 965 762
1617656400.0 25211.0 0 0 776 769
1617656400.0 25211.17 0 0 1435 792
1617656400.0 25211.18 0 0 1429 775
1617656400.0 25212.0 0 0 1417 769
1617656400.0 25212.17 0 0 1435 770
1617656400.0 25212.18 0 0 1398 761
1617656400.0 25213.0 0 0 751 745
1617656400.0 25213.17 0 0 804 768
1617656400.0 25213.18 0 0 763 761
1617656400.0 515.0 0 0 94 112
1617656400.0 528.0 0 0 102 111
1617656400.0 547.0 0 0 130 123
