Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617094800.0 1.0 534 172 932 NA NA NA NA 681 578 1317 NA NA NA NA 2871 1188 2291 NA NA NA NA 1241 499 1496 NA NA NA NA
1617094800.0 10001.0 NA 1080 796 0 159 943 NA NA 1547 1582 0 589 1036 NA NA 2909 3306 1202 811 1046 NA NA 932 2392 1252 706 993 NA
1617094800.0 10002.0 NA 1385 463 0 153 833 NA NA 1547 1479 0 589 1216 NA NA 2910 3367 979 570 1094 NA NA 958 2405 1027 531 1013 NA
1617094800.0 10006.0 NA 683 NA NA NA NA NA NA 1548 NA NA NA NA NA NA 3069 NA NA NA NA NA NA 972 NA NA NA NA NA
1617094800.0 10008.0 NA 1458 856 0 246 1035 NA NA 1715 1543 0 589 1215 NA NA 2954 3316 1177 630 1013 NA NA 945 2373 1228 542 923 NA
1617094800.0 1001.2 NA 565 215 0 NA NA NA NA 2112 721 0 NA NA NA NA 32572 7002 181 NA NA NA NA 10184 2779 208 NA NA NA
1617094800.0 1002.0 NA 669 241 NA NA NA NA NA 1847 625 NA NA NA NA NA 6182 1300 NA NA NA NA NA 3223 576 NA NA NA NA
1617094800.0 10024.2 NA 703 1037 0 NA NA NA NA 1715 1543 0 NA NA NA NA 3485 3857 1043 NA NA NA NA 1098 2554 1095 NA NA NA
1617094800.0 10024.3 NA 648 801 0 NA NA NA NA 1651 1543 0 NA NA NA NA 3164 3971 1036 NA NA NA NA 1036 2689 1073 NA NA NA
1617094800.0 10024.4 NA 343 509 0 NA NA NA NA 1716 1543 0 NA NA NA NA 3269 3777 1041 NA NA NA NA 1044 2530 1073 NA NA NA
1617094800.0 10024.5 NA 590 886 0 NA NA NA NA 1651 1543 0 NA NA NA NA 3536 3937 1036 NA NA NA NA 1161 2681 1078 NA NA NA
1617094800.0 10025.0 NA 1395 471 0 198 481 NA NA 1612 1478 0 589 1217 NA NA 2984 3491 1017 581 981 NA NA 941 2438 1077 508 981 NA
1617094800.0 1003.0 NA 486 0 NA NA NA NA NA 1711 0 NA NA NA NA NA 6469 554 NA NA NA NA NA 2865 590 NA NA NA NA
1617094800.0 1004.0 NA 336 527 0 0 0 0 NA 1196 592 0 0 0 0 NA 2087 686 99 173 339 278 NA 1306 394 113 195 358 296
1617094800.0 101.0 313 NA NA NA NA NA NA 458 NA NA NA NA NA NA 1465 NA NA NA NA NA NA 1531 NA NA NA NA NA NA
1617094800.0 1010.0 NA 118 424 0 NA NA NA NA 1102 588 0 NA NA NA NA 256 447 255 NA NA NA NA 364 426 277 NA NA NA
1617094800.0 102.0 323 NA NA NA NA NA NA 458 NA NA NA NA NA NA 1202 NA NA NA NA NA NA 1250 NA NA NA NA NA NA
1617094800.0 1020.0 NA 1041 183 0 927 NA NA NA 1105 585 0 1105 NA NA NA 510 230 111 539 NA NA NA 393 266 132 434 NA NA
1617094800.0 10224.0 NA 778 729 0 689 NA NA NA 1919 2277 0 1217 NA NA NA 10671 7245 1062 1046 NA NA NA 3442 3898 1106 956 NA NA
1617094800.0 10224.15 NA 421 915 0 1004 NA NA NA 1920 2290 0 1220 NA NA NA 11103 6837 1080 1237 NA NA NA 3508 3673 1127 1083 NA NA
1617094800.0 103.0 67 0 0 NA NA NA NA 681 0 0 NA NA NA NA 1314 210 2351 NA NA NA NA 901 210 2156 NA NA NA NA
1617094800.0 1040.1 NA 165 531 0 NA NA NA NA 1104 585 0 NA NA NA NA 557 229 180 NA NA NA NA 730 241 198 NA NA NA
1617094800.0 10424.0 NA 653 701 0 NA NA NA NA 1587 1504 0 NA NA NA NA 1435 4079 1043 NA NA NA NA 611 2705 1093 NA NA NA
1617094800.0 105.0 620 525 335 NA NA NA NA 681 579 484 NA NA NA NA 2143 973 238 NA NA NA NA 1166 388 274 NA NA NA NA
1617094800.0 106.0 170 0 0 NA NA NA NA 681 0 0 NA NA NA NA 1746 193 2455 NA NA NA NA 842 195 2164 NA NA NA NA
1617094800.0 107.0 532 534 1068 NA NA NA NA 681 579 1337 NA NA NA NA 4553 885 3489 NA NA NA NA 1591 345 2469 NA NA NA NA
1617094800.0 108.0 358 261 1030 NA NA NA NA 681 578 1401 NA NA NA NA 5196 1082 3395 NA NA NA NA 1825 426 2453 NA NA NA NA
1617094800.0 10805.0 NA 1030 779 0 106 698 NA NA 1547 1479 0 589 1216 NA NA 2733 3384 1234 716 1048 NA NA 893 2376 1300 623 984 NA
1617094800.0 10807.0 NA 1490 1081 0 NA NA NA NA 1651 1479 0 NA NA NA NA 2863 3392 1020 NA NA NA NA 981 2397 1055 NA NA NA
1617094800.0 10809.0 NA 246 622 0 147 1034 NA NA 1651 1542 0 589 1215 NA NA 2926 4426 1152 569 988 NA NA 949 3093 1252 510 985 NA
1617094800.0 10824.5 NA 1034 873 0 NA NA NA NA 1651 1478 0 NA NA NA NA 3056 4068 1026 NA NA NA NA 1000 2738 1061 NA NA NA
1617094800.0 10824.501 NA 424 329 0 NA NA NA NA 1715 667 0 NA NA NA NA 3033 1876 338 NA NA NA NA 991 1111 366 NA NA NA
1617094800.0 10824.511 NA 561 401 0 NA NA NA NA 1651 605 0 NA NA NA NA 3224 689 288 NA NA NA NA 1098 637 314 NA NA NA
1617094800.0 10824.521 NA 805 471 0 NA NA NA NA 1651 605 0 NA NA NA NA 3388 730 338 NA NA NA NA 1109 682 368 NA NA NA
1617094800.0 10842.501 NA 1036 314 0 NA NA NA NA 1651 667 0 NA NA NA NA 3035 1485 313 NA NA NA NA 1081 866 347 NA NA NA
1617094800.0 109.0 177 406 410 NA NA NA NA 681 578 1338 NA NA NA NA 4692 1246 3510 NA NA NA NA 1678 472 2532 NA NA NA NA
1617094800.0 11.0 NA 179 340 0 528 NA NA NA 1094 924 0 588 NA NA NA 3974 3817 889 467 NA NA NA 1285 2379 940 416 NA NA
1617094800.0 110.0 126 524 666 NA NA NA NA 680 578 1440 NA NA NA NA 1309 828 3077 NA NA NA NA 821 341 2345 NA NA NA NA
1617094800.0 11024.0 NA 506 801 0 1096 NA NA NA 2073 2443 0 1217 NA NA NA 13197 11903 1156 1144 NA NA NA 4228 6632 1200 1045 NA NA
1617094800.0 11024.15 NA 449 802 0 664 NA NA NA 2073 2444 0 1218 NA NA NA 12750 10682 1284 1251 NA NA NA 4141 5003 1342 1096 NA NA
1617094800.0 11024.2 NA 453 1093 0 740 NA NA NA 1996 2546 0 1216 NA NA NA 12285 9156 1241 1158 NA NA NA 3780 4418 1285 1047 NA NA
1617094800.0 11024.6 NA 440 1423 0 737 NA NA NA 2150 2444 0 1217 NA NA NA 11862 9861 1357 1073 NA NA NA 4107 4678 1417 980 NA NA
1617094800.0 11025.0 NA 519 728 0 603 NA NA NA 1996 2456 0 1217 NA NA NA 11293 9823 1139 1094 NA NA NA 3875 4794 1187 1014 NA NA
1617094800.0 111.0 305 255 606 NA NA NA NA 681 578 1337 NA NA NA NA 2087 719 3005 NA NA NA NA 975 321 2310 NA NA NA NA
1617094800.0 112.0 163 523 971 NA NA NA NA 681 579 1337 NA NA NA NA 3829 903 3221 NA NA NA NA 1393 361 2396 NA NA NA NA
1617094800.0 11224.0 NA 957 793 0 NA NA NA NA 1588 1466 0 NA NA NA NA 1456 3951 1031 NA NA NA NA 614 2649 1075 NA NA NA
1617094800.0 11224.6 NA 603 517 0 NA NA NA NA 1587 1468 0 NA NA NA NA 1205 3741 1069 NA NA NA NA 506 2519 1106 NA NA NA
1617094800.0 113.0 253 438 635 NA NA NA NA 681 579 1337 NA NA NA NA 3105 1015 3238 NA NA NA NA 1413 395 2312 NA NA NA NA
1617094800.0 114.0 624 526 1007 NA NA NA NA 681 578 1440 NA NA NA NA 3831 899 3379 NA NA NA NA 1377 357 2407 NA NA NA NA
1617094800.0 115.0 396 458 604 NA NA NA NA 681 578 1402 NA NA NA NA 3613 1052 3391 NA NA NA NA 1611 419 2396 NA NA NA NA
1617094800.0 116.0 618 528 603 NA NA NA NA 681 578 1337 NA NA NA NA 3737 981 3372 NA NA NA NA 1489 391 2457 NA NA NA NA
1617094800.0 11602.0 NA 960 853 0 524 NA NA NA 1702 1533 0 653 NA NA NA 2522 5540 1842 830 NA NA NA 1599 4067 1890 720 NA NA
1617094800.0 11634.1 NA 772 606 0 NA NA NA NA 1818 813 0 NA NA NA NA 2925 2220 814 NA NA NA NA 1717 1294 848 NA NA NA
1617094800.0 11634.5 NA 470 506 0 NA NA NA NA 1742 731 0 NA NA NA NA 3390 2462 317 NA NA NA NA 1984 1664 344 NA NA NA
1617094800.0 11634.501 NA 921 551 0 NA NA NA NA 1742 731 0 NA NA NA NA 3289 1303 321 NA NA NA NA 1920 980 352 NA NA NA
1617094800.0 11634.511 NA 327 441 0 NA NA NA NA 1806 669 0 NA NA NA NA 3546 979 283 NA NA NA NA 1983 908 306 NA NA NA
1617094800.0 11634.521 NA 572 558 0 NA NA NA NA 1742 669 0 NA NA NA NA 3563 942 285 NA NA NA NA 2152 886 311 NA NA NA
1617094800.0 11634.911 81 332 549 0 519 NA NA 683 1226 1533 0 653 NA NA 11199 5866 8489 3068 1710 NA NA 3265 2864 5023 3131 1122 NA NA
1617094800.0 11650.501 NA 723 151 0 NA NA NA NA 1805 731 0 NA NA NA NA 2924 1620 321 NA NA NA NA 1786 1052 360 NA NA NA
1617094800.0 11650.911 575 654 NA NA NA NA NA 682 1354 NA NA NA NA NA 6761 4263 NA NA NA NA NA 2158 2063 NA NA NA NA NA
1617094800.0 11834.0 NA 738 1002 0 1046 NA NA NA 2331 2765 0 1216 NA NA NA 13029 16222 2046 1191 NA NA NA 5424 7312 2097 1085 NA NA
1617094800.0 11834.13 NA 1480 1443 0 1052 NA NA NA 2331 3048 0 1216 NA NA NA 14952 23596 1593 1234 NA NA NA 5706 8790 1639 1105 NA NA
1617094800.0 11834.24 NA 1499 1379 0 795 NA NA NA 2253 2547 0 1217 NA NA NA 14324 8240 1463 1208 NA NA NA 5573 4360 1510 1096 NA NA
1617094800.0 11834.99 NA 1209 1055 1239 0 644 NA NA 1912 2471 1763 0 1216 NA NA 13085 13225 15518 2426 1277 NA NA 4788 4782 6486 2465 1169 NA
1617094800.0 11846.0 NA 1276 1083 0 690 NA NA NA 2419 2830 0 1217 NA NA NA 13922 18729 1778 1235 NA NA NA 5786 7757 1825 1115 NA NA
1617094800.0 119.0 400 525 505 NA NA NA NA 681 579 1337 NA NA NA NA 3773 922 3149 NA NA NA NA 1418 370 2382 NA NA NA NA
1617094800.0 11925.0 NA 1379 1882 0 1041 NA NA NA 2355 2739 0 1217 NA NA NA 15210 16080 1543 1246 NA NA NA 5867 6847 1590 1130 NA NA
1617094800.0 120.0 212 541 1060 NA NA NA NA 680 578 1440 NA NA NA NA 1629 835 3172 NA NA NA NA 768 339 2349 NA NA NA NA
1617094800.0 122.0 258 167 620 NA NA NA NA 681 578 1337 NA NA NA NA 2081 728 3177 NA NA NA NA 1079 318 2375 NA NA NA NA
1617094800.0 123.1 500 NA NA NA NA NA NA 987 NA NA NA NA NA NA 2365 NA NA NA NA NA NA 1386 NA NA NA NA NA NA
1617094800.0 123.2 635 NA NA NA NA NA NA 1051 NA NA NA NA NA NA 2453 NA NA NA NA NA NA 1457 NA NA NA NA NA NA
1617094800.0 123.3 622 NA NA NA NA NA NA 922 NA NA NA NA NA NA 2034 NA NA NA NA NA NA 1309 NA NA NA NA NA NA
1617094800.0 124.1 524 NA NA NA NA NA NA 986 NA NA NA NA NA NA 1882 NA NA NA NA NA NA 1226 NA NA NA NA NA NA
1617094800.0 124.2 478 NA NA NA NA NA NA 988 NA NA NA NA NA NA 2214 NA NA NA NA NA NA 1377 NA NA NA NA NA NA
1617094800.0 124.4 599 NA NA NA NA NA NA 986 NA NA NA NA NA NA 2038 NA NA NA NA NA NA 1299 NA NA NA NA NA NA
1617094800.0 124.5 588 NA NA NA NA NA NA 1050 NA NA NA NA NA NA 2126 NA NA NA NA NA NA 1365 NA NA NA NA NA NA
