Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617138000.0 1.0 83 104 222 NA NA NA NA NA NA 680 577 1314 NA NA NA NA NA NA 6084 2079 5566 NA NA NA NA NA NA 2794 1003 3861 NA NA NA NA NA NA
1617138000.0 10.0 NA 135 327 0 NA NA NA NA NA NA 1090 1398 0 NA NA NA NA NA NA 9624 16314 2343 NA NA NA NA NA NA 3030 8453 2528 NA NA NA NA NA
1617138000.0 1000.0 NA 674 346 0 532 NA NA NA NA NA 1496 1178 0 585 NA NA NA NA NA 5936 2954 589 746 NA NA NA NA NA 2572 1431 634 673 NA NA NA NA
1617138000.0 10001.0 NA 214 NA NA NA NA NA NA NA NA 1606 NA NA NA NA NA NA NA NA 7820 NA NA NA NA NA NA NA NA 2554 NA NA NA NA NA NA NA
1617138000.0 10002.0 NA 216 NA NA NA NA NA NA NA NA 1542 NA NA NA NA NA NA NA NA 9495 NA NA NA NA NA NA NA NA 3085 NA NA NA NA NA NA NA
1617138000.0 10003.0 NA 213 NA NA NA NA NA NA NA NA 1542 NA NA NA NA NA NA NA NA 7889 NA NA NA NA NA NA NA NA 2633 NA NA NA NA NA NA NA
1617138000.0 10004.0 NA 212 NA NA NA NA NA NA NA NA 1543 NA NA NA NA NA NA NA NA 7978 NA NA NA NA NA NA NA NA 2609 NA NA NA NA NA NA NA
1617138000.0 10005.0 NA 212 NA NA NA NA NA NA NA NA 1543 NA NA NA NA NA NA NA NA 7763 NA NA NA NA NA NA NA NA 2586 NA NA NA NA NA NA NA
1617138000.0 10006.0 NA 216 392 0 100 198 NA NA NA NA 1607 1412 0 588 1032 NA NA NA NA 7697 8446 2855 1401 2472 NA NA NA NA 2516 6409 3012 1259 2329 NA NA NA
1617138000.0 10007.0 NA 219 NA NA NA NA NA NA NA NA 1646 NA NA NA NA NA NA NA NA 8405 NA NA NA NA NA NA NA NA 2740 NA NA NA NA NA NA NA
1617138000.0 10008.0 NA 229 NA NA NA NA NA NA NA NA 1645 NA NA NA NA NA NA NA NA 7959 NA NA NA NA NA NA NA NA 2616 NA NA NA NA NA NA NA
1617138000.0 10009.0 NA 803 689 0 547 987 NA NA NA NA 1715 1479 0 589 1215 NA NA NA NA 2949 3424 982 524 1446 NA NA NA NA 946 2386 1030 477 1545 NA NA NA
1617138000.0 1001.0 NA 280 141 0 0 0 0 0 0 NA 1491 656 0 0 0 0 0 0 NA 13386 3002 356 307 423 934 467 961 NA 6606 1732 394 359 489 1001 515 1026
1617138000.0 1001.2 NA 1233 577 0 NA NA NA NA NA NA 2112 721 0 NA NA NA NA NA NA 28467 6658 169 NA NA NA NA NA NA 8519 2721 200 NA NA NA NA NA
1617138000.0 1002.0 NA 937 526 NA NA NA NA NA NA NA 1911 625 NA NA NA NA NA NA NA 5965 1398 NA NA NA NA NA NA NA 3314 812 NA NA NA NA NA NA
1617138000.0 10023.0 NA 215 395 0 91 198 NA NA NA NA 1606 1540 0 588 1110 NA NA NA NA 7880 8714 2831 1458 2506 NA NA NA NA 2606 6398 2924 1332 2640 NA NA NA
1617138000.0 10024.0 NA 235 407 0 91 235 NA NA NA NA 1709 1540 0 588 1213 NA NA NA NA 10238 9438 2939 1597 2963 NA NA NA NA 3286 6575 3049 1369 2773 NA NA NA
1617138000.0 10024.1 NA 240 408 0 NA NA NA NA NA NA 1709 1541 0 NA NA NA NA NA NA 8204 9779 2982 NA NA NA NA NA NA 2654 6844 3119 NA NA NA NA NA
