Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1617487200.0 10806.0 NA 401 NA 1547 NA 3348 NA 1147
1617487200.0 11634.91 NA 664 NA 1743 NA 3454 NA 2062
1617487200.0 136.768 NA 212 NA 1520 NA 1637 NA 635
1617487200.0 136.816 NA 172 NA 1583 NA 1541 NA 722
1617487200.0 136.867 NA 272 NA 1519 NA 1417 NA 623
1617487200.0 137.8 NA 132 NA 1519 NA 1593 NA 722
1617487200.0 4.17 NA 453 NA 1082 NA 544 NA 316
1617487200.0 4.28 NA 526 NA 1146 NA 563 NA 664
1617487200.0 4.74 NA 427 NA 1082 NA 583 NA 345
1617487200.0 512.0 0 NA 0 NA 163 NA 167 NA
1617487200.0 522.0 0 NA 0 NA 130 NA 148 NA
1617487200.0 548.0 0 NA 0 NA 171 NA 173 NA
