Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617570000.0 10001.0 NA 213 NA NA NA NA NA 1606 NA NA NA NA NA 7886 NA NA NA NA NA 2687 NA NA NA NA
1617570000.0 10002.0 NA 224 NA NA NA NA NA 1543 NA NA NA NA NA 9335 NA NA NA NA NA 2970 NA NA NA NA
1617570000.0 10003.0 NA 729 501 0 147 432 NA 1611 1519 0 589 1217 NA 2939 3575 1191 735 1030 NA 1019 2520 1252 647 962
1617570000.0 10004.0 NA 1371 902 0 91 1031 NA 1547 1710 0 589 1138 NA 2930 3383 1417 616 993 NA 967 2506 1494 540 938
1617570000.0 10005.0 NA 216 NA NA NA NA NA 1606 NA NA NA NA NA 7910 NA NA NA NA NA 2630 NA NA NA NA
1617570000.0 10008.0 NA 233 NA NA NA NA NA 1708 NA NA NA NA NA 8326 NA NA NA NA NA 2728 NA NA NA NA
1617570000.0 10025.0 NA 220 NA NA NA NA NA 1606 NA NA NA NA NA 8201 NA NA NA NA NA 2694 NA NA NA NA
1617570000.0 10224.0 NA 1586 NA NA NA NA NA 1842 NA NA NA NA NA 10221 NA NA NA NA NA 3296 NA NA NA NA
1617570000.0 10802.0 NA 215 393 NA NA NA NA 1542 1542 NA NA NA NA 8421 8442 NA NA NA NA 2746 6625 NA NA NA
1617570000.0 10804.0 NA 207 NA NA NA NA NA 1606 NA NA NA NA NA 7637 NA NA NA NA NA 2531 NA NA NA NA
1617570000.0 10805.0 NA 1098 NA NA NA NA NA 1547 NA NA NA NA NA 2780 NA NA NA NA NA 927 NA NA NA NA
1617570000.0 10807.0 NA 222 NA NA NA NA NA 1644 NA NA NA NA NA 7789 NA NA NA NA NA 2631 NA NA NA NA
1617570000.0 10808.0 NA 222 NA NA NA NA NA 1708 NA NA NA NA NA 8936 NA NA NA NA NA 2925 NA NA NA NA
1617570000.0 10809.0 NA 224 NA NA NA NA NA 1644 NA NA NA NA NA 8025 NA NA NA NA NA 2674 NA NA NA NA
1617570000.0 10824.5 NA 402 NA NA NA NA NA 1650 NA NA NA NA NA 3448 NA NA NA NA NA 1123 NA NA NA NA
1617570000.0 10824.6 NA 233 NA NA NA NA NA 1708 NA NA NA NA NA 8572 NA NA NA NA NA 2811 NA NA NA NA
1617570000.0 10825.0 NA 215 NA NA NA NA NA 1542 NA NA NA NA NA 8073 NA NA NA NA NA 2620 NA NA NA NA
1617570000.0 10826.0 NA 236 NA NA NA NA NA 1708 NA NA NA NA NA 8413 NA NA NA NA NA 2763 NA NA NA NA
1617570000.0 10842.0 NA 214 NA NA NA NA NA 1708 NA NA NA NA NA 9352 NA NA NA NA NA 2974 NA NA NA NA
1617570000.0 11603.0 NA 314 NA NA NA NA NA 1698 NA NA NA NA NA 6893 NA NA NA NA NA 4536 NA NA NA NA
1617570000.0 11646.0 NA 313 NA NA NA NA NA 1634 NA NA NA NA NA 7199 NA NA NA NA NA 4711 NA NA NA NA
1617570000.0 11834.0 NA 1123 1306 0 941 NA NA 2255 2550 0 1216 NA NA 15169 16820 1702 1141 NA NA 5678 7141 1797 1038 NA
1617570000.0 11834.99 NA 791 820 1197 0 944 NA 1836 2268 1687 0 1216 NA 14286 14593 15978 2181 1174 NA 4957 5162 6820 2249 1056
1617570000.0 11846.0 NA 845 1437 0 1040 NA NA 2331 2640 0 1216 NA NA 13800 15470 1815 1155 NA NA 5644 6750 1878 1045 NA
1617570000.0 11925.0 NA 882 1421 0 1008 NA NA 2331 2742 0 1217 NA NA 15767 14462 1708 1178 NA NA 5930 6524 1760 1057 NA
