Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617656400.0 10001.0 NA 212 NA NA 1606 NA NA 7747 NA NA 2545 NA
1617656400.0 10002.0 NA 211 NA NA 1543 NA NA 8323 NA NA 2674 NA
1617656400.0 10005.0 NA 213 391 NA 1606 1542 NA 7848 8147 NA 2716 6289
1617656400.0 10008.0 NA 221 NA NA 1708 NA NA 8061 NA NA 2623 NA
1617656400.0 10009.0 NA 225 NA NA 1708 NA NA 7904 NA NA 2625 NA
1617656400.0 10025.0 NA 216 NA NA 1607 NA NA 8054 NA NA 2608 NA
1617656400.0 10802.0 NA 204 NA NA 1542 NA NA 7718 NA NA 2540 NA
1617656400.0 10803.0 NA 206 NA NA 1542 NA NA 7610 NA NA 2577 NA
1617656400.0 10804.0 NA 204 NA NA 1542 NA NA 7606 NA NA 2492 NA
1617656400.0 10805.0 NA 205 NA NA 1606 NA NA 7610 NA NA 2526 NA
1617656400.0 10808.0 NA 212 NA NA 1644 NA NA 8075 NA NA 2621 NA
1617656400.0 10824.0 NA 214 NA NA 1644 NA NA 7914 NA NA 2629 NA
1617656400.0 10842.0 NA 215 NA NA 1644 NA NA 8072 NA NA 2611 NA
1617656400.0 11603.0 NA 306 NA NA 1698 NA NA 6827 NA NA 4470 NA
1617656400.0 11604.0 NA 289 485 NA 1698 1531 NA 6623 10076 NA 4368 7752
1617656400.0 11605.0 NA 291 NA NA 1698 NA NA 6734 NA NA 4405 NA
1617656400.0 11607.0 NA 300 NA NA 1737 NA NA 6796 NA NA 4442 NA
1617656400.0 11608.0 NA 298 NA NA 1800 NA NA 6721 NA NA 4539 NA
1617656400.0 11609.0 NA 300 NA NA 1736 NA NA 6939 NA NA 4456 NA
1617656400.0 11650.0 NA 304 494 NA 1800 1403 NA 7131 11307 NA 4504 8793
1617656400.0 1319.0 NA 153 NA NA 1478 NA NA 3031 NA NA 1388 NA
1617656400.0 1325.9 NA 183 NA NA 1644 NA NA 3768 NA NA 1525 NA
1617656400.0 1329.0 NA 151 NA NA 1541 NA NA 3053 NA NA 1352 NA
1617656400.0 1330.0 NA 165 NA NA 1644 NA NA 3184 NA NA 1372 NA
1617656400.0 134.705 NA 55 NA NA 1078 NA NA 1496 NA NA 756 NA
1617656400.0 134.802 NA 45 NA NA 1096 NA NA 2019 NA NA 1078 NA
1617656400.0 134.803 NA 40 321 NA 1096 1395 NA 2012 9076 NA 1084 6691
1617656400.0 134.804 NA 39 NA NA 1096 NA NA 1959 NA NA 1052 NA
1617656400.0 134.807 NA 141 NA NA 1160 NA NA 7226 NA NA 3001 NA
1617656400.0 134.902 NA 43 325 NA 1096 1394 NA 1880 9659 NA 1009 7038
1617656400.0 1356.0 89 148 NA 680 1028 NA 11072 3071 NA 4114 1345 NA
1617656400.0 136.726 NA 90 NA NA 1513 NA NA 3892 NA NA 1671 NA
1617656400.0 136.728 NA 190 NA NA 1577 NA NA 10828 NA NA 4019 NA
1617656400.0 136.729 NA 97 NA NA 1512 NA NA 3586 NA NA 1676 NA
1617656400.0 136.73 NA 91 NA NA 1512 NA NA 3764 NA NA 1652 NA
1617656400.0 136.737 NA 93 NA NA 1512 NA NA 3574 NA NA 1573 NA
1617656400.0 136.763 NA 96 NA NA 1518 NA NA 1855 NA NA 703 NA
1617656400.0 136.769 NA 97 362 NA 1512 1331 NA 3582 9819 NA 1554 6821
