Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1616886000.0 1.0 75 122 183 NA NA NA NA NA NA 193 585 293 NA NA NA NA NA NA 1616 420 1198 NA NA NA NA NA NA 1565 803 3213 NA NA NA NA NA NA
1616886000.0 10.0 NA 128 293 0 NA NA NA NA NA NA 587 451 0 NA NA NA NA NA NA 2062 3143 536 NA NA NA NA NA NA 2227 3784 973 NA NA NA NA NA
1616886000.0 1000.0 NA 281 156 0 55 NA NA NA NA NA 456 270 0 100 NA NA NA NA NA 2334 1079 648 260 NA NA NA NA NA 2728 1952 978 862 NA NA NA NA
1616886000.0 10001.0 NA 159 352 0 70 NA NA NA NA NA 601 535 0 132 NA NA NA NA NA 515 1703 903 517 NA NA NA NA NA 666 3000 1406 1202 NA NA NA NA
1616886000.0 10002.0 NA 169 351 0 70 NA NA NA NA NA 557 553 0 123 NA NA NA NA NA 508 1722 898 234 NA NA NA NA NA 542 2749 1179 646 NA NA NA NA
1616886000.0 10003.0 NA 162 352 0 70 NA NA NA NA NA 605 560 0 135 NA NA NA NA NA 526 1749 919 228 NA NA NA NA NA 561 2558 1301 465 NA NA NA NA
1616886000.0 10004.0 NA 155 348 0 70 NA NA NA NA NA 560 545 0 127 NA NA NA NA NA 515 1694 895 232 NA NA NA NA NA 1598 3442 1317 1101 NA NA NA NA
1616886000.0 10005.0 NA 156 351 0 69 NA NA NA NA NA 557 548 0 133 NA NA NA NA NA 523 1703 887 516 NA NA NA NA NA 1504 2674 1277 1117 NA NA NA NA
1616886000.0 10006.0 NA 156 356 0 71 NA NA NA NA NA 554 551 0 134 NA NA NA NA NA 533 1685 882 349 NA NA NA NA NA 1595 2859 1085 644 NA NA NA NA
1616886000.0 10007.0 NA 160 351 0 69 NA NA NA NA NA 558 538 0 133 NA NA NA NA NA 535 1724 896 233 NA NA NA NA NA 766 2694 1458 1044 NA NA NA NA
1616886000.0 10008.0 NA 158 353 0 70 NA NA NA NA NA 562 569 0 132 NA NA NA NA NA 532 1750 894 236 NA NA NA NA NA 2444 4855 1443 996 NA NA NA NA
1616886000.0 10009.0 NA 159 356 0 70 NA NA NA NA NA 602 524 0 126 NA NA NA NA NA 531 1780 893 341 NA NA NA NA NA 777 3075 1445 611 NA NA NA NA
1616886000.0 1001.0 NA 253 114 0 0 0 0 0 0 NA 382 171 0 0 0 0 0 0 NA 2112 574 91 71 110 239 115 241 NA 1848 1203 376 403 370 443 424 827
1616886000.0 1001.2 NA 379 136 0 NA NA NA NA NA NA 658 214 0 NA NA NA NA NA NA 12378 1541 112 NA NA NA NA NA NA 5311 1257 579 NA NA NA NA NA
1616886000.0 1002.0 NA 297 70 NA NA NA NA NA NA NA 437 135 NA NA NA NA NA NA NA 2939 355 NA NA NA NA NA NA NA 3317 348 NA NA NA NA NA NA
1616886000.0 10023.0 NA 157 347 0 70 NA NA NA NA NA 606 555 0 131 NA NA NA NA NA 529 1698 890 354 NA NA NA NA NA 1869 3306 1102 743 NA NA NA NA
1616886000.0 10024.0 NA 169 370 0 71 NA NA NA NA NA 604 566 0 129 NA NA NA NA NA 610 1973 920 245 NA NA NA NA NA 609 4281 1317 1136 NA NA NA NA
1616886000.0 10024.1 NA 166 201 0 NA NA NA NA NA NA 559 348 0 NA NA NA NA NA NA 632 734 318 NA NA NA NA NA NA 2486 2122 423 NA NA NA NA NA
1616886000.0 10024.2 NA 166 365 0 NA NA NA NA NA NA 606 546 0 NA NA NA NA NA NA 608 1970 900 NA NA NA NA NA NA 1918 3522 1117 NA NA NA NA NA
1616886000.0 10024.3 NA 167 174 0 NA NA NA NA NA NA 605 335 0 NA NA NA NA NA NA 639 731 295 NA NA NA NA NA NA 1246 3535 484 NA NA NA NA NA
1616886000.0 10024.4 NA 169 366 0 NA NA NA NA NA NA 555 545 0 NA NA NA NA NA NA 604 1945 900 NA NA NA NA NA NA 1144 2917 1411 NA NA NA NA NA
1616886000.0 10024.5 NA 171 150 0 NA NA NA NA NA NA 603 239 0 NA NA NA NA NA NA 643 440 130 NA NA NA NA NA NA 667 864 339 NA NA NA NA NA
1616886000.0 10025.0 NA 161 356 0 71 NA NA NA NA NA 604 537 0 124 NA NA NA NA NA 559 1798 919 238 NA NA NA NA NA 2137 3137 1192 1183 NA NA NA NA
