Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617487200.0 1004.0 NA 208 96 0 0 0 0 NA 314 167 0 0 0 0 NA 1416 439 118 185 403 395 NA 2895 1027 323 382 656 583
1617487200.0 103.0 42 0 0 NA NA NA NA 97 0 0 NA NA NA NA 655 374 2416 NA NA NA NA 1432 570 3135 NA NA NA NA
1617487200.0 1040.0 NA 336 24 0 NA NA NA NA 741 74 0 NA NA NA NA 21633 215 181 NA NA NA NA 8988 388 323 NA NA NA
1617487200.0 107.0 79 108 269 NA NA NA NA 206 583 581 NA NA NA NA 4118 790 2896 NA NA NA NA 3551 683 3898 NA NA NA NA
1617487200.0 10824.1 NA 304 194 0 NA NA NA NA 634 373 0 NA NA NA NA 4624 1497 575 NA NA NA NA 4824 1929 779 NA NA NA
1617487200.0 10824.5 NA 313 168 0 NA NA NA NA 679 250 0 NA NA NA NA 4446 922 237 NA NA NA NA 3276 1326 470 NA NA NA
1617487200.0 11.0 NA 116 275 0 63 NA NA NA 598 668 0 117 NA NA NA 2593 2704 1023 536 NA NA NA 1536 2335 1570 714 NA NA
1617487200.0 112.0 80 119 261 NA NA NA NA 201 582 627 NA NA NA NA 3689 778 2819 NA NA NA NA 3559 696 3647 NA NA NA NA
1617487200.0 114.0 74 112 276 NA NA NA NA 199 582 626 NA NA NA NA 3650 784 2864 NA NA NA NA 3108 753 3712 NA NA NA NA
1617487200.0 115.0 70 110 273 NA NA NA NA 202 584 641 NA NA NA NA 4467 768 2803 NA NA NA NA 3395 820 3180 NA NA NA NA
1617487200.0 119.0 77 108 264 NA NA NA NA 200 582 633 NA NA NA NA 2788 769 2812 NA NA NA NA 2891 795 3950 NA NA NA NA
1617487200.0 120.0 54 103 257 NA NA NA NA 143 584 631 NA NA NA NA 851 739 2760 NA NA NA NA 1607 1036 3822 NA NA NA NA
1617487200.0 126.0 56 105 263 NA NA NA NA 158 583 624 NA NA NA NA 2233 725 2785 NA NA NA NA 2634 679 3726 NA NA NA NA
1617487200.0 127.0 57 120 262 NA NA NA NA 127 585 615 NA NA NA NA 1576 711 2728 NA NA NA NA 2287 653 3709 NA NA NA NA
1617487200.0 128.0 54 105 258 NA NA NA NA 126 585 609 NA NA NA NA 803 703 2718 NA NA NA NA 1554 598 3848 NA NA NA NA
1617487200.0 130.0 56 105 263 NA NA NA NA 129 584 591 NA NA NA NA 901 724 2764 NA NA NA NA 1573 788 4032 NA NA NA NA
1617487200.0 1301.0 62 140 183 NA NA NA NA 157 554 572 NA NA NA NA 1967 1042 1859 NA NA NA NA 2192 605 2605 NA NA NA NA
1617487200.0 1308.0 NA 141 145 39 0 NA NA NA 506 258 92 0 NA NA NA 943 827 229 438 NA NA NA 1181 1458 512 710 NA NA
