Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617699600.0 103.0 42 0 0 98 0 0 418 200 1418 1079 494 2311
1617699600.0 107.0 80 112 266 205 538 617 2161 470 1684 1581 984 2403
1617699600.0 113.0 79 117 265 205 584 601 1914 469 1658 1383 1281 2454
1617699600.0 115.0 72 120 263 202 584 590 2153 499 1692 2050 1129 3166
1617699600.0 120.0 58 134 260 126 547 619 528 432 1576 1503 1215 3104
1617699600.0 122.0 41 0 0 97 0 0 421 202 1432 1087 491 2978
1617699600.0 128.0 57 142 261 128 581 623 516 426 1592 1572 872 3868
1617699600.0 129.0 57 139 258 133 581 608 529 422 1579 1668 553 3639
1617699600.0 130.0 59 148 262 129 581 609 559 434 1603 1113 720 3793
1617699600.0 131.0 59 153 258 131 584 609 976 435 1598 1038 552 3236
1617699600.0 20261.97 674 NA NA 1011 NA NA 8435 NA NA 5916 NA NA
1617699600.0 4001.0 NA 174 339 NA 612 698 NA 874 2389 NA 1480 3819
1617699600.0 4008.0 41 0 0 97 0 0 417 202 1430 936 532 3803
1617699600.0 555.0 14 33 0 61 89 0 4913 205 142 7063 562 559
