Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617397200.0 1.0 153 212 361 NA NA NA NA NA NA 2097340 2097310 2097420 NA NA NA NA NA NA 2548 1741 3055 NA NA NA NA NA NA 3631 1901 3891 NA NA NA NA NA NA
1617397200.0 10.0 NA 257 565 0 NA NA NA NA NA NA 2097330 2097530 0 NA NA NA NA NA NA 6821 13263 1362 NA NA NA NA NA NA 4132 11957 2018 NA NA NA NA NA
1617397200.0 1000.0 NA 530 266 0 164 NA NA NA NA NA 2097470 2097370 0 2097300 NA NA NA NA NA 9736 3519 986 664 NA NA NA NA NA 10129 4830 1569 1185 NA NA NA NA
1617397200.0 10001.0 NA 341 611 0 183 296 NA NA NA NA 2097370 2097530 0 2097320 2097420 NA NA NA NA 6233 5901 2417 959 1718 NA NA NA NA 4934 8686 4071 1460 3028 NA NA NA
1617397200.0 10002.0 NA 340 611 0 182 284 NA NA NA NA 2097370 2097530 0 2097320 2097420 NA NA NA NA 6197 5566 2414 893 1904 NA NA NA NA 4748 7496 4565 1475 3424 NA NA NA
1617397200.0 10003.0 NA 338 630 0 182 285 NA NA NA NA 2097380 2097540 0 2097320 2097410 NA NA NA NA 6111 5698 2396 943 1865 NA NA NA NA 4520 6638 4748 1516 3305 NA NA NA
1617397200.0 10004.0 NA 332 623 0 183 300 NA NA NA NA 2097380 2097530 0 2097320 2097420 NA NA NA NA 5853 5442 2295 872 1738 NA NA NA NA 4412 8009 4728 1546 3391 NA NA NA
1617397200.0 10005.0 NA 333 614 0 182 295 NA NA NA NA 2097370 2097530 0 2097320 2097410 NA NA NA NA 5831 5142 2282 921 2120 NA NA NA NA 4304 7962 3934 1608 3328 NA NA NA
1617397200.0 10006.0 NA 328 606 0 178 277 NA NA NA NA 2097370 2097530 0 2097320 2097390 NA NA NA NA 5964 4842 2302 960 1841 NA NA NA NA 4750 7301 4287 1826 3216 NA NA NA
1617397200.0 10007.0 NA 356 642 0 182 278 NA NA NA NA 2097380 2097530 0 2097320 2097420 NA NA NA NA 6330 5764 2447 943 1698 NA NA NA NA 4215 6740 3692 1558 2909 NA NA NA
1617397200.0 10008.0 NA 356 623 0 182 281 NA NA NA NA 2097380 2097540 0 2097320 2097410 NA NA NA NA 5854 5626 2317 1082 1933 NA NA NA NA 4075 7133 3944 2235 3487 NA NA NA
1617397200.0 10009.0 NA 362 630 0 180 283 NA NA NA NA 2097360 2097540 0 2097320 2097410 NA NA NA NA 6026 6018 2349 989 1528 NA NA NA NA 4818 8830 3816 1678 3371 NA NA NA
1617397200.0 1001.0 NA 500 249 0 0 0 0 0 0 NA 2097450 2097360 0 0 0 0 0 0 NA 8917 2099 218 116 230 326 435 332 NA 8601 2670 600 545 506 503 692 651
1617397200.0 1001.2 NA 721 268 0 NA NA NA NA NA NA 2097530 2097390 0 NA NA NA NA NA NA 73776 3819 360 NA NA NA NA NA NA 39226 3560 783 NA NA NA NA NA
1617397200.0 1002.0 NA 527 160 NA NA NA NA NA NA NA 2097480 2097300 NA NA NA NA NA NA NA 10998 571 NA NA NA NA NA NA NA 11625 998 NA NA NA NA NA NA
1617397200.0 10023.0 NA 341 629 0 182 280 NA NA NA NA 2097380 2097530 0 2097320 2097390 NA NA NA NA 6198 5366 2428 895 1419 NA NA NA NA 3535 7099 4677 1137 2246 NA NA NA
1617397200.0 10024.0 NA 374 638 0 188 295 NA NA NA NA 2097380 2097540 0 2097320 2097410 NA NA NA NA 6481 6550 2451 997 1923 NA NA NA NA 5216 9643 4727 1489 3599 NA NA NA
1617397200.0 10024.1 NA 386 640 0 NA NA NA NA NA NA 2097360 2097540 0 NA NA NA NA NA NA 6751 6528 2487 NA NA NA NA NA NA 5825 9123 3754 NA NA NA NA NA
1617397200.0 10024.2 NA 369 642 0 NA NA NA NA NA NA 2097380 2097540 0 NA NA NA NA NA NA 6551 6935 2496 NA NA NA NA NA NA 5173 8109 3790 NA NA NA NA NA
1617397200.0 10024.3 NA 368 646 0 NA NA NA NA NA NA 2097380 2097540 0 NA NA NA NA NA NA 6332 6774 2483 NA NA NA NA NA NA 4096 7752 3771 NA NA NA NA NA
1617397200.0 10024.4 NA 377 640 0 NA NA NA NA NA NA 2097380 2097540 0 NA NA NA NA NA NA 5969 5957 2331 NA NA NA NA NA NA 4642 8333 4166 NA NA NA NA NA
1617397200.0 10024.5 NA 370 639 0 NA NA NA NA NA NA 2097360 2097540 0 NA NA NA NA NA NA 6174 6559 2327 NA NA NA NA NA NA 4981 9503 3364 NA NA NA NA NA
1617397200.0 10025.0 NA 344 619 0 183 285 NA NA NA NA 2097380 2097540 0 2097320 2097410 NA NA NA NA 6230 5830 2412 858 1732 NA NA NA NA 4110 8613 4289 1548 3271 NA NA NA
1617397200.0 10026.0 NA 368 661 0 189 291 NA NA NA NA 2097380 2097540 0 2097320 2097420 NA NA NA NA 6298 8000 2450 972 1616 NA NA NA NA 4867 9461 3973 1528 3401 NA NA NA
1617397200.0 1003.0 NA 584 0 NA NA NA NA NA NA NA 2097540 0 NA NA NA NA NA NA NA 12570 971 NA NA NA NA NA NA NA 9001 1687 NA NA NA NA NA NA
1617397200.0 1004.0 NA 380 188 0 0 0 0 NA NA NA 2097440 2097330 0 0 0 0 NA NA NA 3614 1013 106 223 329 334 NA NA NA 4030 1527 311 491 966 692 NA NA
1617397200.0 10042.0 NA 353 627 0 185 288 NA NA NA NA 2097380 2097540 0 2097320 2097410 NA NA NA NA 6213 6095 2444 959 1600 NA NA NA NA 4855 9289 3840 1270 3546 NA NA NA
1617397200.0 10059.0 NA 365 680 0 189 293 NA NA NA NA 2097380 2097550 0 2097320 2097410 NA NA NA NA 6520 10528 2442 998 1777 NA NA NA NA 5686 10718 3796 1305 2207 NA NA NA
