Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617656400.0 1.0 152 214 351 NA NA NA NA 2097340 2097310 2097420 NA NA NA NA 2398 1469 3114 NA NA NA NA 3720 2048 3923 NA NA NA NA
1617656400.0 1002.0 NA 525 169 NA NA NA NA NA 2097480 2097300 NA NA NA NA NA 10782 600 NA NA NA NA NA 9464 982 NA NA NA NA
1617656400.0 1004.0 NA 372 186 0 0 0 0 NA 2097440 2097330 0 0 0 0 NA 3573 1013 110 224 325 333 NA 4358 1548 622 536 844 654
1617656400.0 101.0 207 NA NA NA NA NA NA 2097350 NA NA NA NA NA NA 1648 NA NA NA NA NA NA 3151 NA NA NA NA NA NA
1617656400.0 1010.0 NA 94 151 0 NA NA NA NA 2097290 2097300 0 NA NA NA NA 236 747 413 NA NA NA NA 1271 1349 1032 NA NA NA
1617656400.0 102.0 206 NA NA NA NA NA NA 2097350 NA NA NA NA NA NA 1412 NA NA NA NA NA NA 3051 NA NA NA NA NA NA
1617656400.0 1020.0 NA 151 85 0 137 NA NA NA 2097320 2097280 0 2097330 NA NA NA 584 203 125 581 NA NA NA 2188 1273 894 1269 NA NA
1617656400.0 103.0 157 0 0 NA NA NA NA 2097290 0 0 NA NA NA NA 1287 272 3476 NA NA NA NA 2326 1190 6841 NA NA NA NA
1617656400.0 1040.0 NA 640 98 0 NA NA NA NA 2097510 2097280 0 NA NA NA NA 63045 314 350 NA NA NA NA 33726 684 991 NA NA NA
1617656400.0 1040.1 NA 180 98 0 NA NA NA NA 2097320 2097280 0 NA NA NA NA 944 331 363 NA NA NA NA 2928 930 941 NA NA NA
1617656400.0 105.0 152 213 93 NA NA NA NA 2097340 2097300 2097280 NA NA NA NA 3388 1671 237 NA NA NA NA 3820 2153 1260 NA NA NA NA
1617656400.0 106.0 159 0 0 NA NA NA NA 2097290 0 0 NA NA NA NA 1460 260 3207 NA NA NA NA 2500 1177 7207 NA NA NA NA
1617656400.0 10824.501 NA 359 218 0 NA NA NA NA 2097360 2097350 0 NA NA NA NA 5558 1403 542 NA NA NA NA 4251 2015 974 NA NA NA
1617656400.0 10824.511 NA 359 167 0 NA NA NA NA 2097380 2097350 0 NA NA NA NA 5706 685 307 NA NA NA NA 3850 1350 739 NA NA NA
1617656400.0 10824.521 NA 340 163 0 NA NA NA NA 2097380 2097330 0 NA NA NA NA 5791 684 315 NA NA NA NA 3907 1587 728 NA NA NA
1617656400.0 10842.501 NA 346 209 0 NA NA NA NA 2097360 2097350 0 NA NA NA NA 5600 1316 545 NA NA NA NA 4388 2187 903 NA NA NA
1617656400.0 11.0 NA 236 543 0 166 NA NA NA 2097320 2097490 0 2097310 NA NA NA 5432 5883 1526 780 NA NA NA 3696 6469 2870 1404 NA NA
1617656400.0 110.0 168 224 534 NA NA NA NA 2097290 2097300 2097490 NA NA NA NA 2787 2006 6005 NA NA NA NA 1903 1191 4718 NA NA NA NA
1617656400.0 11024.0 NA 684 1052 0 309 NA NA NA 2097430 2097690 0 2097420 NA NA NA 13333 21047 2388 1826 NA NA NA 10126 18856 4738 3185 NA NA
1617656400.0 11024.15 NA 673 1067 0 337 NA NA NA 2097430 2097680 0 2097440 NA NA NA 13363 21552 2399 2211 NA NA NA 10098 19554 4742 3826 NA NA
1617656400.0 11024.2 NA 696 1038 0 310 NA NA NA 2097430 2097680 0 2097420 NA NA NA 13518 21776 2374 1937 NA NA NA 10217 19882 3971 3650 NA NA
1617656400.0 11024.3 NA 649 1054 0 304 NA NA NA 2097430 2097680 0 2097420 NA NA NA 13559 21889 2396 1991 NA NA NA 10007 19406 4166 3357 NA NA
1617656400.0 11024.6 NA 704 1027 0 311 NA NA NA 2097440 2097680 0 2097410 NA NA NA 13802 19724 2376 1980 NA NA NA 10715 18805 4089 3465 NA NA
1617656400.0 11025.0 NA 677 1031 0 304 NA NA NA 2097430 2097680 0 2097410 NA NA NA 13474 18572 2376 1828 NA NA NA 10399 17248 4026 3424 NA NA
1617656400.0 111.0 162 224 531 NA NA NA NA 2097320 2097300 2097480 NA NA NA NA 3919 1633 6110 NA NA NA NA 2181 995 4899 NA NA NA NA
1617656400.0 11630.0 NA 526 807 0 217 NA NA NA 2097430 2097560 0 2097320 NA NA NA 7635 13883 3509 2210 NA NA NA 9053 14451 6183 3730 NA NA
1617656400.0 11634.511 NA 520 210 0 NA NA NA NA 2097420 2097370 0 NA NA NA NA 7262 1864 310 NA NA NA NA 9561 3790 1178 NA NA NA
1617656400.0 11634.911 203 535 824 0 249 NA NA 2097280 2097420 2097560 0 2097330 NA NA 20942 16347 19636 7614 4629 NA NA 7166 11342 11502 7741 3018 NA NA
1617656400.0 11650.911 199 510 793 0 246 NA NA 2097280 2097420 2097550 0 2097330 NA NA 16778 16716 18412 8119 4313 NA NA 5881 12725 11207 8273 2755 NA NA
1617656400.0 11723.17 NA 523 834 0 NA NA NA NA 2097430 2097580 0 NA NA NA NA 7430 14672 3560 NA NA NA NA 9721 18949 6133 NA NA NA
1617656400.0 11834.24 NA 993 1229 0 315 NA NA NA 2097530 2097730 0 2097410 NA NA NA 17999 18865 3473 1858 NA NA NA 20395 23601 5990 3542 NA NA
1617656400.0 11834.99 NA 775 944 1086 0 322 NA NA 2097430 2097630 2097670 0 2097420 NA NA 14858 13212 46922 3758 3092 NA NA 13445 14648 31642 4808 5416 NA
1617656400.0 120.0 163 229 540 NA NA NA NA 2097310 2097300 2097480 NA NA NA NA 2523 2016 5896 NA NA NA NA 1913 1202 4532 NA NA NA NA
1617656400.0 122.0 163 211 515 NA NA NA NA 2097320 2097300 2097470 NA NA NA NA 4018 1692 5382 NA NA NA NA 2622 949 4234 NA NA NA NA
1617656400.0 123.1 550 NA NA NA NA NA NA 2097530 NA NA NA NA NA NA 4444 NA NA NA NA NA NA 5505 NA NA NA NA NA NA
1617656400.0 123.2 561 NA NA NA NA NA NA 2097520 NA NA NA NA NA NA 5131 NA NA NA NA NA NA 6006 NA NA NA NA NA NA
1617656400.0 123.3 487 NA NA NA NA NA NA 2097490 NA NA NA NA NA NA 4560 NA NA NA NA NA NA 6137 NA NA NA NA NA NA
1617656400.0 124.1 535 NA NA NA NA NA NA 2097490 NA NA NA NA NA NA 3950 NA NA NA NA NA NA 5112 NA NA NA NA NA NA
1617656400.0 124.2 544 NA NA NA NA NA NA 2097530 NA NA NA NA NA NA 4242 NA NA NA NA NA NA 5044 NA NA NA NA NA NA
1617656400.0 124.4 537 NA NA NA NA NA NA 2097500 NA NA NA NA NA NA 3962 NA NA NA NA NA NA 5227 NA NA NA NA NA NA
1617656400.0 124.5 540 NA NA NA NA NA NA 2097500 NA NA NA NA NA NA 4069 NA NA NA NA NA NA 5181 NA NA NA NA NA NA
1617656400.0 124.6 492 NA NA NA NA NA NA 2097490 NA NA NA NA NA NA 5204 NA NA NA NA NA NA 6906 NA NA NA NA NA NA
1617656400.0 126.0 164 226 521 NA NA NA NA 2097310 2097300 2097480 NA NA NA NA 5418 2043 6303 NA NA NA NA 3549 1268 4918 NA NA NA NA
1617656400.0 12634.0 NA 786 NA NA NA NA NA NA 2097490 NA NA NA NA NA NA 13992 NA NA NA NA NA NA 15856 NA NA NA NA NA
1617656400.0 12634.99 NA 535 787 NA NA NA NA NA 2097380 2097550 NA NA NA NA NA 8758 11287 NA NA NA NA NA 7723 11922 NA NA NA NA
1617656400.0 127.0 163 223 506 NA NA NA NA 2097290 2097300 2097490 NA NA NA NA 2131 1648 4354 NA NA NA NA 2198 1622 6469 NA NA NA NA
1617656400.0 128.0 161 224 524 NA NA NA NA 2097290 2097300 2097480 NA NA NA NA 3274 2026 6320 NA NA NA NA 1803 1214 4842 NA NA NA NA
1617656400.0 129.0 168 221 508 NA NA NA NA 2097290 2097300 2097480 NA NA NA NA 2316 1527 4490 NA NA NA NA 2733 1448 6488 NA NA NA NA
1617656400.0 130.0 168 223 547 NA NA NA NA 2097290 2097300 2097480 NA NA NA NA 2588 1960 6441 NA NA NA NA 1831 1265 4861 NA NA NA NA
1617656400.0 1301.0 185 239 407 NA NA NA NA 2097320 2097370 2097440 NA NA NA NA 2624 2561 3294 NA NA NA NA 2782 3915 3681 NA NA NA NA
1617656400.0 1301.17 171 371 446 NA NA NA NA 2097290 2097360 2097460 NA NA NA NA 6036 9157 5104 NA NA NA NA 3437 3297 2778 NA NA NA NA
1617656400.0 1302.0 195 264 420 NA NA NA NA 2097320 2097370 2097450 NA NA NA NA 11508 4019 5252 NA NA NA NA 6095 1853 2827 NA NA NA NA
1617656400.0 1302.17 176 391 430 NA NA NA NA 2097290 2097360 2097470 NA NA NA NA 13689 9276 7220 NA NA NA NA 5302 2903 3792 NA NA NA NA
1617656400.0 1303.0 185 261 439 NA NA NA NA 2097310 2097350 2097460 NA NA NA NA 21723 3671 7977 NA NA NA NA 10548 1481 3928 NA NA NA NA
1617656400.0 13034.0 NA 806 1100 0 317 NA NA NA 2097490 2097680 0 2097420 NA NA NA 14438 22021 3634 2138 NA NA NA 16635 24731 6113 3607 NA NA
1617656400.0 13034.99 NA 534 800 918 0 318 NA NA 2097390 2097550 2097610 0 2097420 NA NA 8932 12081 21965 3778 2505 NA NA 8497 13881 21229 6923 4060 NA
1617656400.0 1306.0 NA 249 550 0 NA NA NA NA 2097370 2097510 0 NA NA NA NA 3308 4203 1130 NA NA NA NA 3695 6353 2015 NA NA NA
1617656400.0 1307.0 NA 240 312 116 0 NA NA NA 2097370 2097400 2097300 0 NA NA NA 2754 2357 283 614 NA NA NA 3914 3416 743 1110 NA NA
1617656400.0 1308.0 NA 231 281 115 0 NA NA NA 2097370 2097400 2097300 0 NA NA NA 2621 1818 287 610 NA NA NA 3030 2855 1105 982 NA NA
1617656400.0 131.0 159 227 532 NA NA NA NA 2097290 2097300 2097490 NA NA NA NA 3815 2026 6279 NA NA NA NA 2751 1218 4794 NA NA NA NA
1617656400.0 1316.0 NA 242 554 0 NA NA NA NA 2097370 2097520 0 NA NA NA NA 3378 4790 1143 NA NA NA NA 3371 8657 2247 NA NA NA
1617656400.0 1319.0 NA 242 554 0 NA NA NA NA 2097370 2097510 0 NA NA NA NA 3434 5570 1124 NA NA NA NA 4216 9581 1950 NA NA NA
1617656400.0 1324.0 NA 274 569 0 NA NA NA NA 2097380 2097520 0 NA NA NA NA 2922 5487 1170 NA NA NA NA 3354 6535 2192 NA NA NA
1617656400.0 1325.1 NA 250 333 0 NA NA NA NA 2097370 2097400 0 NA NA NA NA 3292 2604 985 NA NA NA NA 3407 3533 1771 NA NA NA
1617656400.0 1325.3 NA 253 323 0 NA NA NA NA 2097370 2097400 0 NA NA NA NA 2577 2512 919 NA NA NA NA 3592 3355 1571 NA NA NA
1617656400.0 1325.5 NA 317 0 NA NA NA NA NA 2097420 0 NA NA NA NA NA 5417 253 NA NA NA NA NA 7507 684 NA NA NA NA
1617656400.0 1325.51 NA 304 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 4689 260 NA NA NA NA NA 8007 779 NA NA NA NA
1617656400.0 1325.516 NA 337 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 5270 255 NA NA NA NA NA 8342 654 NA NA NA NA
1617656400.0 1325.5161 NA 323 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 5096 260 NA NA NA NA NA 7661 850 NA NA NA NA
1617656400.0 1325.517 NA 311 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 5528 261 NA NA NA NA NA 8953 803 NA NA NA NA
1617656400.0 1325.518 NA 361 0 NA NA NA NA NA 2097430 0 NA NA NA NA NA 11457 347 NA NA NA NA NA 7387 389 NA NA NA NA
1617656400.0 1325.6 NA 354 NA NA NA NA NA NA 2097460 NA NA NA NA NA NA 13945 NA NA NA NA NA NA 20242 NA NA NA NA NA
