Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617138000.0 1.0 76 100 189 NA NA NA NA NA NA 219 190 540 NA NA NA NA NA NA 1221 820 1511 NA NA NA NA NA NA 1889 1005 1721 NA NA NA NA NA NA
1617138000.0 10.0 NA 122 303 0 NA NA NA NA NA NA 241 648 0 NA NA NA NA NA NA 2279 4056 534 NA NA NA NA NA NA 1046 3394 779 NA NA NA NA NA
1617138000.0 1000.0 NA 283 142 0 67 NA NA NA NA NA 670 305 0 148 NA NA NA NA NA 3889 2173 394 311 NA NA NA NA NA 3643 2519 1868 627 NA NA NA NA
1617138000.0 10001.0 NA 192 369 0 80 142 NA NA NA NA 382 792 0 190 282 NA NA NA NA 2847 2627 637 508 968 NA NA NA NA 1689 3535 1760 989 2572 NA NA NA
1617138000.0 10002.0 NA 199 368 0 81 164 NA NA NA NA 400 764 0 186 340 NA NA NA NA 2521 2608 634 415 802 NA NA NA NA 1751 3352 1256 937 1036 NA NA NA
1617138000.0 10003.0 NA 197 371 0 80 166 NA NA NA NA 376 818 0 188 340 NA NA NA NA 2578 3079 626 437 984 NA NA NA NA 1716 4147 1099 675 1852 NA NA NA
1617138000.0 10004.0 NA 191 370 0 96 149 NA NA NA NA 393 786 0 187 314 NA NA NA NA 2792 2704 630 430 915 NA NA NA NA 1907 3589 1625 1048 1252 NA NA NA
1617138000.0 10005.0 NA 194 372 0 80 162 NA NA NA NA 380 808 0 187 338 NA NA NA NA 2711 2896 627 485 806 NA NA NA NA 1741 4365 1213 658 920 NA NA NA
1617138000.0 10006.0 NA 192 366 0 78 134 NA NA NA NA 386 791 0 178 278 NA NA NA NA 2757 2872 628 403 973 NA NA NA NA 2468 4229 1177 1078 1623 NA NA NA
1617138000.0 10007.0 NA 208 369 0 81 146 NA NA NA NA 404 780 0 185 297 NA NA NA NA 2603 2629 631 375 906 NA NA NA NA 1693 2955 1080 909 1623 NA NA NA
1617138000.0 10008.0 NA 207 364 0 81 161 NA NA NA NA 390 782 0 188 341 NA NA NA NA 2764 2490 639 495 1069 NA NA NA NA 1898 3155 1330 1011 2671 NA NA NA
1617138000.0 10009.0 NA 215 368 0 81 165 NA NA NA NA 408 790 0 187 329 NA NA NA NA 2654 2604 642 399 703 NA NA NA NA 1528 3675 1191 895 996 NA NA NA
1617138000.0 1001.0 NA 259 118 0 0 0 0 0 0 NA 580 229 0 0 0 0 0 0 NA 3264 818 93 69 103 239 119 240 NA 2669 1085 701 180 381 466 298 346
1617138000.0 1001.2 NA 420 145 0 NA NA NA NA NA NA 920 305 0 NA NA NA NA NA NA 15047 2305 115 NA NA NA NA NA NA 7132 1773 470 NA NA NA NA NA
1617138000.0 1002.0 NA 279 72 NA NA NA NA NA NA NA 686 167 NA NA NA NA NA NA NA 3941 386 NA NA NA NA NA NA NA 4969 309 NA NA NA NA NA NA
1617138000.0 10023.0 NA 194 361 0 80 135 NA NA NA NA 380 803 0 188 292 NA NA NA NA 2768 2967 644 455 687 NA NA NA NA 2049 3516 1298 1028 1460 NA NA NA
1617138000.0 10024.0 NA 213 385 0 82 169 NA NA NA NA 399 795 0 186 343 NA NA NA NA 2815 2955 700 446 899 NA NA NA NA 2633 4781 1664 751 1915 NA NA NA
1617138000.0 10024.1 NA 225 379 0 NA NA NA NA NA NA 420 802 0 NA NA NA NA NA NA 2700 3137 664 NA NA NA NA NA NA 1805 4236 1370 NA NA NA NA NA
1617138000.0 10024.2 NA 226 386 0 NA NA NA NA NA NA 419 803 0 NA NA NA NA NA NA 2672 2807 660 NA NA NA NA NA NA 1270 3805 1372 NA NA NA NA NA
1617138000.0 10024.3 NA 212 384 0 NA NA NA NA NA NA 415 803 0 NA NA NA NA NA NA 2781 2997 663 NA NA NA NA NA NA 1767 2893 841 NA NA NA NA NA
1617138000.0 10024.4 NA 214 384 0 NA NA NA NA NA NA 396 790 0 NA NA NA NA NA NA 3153 2959 659 NA NA NA NA NA NA 2404 3159 1608 NA NA NA NA NA
1617138000.0 10024.5 NA 222 384 0 NA NA NA NA NA NA 410 845 0 NA NA NA NA NA NA 2631 2725 654 NA NA NA NA NA NA 1537 3303 838 NA NA NA NA NA
1617138000.0 10025.0 NA 204 370 0 95 165 NA NA NA NA 395 799 0 188 337 NA NA NA NA 2721 2853 649 480 937 NA NA NA NA 1542 3373 1282 1016 1428 NA NA NA
1617138000.0 10026.0 NA 214 387 0 84 165 NA NA NA NA 410 790 0 188 330 NA NA NA NA 2711 3553 685 485 779 NA NA NA NA 1664 5390 1607 1141 1617 NA NA NA
1617138000.0 1003.0 NA 319 0 NA NA NA NA NA NA NA 725 0 NA NA NA NA NA NA NA 3792 340 NA NA NA NA NA NA NA 3055 443 NA NA NA NA NA NA
1617138000.0 1004.0 NA 202 90 0 0 0 0 NA NA NA 379 204 0 0 0 0 NA NA NA 1412 593 66 99 230 233 NA NA NA 1801 574 186 194 330 316 NA NA
1617138000.0 10042.0 NA 220 376 0 95 164 NA NA NA NA 413 785 0 188 331 NA NA NA NA 2647 2722 658 438 761 NA NA NA NA 1803 3309 1224 709 1585 NA NA NA
1617138000.0 10059.0 NA 217 390 0 82 166 NA NA NA NA 406 793 0 186 342 NA NA NA NA 3011 3779 676 508 1085 NA NA NA NA 2565 4791 1278 761 2051 NA NA NA
