Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617656400.0 1.0 74 91 188 NA NA NA NA 219 191 584 NA NA NA NA 1691 713 1660 NA NA NA NA 2410 828 1900 NA NA NA NA
1617656400.0 10.0 NA 122 303 0 NA NA NA NA 243 647 0 NA NA NA NA 2182 4113 528 NA NA NA NA 1117 3909 908 NA NA NA
1617656400.0 1000.0 NA 277 140 0 66 NA NA NA 624 296 0 149 NA NA NA 4417 1423 395 318 NA NA NA 3796 1325 749 650 NA NA
1617656400.0 10001.0 NA 199 369 0 80 141 NA NA 399 758 0 190 280 NA NA 2550 2827 633 437 972 NA NA 1206 3250 1446 725 1671 NA
1617656400.0 10002.0 NA 198 370 0 81 166 NA NA 401 847 0 190 333 NA NA 2592 2858 642 482 755 NA NA 1271 3061 1642 905 1334 NA
1617656400.0 10003.0 NA 193 371 0 80 172 NA NA 376 786 0 185 331 NA NA 2975 3036 645 484 750 NA NA 2327 3636 1173 1206 1453 NA
1617656400.0 10004.0 NA 192 367 0 81 142 NA NA 384 771 0 187 281 NA NA 2966 2578 632 404 823 NA NA 2115 2818 1496 674 1142 NA
1617656400.0 10005.0 NA 192 371 0 81 163 NA NA 381 792 0 180 339 NA NA 2919 3107 642 475 860 NA NA 2393 5178 1381 983 1274 NA
1617656400.0 10006.0 NA 192 366 0 77 137 NA NA 385 775 0 178 286 NA NA 3013 2744 638 523 696 NA NA 2203 3504 1069 1257 992 NA
1617656400.0 10007.0 NA 202 364 0 80 143 NA NA 389 811 0 186 291 NA NA 2954 3070 638 543 922 NA NA 2011 5196 1113 837 1532 NA
1617656400.0 10008.0 NA 212 368 0 81 163 NA NA 390 787 0 186 331 NA NA 2634 2743 650 481 727 NA NA 1273 3952 1652 943 1716 NA
1617656400.0 10009.0 NA 204 367 0 81 163 NA NA 394 811 0 189 339 NA NA 2924 3182 631 525 872 NA NA 2492 4786 903 1238 1092 NA
1617656400.0 10023.0 NA 199 363 0 80 139 NA NA 380 801 0 189 274 NA NA 2584 2572 649 497 710 NA NA 1648 2818 1590 1286 1714 NA
1617656400.0 10024.0 NA 212 379 0 90 181 NA NA 401 804 0 187 345 NA NA 2773 2872 663 395 876 NA NA 2174 4569 1304 984 1146 NA
1617656400.0 10024.1 NA 211 387 0 NA NA NA NA 393 804 0 NA NA NA NA 2998 2998 657 NA NA NA NA 1893 3230 838 NA NA NA
