Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617051600.0 1.0 169 183 304 NA NA NA NA NA NA 585 555 994 NA NA NA NA NA NA 1374 1048 2671 NA NA NA NA NA NA 1880 1710 3285 NA NA NA NA NA NA
1617051600.0 10.0 NA 252 413 0 NA NA NA NA NA NA 614 1070 0 NA NA NA NA NA NA 3471 7934 1022 NA NA NA NA NA NA 3175 5888 1143 NA NA NA NA NA
1617051600.0 1000.0 NA 376 226 0 0 NA NA NA NA NA 993 676 0 0 NA NA NA NA NA 4912 1845 538 0 NA NA NA NA NA 6187 3510 785 0 NA NA NA NA
1617051600.0 10001.0 NA 287 484 0 178 229 NA NA NA NA 693 1093 0 557 652 NA NA NA NA 2949 3828 820 763 1280 NA NA NA NA 2772 6186 2269 1615 1561 NA NA NA
1617051600.0 10002.0 NA 367 480 0 170 251 NA NA NA NA 803 1064 0 557 686 NA NA NA NA 2948 3552 772 808 1233 NA NA NA NA 3298 5181 2186 2205 2744 NA NA NA
1617051600.0 10003.0 NA 289 483 0 185 256 NA NA NA NA 696 1062 0 556 697 NA NA NA NA 3201 3458 814 829 1298 NA NA NA NA 3084 6015 1996 1895 1520 NA NA NA
1617051600.0 10004.0 NA 367 480 0 172 223 NA NA NA NA 701 1072 0 557 658 NA NA NA NA 2906 3608 749 714 1342 NA NA NA NA 3562 5523 1518 1129 2415 NA NA NA
1617051600.0 10005.0 NA 362 484 0 175 249 NA NA NA NA 796 1091 0 557 693 NA NA NA NA 3003 3500 756 771 1348 NA NA NA NA 3533 5263 1985 1464 2376 NA NA NA
1617051600.0 10006.0 NA 360 479 0 169 224 NA NA NA NA 707 1090 0 556 647 NA NA NA NA 3038 3541 753 755 1231 NA NA NA NA 3609 5125 1455 1164 2127 NA NA NA
1617051600.0 10007.0 NA 284 479 0 172 238 NA NA NA NA 686 1114 0 561 679 NA NA NA NA 3215 4185 821 764 1259 NA NA NA NA 3423 7027 2064 1407 1510 NA NA NA
1617051600.0 10008.0 NA 364 502 0 182 251 NA NA NA NA 798 1103 0 558 697 NA NA NA NA 3920 3697 840 861 1675 NA NA NA NA 3472 6163 2667 1763 3178 NA NA NA
1617051600.0 10009.0 NA 346 493 0 174 248 NA NA NA NA 798 1119 0 559 694 NA NA NA NA 2822 3969 825 782 1270 NA NA NA NA 2089 6914 2284 1387 1494 NA NA NA
1617051600.0 1001.0 NA 350 216 0 0 0 0 0 0 NA 1034 579 0 0 0 0 0 0 NA 4023 1091 210 197 237 359 287 362 NA 3971 1461 399 672 1466 1074 785 688
1617051600.0 1001.2 NA 511 234 0 NA NA NA NA NA NA 1128 698 0 NA NA NA NA NA NA 15920 2670 236 NA NA NA NA NA NA 9560 3043 559 NA NA NA NA NA
1617051600.0 1002.0 NA 383 169 NA NA NA NA NA NA NA 1026 551 NA NA NA NA NA NA NA 4614 781 NA NA NA NA NA NA NA 5856 770 NA NA NA NA NA NA
1617051600.0 10023.0 NA 287 480 0 176 237 NA NA NA NA 802 1093 0 558 666 NA NA NA NA 3116 3698 843 724 1254 NA NA NA NA 2805 7112 2289 1448 1527 NA NA NA
1617051600.0 10024.0 NA 375 500 0 172 253 NA NA NA NA 697 1066 0 559 694 NA NA NA NA 2957 3709 793 768 1396 NA NA NA NA 3353 6989 1590 1080 2206 NA NA NA
1617051600.0 10024.1 NA 332 493 0 NA NA NA NA NA NA 710 1081 0 NA NA NA NA NA NA 3681 5670 1282 NA NA NA NA NA NA 3360 5416 1493 NA NA NA NA NA
1617051600.0 10024.2 NA 363 494 0 NA NA NA NA NA NA 704 1084 0 NA NA NA NA NA NA 3089 3777 854 NA NA NA NA NA NA 2579 4243 1217 NA NA NA NA NA
1617051600.0 10024.3 NA 334 491 0 NA NA NA NA NA NA 704 1082 0 NA NA NA NA NA NA 3644 5569 1346 NA NA NA NA NA NA 3404 5204 1725 NA NA NA NA NA
1617051600.0 10024.4 NA 333 489 0 NA NA NA NA NA NA 818 1089 0 NA NA NA NA NA NA 3823 5654 1343 NA NA NA NA NA NA 3422 5195 1639 NA NA NA NA NA
1617051600.0 10024.5 NA 331 497 0 NA NA NA NA NA NA 706 1103 0 NA NA NA NA NA NA 3769 5908 1338 NA NA NA NA NA NA 3409 7201 1720 NA NA NA NA NA
1617051600.0 10025.0 NA 359 490 0 181 252 NA NA NA NA 794 1080 0 557 695 NA NA NA NA 3342 3964 843 755 1327 NA NA NA NA 2862 5893 2328 1343 1635 NA NA NA
1617051600.0 10026.0 NA 349 506 0 174 252 NA NA NA NA 712 1093 0 559 699 NA NA NA NA 2923 4160 849 837 1353 NA NA NA NA 2377 6577 2524 1996 1571 NA NA NA
1617051600.0 1003.0 NA 410 0 NA NA NA NA NA NA NA 1161 0 NA NA NA NA NA NA NA 4105 478 NA NA NA NA NA NA NA 3559 954 NA NA NA NA NA NA
