Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617138000.0 1.0 166 231 NA 573 562 NA 1535 662 NA 1437 385 NA
1617138000.0 10.0 NA 214 NA NA 618 NA NA 2536 NA NA 1505 NA
1617138000.0 10001.0 NA 288 NA NA 704 NA NA 3008 NA NA 3879 NA
1617138000.0 10002.0 NA 297 NA NA 806 NA NA 2770 NA NA 1605 NA
1617138000.0 10003.0 NA 290 NA NA 695 NA NA 2742 NA NA 3468 NA
1617138000.0 10004.0 NA 288 NA NA 804 NA NA 3210 NA NA 3848 NA
1617138000.0 10005.0 NA 287 NA NA 798 NA NA 3157 NA NA 3897 NA
1617138000.0 10006.0 NA 288 NA NA 691 NA NA 3053 NA NA 3758 NA
1617138000.0 10007.0 NA 286 NA NA 806 NA NA 2808 NA NA 2190 NA
1617138000.0 10008.0 NA 291 NA NA 801 NA NA 3733 NA NA 3254 NA
1617138000.0 10009.0 NA 292 NA NA 709 NA NA 2924 NA NA 3073 NA
1617138000.0 10023.0 NA 295 NA NA 697 NA NA 2834 NA NA 1682 NA
1617138000.0 10024.0 NA 305 NA NA 807 NA NA 2840 NA NA 1096 NA
1617138000.0 10024.1 NA 302 NA NA 805 NA NA 2924 NA NA 1563 NA
1617138000.0 10024.2 NA 307 NA NA 804 NA NA 2942 NA NA 2077 NA
1617138000.0 10024.3 NA 298 NA NA 714 NA NA 3019 NA NA 1673 NA
1617138000.0 10024.4 NA 302 NA NA 801 NA NA 2796 NA NA 1695 NA
1617138000.0 10024.5 NA 294 NA NA 814 NA NA 3178 NA NA 2680 NA
1617138000.0 10025.0 NA 291 NA NA 704 NA NA 3148 NA NA 3867 NA
1617138000.0 10026.0 NA 299 NA NA 708 NA NA 3097 NA NA 3599 NA
1617138000.0 10042.0 NA 296 NA NA 804 NA NA 3110 NA NA 3735 NA
1617138000.0 10059.0 NA 299 NA NA 795 NA NA 3889 NA NA 3250 NA
1617138000.0 10071.0 NA 295 NA NA 710 NA NA 3102 NA NA 3656 NA
1617138000.0 10224.0 NA 461 NA NA 973 NA NA 5176 NA NA 4458 NA
1617138000.0 10224.15 NA 453 NA NA 988 NA NA 5440 NA NA 4764 NA
1617138000.0 10225.0 NA 435 NA NA 1006 NA NA 4959 NA NA 4014 NA
1617138000.0 103.0 153 0 NA 533 0 NA 1009 234 NA 1178 388 NA
1617138000.0 10424.0 NA 259 NA NA 662 NA NA 1453 NA NA 1716 NA
1617138000.0 105.0 166 226 NA 573 566 NA 2889 742 NA 2550 471 NA
1617138000.0 106.0 152 0 NA 526 0 NA 929 292 NA 1317 739 NA
1617138000.0 107.0 173 193 NA 585 564 NA 2449 793 NA 1132 623 NA
1617138000.0 108.0 168 194 NA 588 568 NA 2611 782 NA 1313 594 NA
1617138000.0 10801.0 NA 281 NA NA 689 NA NA 2759 NA NA 3850 NA
1617138000.0 10802.0 NA 277 NA NA 685 NA NA 3067 NA NA 2516 NA
1617138000.0 10803.0 NA 279 NA NA 786 NA NA 2705 NA NA 1630 NA
