Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617656400.0 1.0 167 185 310 NA NA NA NA 583 569 1046 NA NA NA NA 1333 814 2600 NA NA NA NA 2611 679 2732 NA NA NA NA
1617656400.0 10.0 NA 230 415 0 NA NA NA NA 626 1049 0 NA NA NA NA 2571 4949 643 NA NA NA NA 1661 5988 801 NA NA NA
1617656400.0 10002.0 NA 363 484 0 172 251 NA NA 693 1077 0 564 704 NA NA 3343 3598 820 963 1419 NA NA 3567 5731 1412 2623 3009 NA
1617656400.0 10004.0 NA 362 486 0 174 231 NA NA 804 1102 0 563 658 NA NA 3100 3573 811 783 1239 NA NA 3750 5570 1377 1426 2644 NA
1617656400.0 10005.0 NA 357 485 0 172 257 NA NA 696 1084 0 565 701 NA NA 3456 3643 841 898 1521 NA NA 3818 5809 2517 1604 2176 NA
1617656400.0 10006.0 NA 362 482 0 173 219 NA NA 805 1065 0 565 664 NA NA 3051 3895 807 770 1381 NA NA 3710 5063 1370 1399 2423 NA
1617656400.0 10008.0 NA 292 487 0 172 250 NA NA 808 1076 0 564 704 NA NA 3210 3563 783 937 1266 NA NA 2891 6247 1786 2748 2631 NA
1617656400.0 1001.2 NA 513 241 0 NA NA NA NA 1114 707 0 NA NA NA NA 15594 2461 232 NA NA NA NA 8758 1638 382 NA NA NA
1617656400.0 1002.0 NA 388 165 NA NA NA NA NA 1038 560 NA NA NA NA NA 4521 720 NA NA NA NA NA 4884 807 NA NA NA NA
1617656400.0 10024.0 NA 367 499 0 174 253 NA NA 808 1064 0 566 709 NA NA 3928 3835 870 810 1456 NA NA 4027 5608 1678 1592 2675 NA
1617656400.0 10024.1 NA 303 494 0 NA NA NA NA 825 1090 0 NA NA NA NA 2834 3604 814 NA NA NA NA 1994 5885 2370 NA NA NA
1617656400.0 10024.2 NA 305 495 0 NA NA NA NA 818 1149 0 NA NA NA NA 2910 3819 800 NA NA NA NA 2138 4750 1178 NA NA NA
1617656400.0 10024.3 NA 305 496 0 NA NA NA NA 818 1165 0 NA NA NA NA 2947 3639 804 NA NA NA NA 2427 5509 1172 NA NA NA
1617656400.0 10024.4 NA 305 499 0 NA NA NA NA 809 1126 0 NA NA NA NA 2745 3859 800 NA NA NA NA 2307 4765 1839 NA NA NA
1617656400.0 10024.5 NA 369 500 0 NA NA NA NA 823 1157 0 NA NA NA NA 3033 3520 797 NA NA NA NA 2863 3864 1723 NA NA NA
1617656400.0 1004.0 NA 307 186 0 0 0 0 NA 710 548 0 0 0 0 NA 4992 895 196 233 364 362 NA 4955 818 373 657 698 449
1617656400.0 10059.0 NA 301 502 0 193 259 NA NA 824 1108 0 565 700 NA NA 3285 4226 812 716 1183 NA NA 2965 6560 2118 1332 2776 NA
1617656400.0 101.0 178 NA NA NA NA NA NA 569 NA NA NA NA NA NA 944 NA NA NA NA NA NA 1277 NA NA NA NA NA NA
1617656400.0 10224.0 NA 462 718 0 257 NA NA NA 992 1286 0 706 NA NA NA 4971 5438 835 1306 NA NA NA 4149 7532 2307 1748 NA NA
1617656400.0 10224.15 NA 449 707 0 286 NA NA NA 1005 1327 0 714 NA NA NA 5495 5950 881 1476 NA NA NA 4141 6425 2223 2348 NA NA
1617656400.0 103.0 154 0 0 NA NA NA NA 545 0 0 NA NA NA NA 1052 248 2662 NA NA NA NA 1783 668 3755 NA NA NA NA
1617656400.0 10424.0 NA 252 490 0 NA NA NA NA 658 1122 0 NA NA NA NA 1586 3992 808 NA NA NA NA 1404 5013 1025 NA NA NA
1617656400.0 106.0 151 0 0 NA NA NA NA 543 0 0 NA NA NA NA 964 286 2506 NA NA NA NA 1642 837 3241 NA NA NA NA
1617656400.0 107.0 173 191 402 NA NA NA NA 594 580 1042 NA NA NA NA 2537 886 3066 NA NA NA NA 1819 875 3629 NA NA NA NA
1617656400.0 108.0 172 195 413 NA NA NA NA 584 582 1042 NA NA NA NA 2777 941 3798 NA NA NA NA 1746 648 5743 NA NA NA NA
1617656400.0 10805.0 NA 293 498 0 173 257 NA NA 800 1053 0 563 692 NA NA 2761 3781 787 870 1253 NA NA 2543 3881 1599 1616 2001 NA
1617656400.0 10806.0 NA 355 483 0 174 224 NA NA 789 1116 0 565 663 NA NA 3272 3552 827 888 1486 NA NA 3736 5783 2088 1420 2470 NA
