Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617310800.0 1.0 73 98 NA NA NA 249 446 NA NA NA 17507 2554 NA NA NA 19656 1084 NA NA NA
1617310800.0 10.0 NA 123 NA NA NA NA 538 NA NA NA NA 16254 NA NA NA NA 7379 NA NA NA
1617310800.0 10001.0 NA 207 NA NA NA NA 592 NA NA NA NA 10981 NA NA NA NA 4165 NA NA NA
1617310800.0 10002.0 NA 208 NA NA NA NA 614 NA NA NA NA 11880 NA NA NA NA 5488 NA NA NA
1617310800.0 10003.0 NA 203 NA NA NA NA 533 NA NA NA NA 11442 NA NA NA NA 5348 NA NA NA
1617310800.0 10004.0 NA 203 NA NA NA NA 561 NA NA NA NA 11001 NA NA NA NA 4901 NA NA NA
1617310800.0 10005.0 NA 213 NA NA NA NA 558 NA NA NA NA 10972 NA NA NA NA 3425 NA NA NA
1617310800.0 10006.0 NA 201 NA NA NA NA 641 NA NA NA NA 10881 NA NA NA NA 4586 NA NA NA
1617310800.0 10007.0 NA 225 NA NA NA NA 556 NA NA NA NA 10905 NA NA NA NA 6282 NA NA NA
1617310800.0 10008.0 NA 220 NA NA NA NA 615 NA NA NA NA 11180 NA NA NA NA 4103 NA NA NA
1617310800.0 10009.0 NA 220 NA NA NA NA 569 NA NA NA NA 11409 NA NA NA NA 4867 NA NA NA
1617310800.0 10023.0 NA 210 NA NA NA NA 582 NA NA NA NA 11145 NA NA NA NA 4030 NA NA NA
1617310800.0 10024.0 NA 225 NA NA NA NA 581 NA NA NA NA 11151 NA NA NA NA 4880 NA NA NA
1617310800.0 10024.1 NA 217 NA NA NA NA 594 NA NA NA NA 12881 NA NA NA NA 5119 NA NA NA
1617310800.0 10024.2 NA 235 NA NA NA NA 663 NA NA NA NA 12354 NA NA NA NA 5721 NA NA NA
1617310800.0 10024.3 NA 228 NA NA NA NA 583 NA NA NA NA 12613 NA NA NA NA 4393 NA NA NA
1617310800.0 10024.4 NA 225 NA NA NA NA 580 NA NA NA NA 12658 NA NA NA NA 5223 NA NA NA
1617310800.0 10024.5 NA 225 NA NA NA NA 650 NA NA NA NA 12372 NA NA NA NA 3765 NA NA NA
1617310800.0 10025.0 NA 211 NA NA NA NA 645 NA NA NA NA 10923 NA NA NA NA 5102 NA NA NA
1617310800.0 10026.0 NA 231 NA NA NA NA 643 NA NA NA NA 11254 NA NA NA NA 4785 NA NA NA
1617310800.0 1004.0 NA 216 NA NA NA NA 455 NA NA NA NA 10487 NA NA NA NA 7465 NA NA NA
1617310800.0 10042.0 NA 227 NA NA NA NA 674 NA NA NA NA 11402 NA NA NA NA 4068 NA NA NA
1617310800.0 10059.0 NA 235 NA NA NA NA 647 NA NA NA NA 11482 NA NA NA NA 6136 NA NA NA
1617310800.0 10071.0 NA 210 NA NA NA NA 560 NA NA NA NA 12073 NA NA NA NA 6076 NA NA NA
1617310800.0 101.0 99 NA NA NA NA 259 NA NA NA NA 14911 NA NA NA NA 45769 NA NA NA NA
1617310800.0 1010.0 NA 47 53 0 NA NA 157 189 0 NA NA 177 980 354 NA NA 1741 3086 1698 NA
1617310800.0 102.0 92 NA NA NA NA 259 NA NA NA NA 3115 NA NA NA NA 13601 NA NA NA NA
1617310800.0 1020.0 NA 68 36 0 64 NA 218 143 0 217 NA 868 158 115 1110 NA 745 1334 1139 3080
1617310800.0 10224.0 NA 378 NA NA NA NA 747 NA NA NA NA 20703 NA NA NA NA 15098 NA NA NA
1617310800.0 10224.15 NA 382 NA NA NA NA 765 NA NA NA NA 21176 NA NA NA NA 16941 NA NA NA
1617310800.0 10225.0 NA 359 NA NA NA NA 840 NA NA NA NA 20867 NA NA NA NA 17242 NA NA NA
1617310800.0 103.0 58 0 0 NA NA 190 0 0 NA NA 2043 416 3225 NA NA 4066 1460 9021 NA NA
1617310800.0 1040.1 NA 73 43 0 NA NA 218 145 0 NA NA 1125 202 451 NA NA 2917 1302 1386 NA
