Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617397200.0 1.0 73 90 187 NA NA NA NA NA NA 220 193 586 NA NA NA NA NA NA 1090 685 1488 NA NA NA NA NA NA 1462 683 1636 NA NA NA NA NA NA
1617397200.0 10.0 NA 121 296 0 NA NA NA NA NA NA 234 640 0 NA NA NA NA NA NA 2334 4082 544 NA NA NA NA NA NA 1748 3621 811 NA NA NA NA NA
1617397200.0 1000.0 NA 268 137 0 52 NA NA NA NA NA 677 290 0 143 NA NA NA NA NA 3803 1610 406 323 NA NA NA NA NA 2963 1737 824 500 NA NA NA NA
1617397200.0 10001.0 NA 196 366 0 93 155 NA NA NA NA 390 846 0 187 303 NA NA NA NA 2920 2823 661 449 813 NA NA NA NA 1542 2810 1205 925 1075 NA NA NA
1617397200.0 10002.0 NA 196 358 0 79 163 NA NA NA NA 397 778 0 190 328 NA NA NA NA 2874 2542 675 562 745 NA NA NA NA 1439 2778 1076 991 1917 NA NA NA
1617397200.0 10003.0 NA 193 365 0 93 168 NA NA NA NA 380 788 0 187 343 NA NA NA NA 2891 2771 676 493 961 NA NA NA NA 2344 3632 1543 846 1799 NA NA NA
1617397200.0 10004.0 NA 192 358 0 80 143 NA NA NA NA 396 785 0 187 281 NA NA NA NA 3076 2835 671 421 835 NA NA NA NA 2081 3735 1388 834 1081 NA NA NA
1617397200.0 10005.0 NA 193 357 0 79 167 NA NA NA NA 382 774 0 186 336 NA NA NA NA 2752 2569 676 601 885 NA NA NA NA 2600 3816 1229 1097 1158 NA NA NA
1617397200.0 10006.0 NA 202 356 0 77 133 NA NA NA NA 374 771 0 180 289 NA NA NA NA 2789 2831 660 459 694 NA NA NA NA 1799 4240 941 755 2170 NA NA NA
1617397200.0 10007.0 NA 208 356 0 97 146 NA NA NA NA 388 767 0 186 295 NA NA NA NA 2997 2579 673 466 753 NA NA NA NA 1906 2776 1215 827 1086 NA NA NA
1617397200.0 10008.0 NA 208 361 0 96 161 NA NA NA NA 392 783 0 191 343 NA NA NA NA 2762 2963 671 464 909 NA NA NA NA 1315 4096 1052 1226 1107 NA NA NA
1617397200.0 10009.0 NA 211 362 0 80 161 NA NA NA NA 385 810 0 189 341 NA NA NA NA 2880 2667 675 422 1017 NA NA NA NA 1473 3036 1228 1098 1812 NA NA NA
1617397200.0 1001.0 NA 250 119 0 0 0 0 0 0 NA 630 230 0 0 0 0 0 0 NA 3814 980 101 83 116 255 130 258 NA 3169 913 312 526 387 350 606 530
1617397200.0 1001.2 NA 413 146 0 NA NA NA NA NA NA 833 313 0 NA NA NA NA NA NA 16056 2439 122 NA NA NA NA NA NA 6678 2021 397 NA NA NA NA NA
1617397200.0 1002.0 NA 276 70 NA NA NA NA NA NA NA 588 164 NA NA NA NA NA NA NA 3980 417 NA NA NA NA NA NA NA 4146 312 NA NA NA NA NA NA
1617397200.0 10023.0 NA 197 361 0 79 143 NA NA NA NA 385 786 0 188 306 NA NA NA NA 2728 2494 682 464 891 NA NA NA NA 1598 3893 937 809 1264 NA NA NA
1617397200.0 10024.0 NA 222 378 0 81 165 NA NA NA NA 409 818 0 187 343 NA NA NA NA 2933 3030 703 459 830 NA NA NA NA 1366 3595 1703 805 1064 NA NA NA
1617397200.0 10024.1 NA 207 377 0 NA NA NA NA NA NA 422 836 0 NA NA NA NA NA NA 3155 2923 719 NA NA NA NA NA NA 1882 3082 2220 NA NA NA NA NA
1617397200.0 10024.2 NA 213 374 0 NA NA NA NA NA NA 395 801 0 NA NA NA NA NA NA 2951 2849 677 NA NA NA NA NA NA 1725 2804 771 NA NA NA NA NA
1617397200.0 10024.3 NA 213 377 0 NA NA NA NA NA NA 402 806 0 NA NA NA NA NA NA 3239 3024 695 NA NA NA NA NA NA 1852 3231 985 NA NA NA NA NA
1617397200.0 10024.4 NA 214 378 0 NA NA NA NA NA NA 388 770 0 NA NA NA NA NA NA 3237 2909 694 NA NA NA NA NA NA 1832 3033 940 NA NA NA NA NA
1617397200.0 10024.5 NA 212 379 0 NA NA NA NA NA NA 402 789 0 NA NA NA NA NA NA 3209 2802 707 NA NA NA NA NA NA 1770 2927 1492 NA NA NA NA NA
1617397200.0 10025.0 NA 195 365 0 80 166 NA NA NA NA 393 770 0 187 333 NA NA NA NA 3159 2741 686 691 751 NA NA NA NA 1764 3647 1060 1201 1086 NA NA NA
1617397200.0 10026.0 NA 214 380 0 81 168 NA NA NA NA 400 804 0 188 348 NA NA NA NA 3213 2989 710 436 1003 NA NA NA NA 3674 3587 1709 685 1412 NA NA NA
1617397200.0 1003.0 NA 311 0 NA NA NA NA NA NA NA 767 0 NA NA NA NA NA NA NA 3840 362 NA NA NA NA NA NA NA 3016 475 NA NA NA NA NA NA
1617397200.0 1004.0 NA 206 90 0 0 0 0 NA NA NA 388 205 0 0 0 0 NA NA NA 1962 1657 77 114 260 258 NA NA NA 2228 1387 427 378 449 538 NA NA
1617397200.0 10042.0 NA 209 370 0 81 168 NA NA NA NA 390 806 0 189 327 NA NA NA NA 3202 2862 699 460 736 NA NA NA NA 3169 4044 1484 844 1044 NA NA NA
1617397200.0 10059.0 NA 223 381 0 81 166 NA NA NA NA 396 798 0 186 341 NA NA NA NA 2984 3557 696 537 1054 NA NA NA NA 1847 5113 1241 1007 1394 NA NA NA
1617397200.0 10071.0 NA 197 371 0 81 174 NA NA NA NA 388 778 0 191 341 NA NA NA NA 2949 2691 689 553 935 NA NA NA NA 1929 3089 969 988 1271 NA NA NA
