Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617570000.0 1000.0 NA 266 135 0 62 NA NA 623 288 0 150 NA NA 5256 1921 714 524 NA NA 5198 2237 1383 1056 NA
1617570000.0 10003.0 NA 198 367 0 79 165 NA 403 796 0 188 334 NA 3485 3727 1157 654 1350 NA 2305 3581 1549 1072 1569
1617570000.0 10005.0 NA 196 355 0 80 165 NA 409 783 0 188 335 NA 3426 3750 1196 679 1418 NA 2134 5001 2368 1403 2055
1617570000.0 10006.0 NA 198 352 0 77 135 NA 398 794 0 181 274 NA 3442 3699 1177 663 1309 NA 2151 3728 2129 799 2502
1617570000.0 10007.0 NA 206 351 0 79 146 NA 420 761 0 187 298 NA 3458 3950 1195 636 1240 NA 2181 5862 1886 974 1290
1617570000.0 10008.0 NA 208 354 0 79 162 NA 399 772 0 191 343 NA 3509 3736 1172 679 1356 NA 2058 4238 1795 1377 1634
1617570000.0 10009.0 NA 216 355 0 79 159 NA 404 767 0 188 321 NA 3606 4040 1196 663 1380 NA 2136 5466 2368 891 2441
1617570000.0 10801.0 NA 190 350 0 88 145 NA 381 777 0 188 283 NA 3284 3710 1179 663 1354 NA 2131 3805 2370 842 2069
1617570000.0 10802.0 NA 192 356 0 87 166 NA 411 769 0 188 334 NA 3233 3876 1155 644 1397 NA 1685 6059 1617 1385 1637
1617570000.0 10804.0 NA 189 350 0 76 161 NA 389 782 0 181 340 NA 3328 3675 1170 654 1428 NA 1992 5635 2075 920 2220
1617570000.0 10805.0 NA 192 351 0 76 169 NA 392 782 0 181 343 NA 3298 3739 1154 652 1374 NA 1628 3822 1622 923 1677
