Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617656400.0 1040.0 NA 373 38 0 NA 843 115 0 NA 12154 172 123 NA 5324 1005 1276
1617656400.0 111.0 62 87 266 NA 174 186 588 NA 1046 890 2384 NA 1683 1487 3520 NA
1617656400.0 116.0 80 100 274 NA 219 203 633 NA 2401 880 2117 NA 1713 961 2414 NA
1617656400.0 11650.501 NA 272 103 0 NA 506 291 0 NA 2350 1000 213 NA 3176 1484 656
1617656400.0 122.0 71 89 266 NA 187 188 615 NA 978 539 2472 NA 1262 713 2689 NA
1617656400.0 126.0 61 91 269 NA 185 190 596 NA 1545 958 2556 NA 1820 744 3172 NA
1617656400.0 127.0 62 90 265 NA 163 190 602 NA 1170 725 2122 NA 1507 580 3145 NA
1617656400.0 128.0 62 91 263 NA 159 191 600 NA 825 934 2290 NA 965 929 3412 NA
1617656400.0 129.0 61 90 265 NA 164 189 598 NA 735 870 2146 NA 882 806 3001 NA
1617656400.0 134.0 NA 277 34 0 NA 638 130 0 NA 3852 165 80 NA 3572 444 332
1617656400.0 23461.97 924 NA NA NA 1500 NA NA NA 11651 NA NA NA 7184 NA NA NA
1617656400.0 4001.0 NA 153 340 NA NA 300 694 NA NA 1109 2735 NA NA 1561 3499 NA
1617656400.0 4007.0 59 0 0 NA 157 0 0 NA 785 132 1627 NA 1025 454 2301 NA
1617656400.0 522.0 18 35 0 NA 87 107 0 NA 595 190 152 NA 6994 351 630 NA
1617656400.0 555.0 18 52 0 NA 87 113 0 NA 908 232 146 NA 3094 601 408 NA
