Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617397200.0 1.0 77 91 190 NA NA NA NA NA NA 210 187 591 NA NA NA NA NA NA 1127 659 1558 NA NA NA NA NA NA 1566 650 1932 NA NA NA NA NA NA
1617397200.0 10.0 NA 123 307 0 NA NA NA NA NA NA 242 671 0 NA NA NA NA NA NA 2393 4624 541 NA NA NA NA NA NA 1870 4075 764 NA NA NA NA NA
1617397200.0 1000.0 NA 286 138 0 66 NA NA NA NA NA 606 306 0 151 NA NA NA NA NA 3755 1417 384 302 NA NA NA NA NA 3786 1814 708 373 NA NA NA NA
1617397200.0 10001.0 NA 193 367 0 80 141 NA NA NA NA 413 765 0 189 282 NA NA NA NA 2928 2628 643 428 939 NA NA NA NA 2578 3714 1059 1035 1969 NA NA NA
1617397200.0 10002.0 NA 196 370 0 81 166 NA NA NA NA 381 844 0 187 335 NA NA NA NA 2671 2810 652 611 937 NA NA NA NA 2102 5559 1296 1986 1911 NA NA NA
1617397200.0 10003.0 NA 201 370 0 81 164 NA NA NA NA 387 808 0 188 344 NA NA NA NA 2721 2626 641 446 806 NA NA NA NA 1537 3205 1462 1027 1309 NA NA NA
1617397200.0 10004.0 NA 193 367 0 80 140 NA NA NA NA 396 812 0 189 277 NA NA NA NA 2759 2744 661 481 758 NA NA NA NA 2459 3897 1829 1114 1138 NA NA NA
1617397200.0 10005.0 NA 193 372 0 80 164 NA NA NA NA 368 784 0 189 342 NA NA NA NA 2824 2545 633 418 893 NA NA NA NA 2279 2742 1379 644 1520 NA NA NA
1617397200.0 10006.0 NA 197 365 0 79 136 NA NA NA NA 389 791 0 180 275 NA NA NA NA 2662 2953 636 411 631 NA NA NA NA 1773 3701 1357 1338 1170 NA NA NA
1617397200.0 10007.0 NA 206 365 0 81 144 NA NA NA NA 398 772 0 187 296 NA NA NA NA 2686 2782 648 430 805 NA NA NA NA 1794 3492 1225 754 1422 NA NA NA
1617397200.0 10008.0 NA 201 372 0 98 161 NA NA NA NA 388 796 0 190 337 NA NA NA NA 2744 3233 669 376 955 NA NA NA NA 2746 3847 2047 874 2065 NA NA NA
1617397200.0 10009.0 NA 205 371 0 81 160 NA NA NA NA 411 778 0 188 334 NA NA NA NA 2906 2462 637 404 694 NA NA NA NA 2563 3495 1246 801 1481 NA NA NA
1617397200.0 1001.0 NA 261 118 0 0 0 0 0 0 NA 622 228 0 0 0 0 0 0 NA 3470 1021 89 68 105 239 120 235 NA 3917 1116 275 369 433 472 274 748
1617397200.0 1001.2 NA 419 147 0 NA NA NA NA NA NA 802 310 0 NA NA NA NA NA NA 14946 2135 109 NA NA NA NA NA NA 6901 1628 355 NA NA NA NA NA
1617397200.0 1002.0 NA 287 72 NA NA NA NA NA NA NA 606 172 NA NA NA NA NA NA NA 3787 394 NA NA NA NA NA NA NA 4099 298 NA NA NA NA NA NA
1617397200.0 10023.0 NA 193 366 0 80 135 NA NA NA NA 383 807 0 188 281 NA NA NA NA 2653 2588 659 599 1101 NA NA NA NA 1606 4700 1040 1839 2166 NA NA NA
1617397200.0 10024.0 NA 223 379 0 82 169 NA NA NA NA 421 835 0 196 343 NA NA NA NA 2782 2856 690 535 866 NA NA NA NA 2144 4392 1971 1199 1168 NA NA NA
1617397200.0 10024.1 NA 226 384 0 NA NA NA NA NA NA 418 791 0 NA NA NA NA NA NA 2717 2939 664 NA NA NA NA NA NA 1316 3659 995 NA NA NA NA NA
1617397200.0 10024.2 NA 213 383 0 NA NA NA NA NA NA 402 819 0 NA NA NA NA NA NA 2669 2880 661 NA NA NA NA NA NA 1438 3841 833 NA NA NA NA NA
1617397200.0 10024.3 NA 210 388 0 NA NA NA NA NA NA 393 808 0 NA NA NA NA NA NA 2824 2837 664 NA NA NA NA NA NA 1407 4007 1143 NA NA NA NA NA
1617397200.0 10024.4 NA 212 383 0 NA NA NA NA NA NA 400 818 0 NA NA NA NA NA NA 2777 2726 660 NA NA NA NA NA NA 1979 3226 997 NA NA NA NA NA
1617397200.0 10024.5 NA 225 381 0 NA NA NA NA NA NA 414 789 0 NA NA NA NA NA NA 2830 2790 667 NA NA NA NA NA NA 1998 3784 1186 NA NA NA NA NA
1617397200.0 10025.0 NA 195 372 0 81 164 NA NA NA NA 383 778 0 190 340 NA NA NA NA 3024 2669 684 495 1018 NA NA NA NA 2992 3008 2199 1237 2099 NA NA NA
1617397200.0 10026.0 NA 211 387 0 83 167 NA NA NA NA 410 780 0 189 334 NA NA NA NA 2740 2910 664 420 716 NA NA NA NA 1520 3660 1348 827 1225 NA NA NA
