Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617310800.0 10824.502 208 103 0 380 769 0 2659 519 181 1575 789 273
1617310800.0 10824.512 205 98 0 393 706 0 2607 374 136 1458 473 159
1617310800.0 10824.522 205 92 0 393 663 0 2931 341 142 1601 823 222
1617310800.0 10842.502 212 100 0 379 767 0 2744 512 176 1504 786 245
1617310800.0 11634.502 225 125 0 531 781 0 2323 842 179 2937 1280 442
1617310800.0 11634.512 238 134 0 516 736 0 2960 622 143 3250 1206 623
1617310800.0 11634.522 233 128 0 499 708 0 2422 573 145 2918 978 223
1617310800.0 11650.502 222 124 0 477 779 0 2558 709 180 2938 1001 411
1617310800.0 136.885502 116 108 0 224 755 0 897 861 123 1150 1009 172
1617310800.0 136.885512 123 95 0 227 711 0 858 642 142 941 850 237
1617310800.0 136.885522 125 98 0 221 674 0 884 594 133 697 813 197
1617310800.0 136.888502 116 109 0 221 754 0 782 887 118 621 992 140
1617310800.0 136.888512 124 91 0 222 707 0 808 704 140 949 801 192
1617310800.0 136.888522 124 94 0 224 669 0 866 614 132 559 692 189
