Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617397200.0 1.0 73 90 187 NA NA NA NA NA NA 215 187 590 NA NA NA NA NA NA 1253 699 1774 NA NA NA NA NA NA 1276 944 2205 NA NA NA NA NA NA
1617397200.0 10.0 NA 121 299 0 NA NA NA NA NA NA 237 669 0 NA NA NA NA NA NA 2894 4222 510 NA NA NA NA NA NA 2220 3268 557 NA NA NA NA NA
1617397200.0 1000.0 NA 273 136 0 61 NA NA NA NA NA 659 297 0 149 NA NA NA NA NA 3767 1532 375 312 NA NA NA NA NA 2569 1434 867 469 NA NA NA NA
1617397200.0 10001.0 NA 192 359 0 79 141 NA NA NA NA 379 812 0 188 277 NA NA NA NA 2684 2563 612 445 735 NA NA NA NA 1872 3864 973 1010 1204 NA NA NA
1617397200.0 10002.0 NA 191 356 0 79 164 NA NA NA NA 386 788 0 188 344 NA NA NA NA 2873 2337 618 481 742 NA NA NA NA 2275 2694 905 1011 749 NA NA NA
1617397200.0 10003.0 NA 200 364 0 82 165 NA NA NA NA 390 799 0 191 340 NA NA NA NA 2665 3880 613 392 991 NA NA NA NA 1801 5528 766 689 1854 NA NA NA
1617397200.0 10004.0 NA 192 357 0 83 142 NA NA NA NA 378 783 0 189 279 NA NA NA NA 2867 2942 627 593 731 NA NA NA NA 2010 3404 889 995 910 NA NA NA
1617397200.0 10005.0 NA 197 358 0 79 162 NA NA NA NA 375 780 0 189 331 NA NA NA NA 2644 2970 616 491 679 NA NA NA NA 1622 3501 859 976 909 NA NA NA
1617397200.0 10006.0 NA 190 352 0 76 135 NA NA NA NA 391 735 0 186 281 NA NA NA NA 2546 2570 613 427 917 NA NA NA NA 1360 3604 803 718 1371 NA NA NA
1617397200.0 10007.0 NA 214 360 0 82 146 NA NA NA NA 417 803 0 191 294 NA NA NA NA 2665 2607 640 416 707 NA NA NA NA 1289 3826 1134 706 1409 NA NA NA
1617397200.0 10008.0 NA 208 362 0 79 161 NA NA NA NA 415 857 0 189 340 NA NA NA NA 2648 2428 625 437 768 NA NA NA NA 1282 3767 964 814 829 NA NA NA
1617397200.0 10009.0 NA 214 363 0 79 162 NA NA NA NA 387 777 0 188 323 NA NA NA NA 2689 2594 638 575 778 NA NA NA NA 1628 3866 1124 1301 1016 NA NA NA
1617397200.0 1001.0 NA 259 116 0 0 0 0 0 0 NA 588 223 0 0 0 0 0 0 NA 3089 833 92 70 111 233 116 241 NA 2275 605 226 318 852 298 266 311
