Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617570000.0 1.0 75 90 189 NA NA NA NA 219 187 608 NA NA NA NA 1317 706 1632 NA NA NA NA 2022 671 2030 NA NA NA NA
1617570000.0 10059.0 NA 222 381 0 81 167 NA NA 429 819 0 189 332 NA NA 2823 3455 672 455 749 NA NA 1831 4098 1375 887 2004 NA
1617570000.0 101.0 82 NA NA NA NA NA NA 211 NA NA NA NA NA NA 824 NA NA NA NA NA NA 1156 NA NA NA NA NA NA
1617570000.0 102.0 85 NA NA NA NA NA NA 211 NA NA NA NA NA NA 708 NA NA NA NA NA NA 941 NA NA NA NA NA NA
1617570000.0 10224.0 NA 363 600 0 167 NA NA NA 585 986 0 344 NA NA NA 4731 4763 690 918 NA NA NA 3893 5686 1292 1538 NA NA
1617570000.0 10224.15 NA 355 594 0 193 NA NA NA 621 1029 0 368 NA NA NA 4912 4877 695 1106 NA NA NA 3575 5419 1740 1854 NA NA
1617570000.0 10225.0 NA 367 582 0 167 NA NA NA 592 988 0 344 NA NA NA 4738 4546 683 817 NA NA NA 3536 5060 1600 1326 NA NA
1617570000.0 103.0 59 0 0 NA NA NA NA 157 0 0 NA NA NA NA 733 133 1555 NA NA NA NA 1174 258 2393 NA NA NA NA
1617570000.0 1040.0 NA 370 34 0 NA NA NA NA 840 115 0 NA NA NA NA 12093 169 119 NA NA NA NA 5371 1045 1028 NA NA NA
1617570000.0 10424.0 NA 167 368 0 NA NA NA NA 339 752 0 NA NA NA NA 1288 2636 652 NA NA NA NA 1135 4168 867 NA NA NA
1617570000.0 106.0 58 0 0 NA NA NA NA 154 0 0 NA NA NA NA 836 174 1616 NA NA NA NA 1078 456 2358 NA NA NA NA
1617570000.0 107.0 80 95 276 NA NA NA NA 222 192 595 NA NA NA NA 4316 734 2242 NA NA NA NA 3572 610 2768 NA NA NA NA
1617570000.0 108.0 74 98 281 NA NA NA NA 219 199 627 NA NA NA NA 2783 1447 2050 NA NA NA NA 1789 1100 2531 NA NA NA NA
1617570000.0 10824.0 NA 192 372 0 81 168 NA NA 376 805 0 190 343 NA NA 2702 2765 675 553 1288 NA NA 1795 4389 1595 1496 2935 NA
1617570000.0 10825.0 NA 193 363 0 80 171 NA NA 382 837 0 189 333 NA NA 2526 2735 660 539 717 NA NA 1491 3349 1450 1695 939 NA
1617570000.0 109.0 80 96 277 NA NA NA NA 214 203 615 NA NA NA NA 2410 844 2130 NA NA NA NA 1814 795 2978 NA NA NA NA
1617570000.0 110.0 62 92 272 NA NA NA NA 163 197 632 NA NA NA NA 878 944 2336 NA NA NA NA 1140 591 3388 NA NA NA NA
