Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617656400.0 10824.0 NA 205 372 0 81 169 NA 400 765 0 189 342 NA 3071 2837 696 448 929 NA 2911 5151 1031 705 2340
1617656400.0 11024.6 NA 419 677 0 173 NA NA 692 1156 0 344 NA NA 6841 6632 731 1027 NA NA 3971 6335 1708 3031 NA
1617656400.0 111.0 63 89 260 NA NA NA 187 186 609 NA NA NA 947 703 2303 NA NA NA 1004 1478 2528 NA NA NA
1617656400.0 122.0 64 89 271 NA NA NA 186 187 618 NA NA NA 1154 827 2067 NA NA NA 1702 1770 2262 NA NA NA
1617656400.0 130.0 61 90 271 NA NA NA 161 190 620 NA NA NA 768 858 2200 NA NA NA 1202 913 2638 NA NA NA
1617656400.0 134.0 NA 278 35 0 NA NA NA 589 129 0 NA NA NA 4275 169 85 NA NA NA 5170 714 607 NA NA
1617656400.0 23461.97 928 NA NA NA NA NA 1571 NA NA NA NA NA 11750 NA NA NA NA NA 6415 NA NA NA NA NA
1617656400.0 25202.15 NA 315 546 0 190 NA NA 608 887 0 366 NA NA 3566 4761 540 1197 NA NA 2658 4982 1980 3381 NA
1617656400.0 25206.0 NA 303 548 0 167 NA NA 569 967 0 341 NA NA 3502 4470 538 887 NA NA 2819 5350 1499 1719 NA
1617656400.0 4.28 NA 62 276 0 NA NA NA 145 637 0 NA NA NA 288 4063 1747 NA NA NA 869 4995 2814 NA NA
1617656400.0 4002.0 NA 119 288 NA NA NA NA 239 635 NA NA NA NA 2321 3254 NA NA NA NA 1814 2650 NA NA NA
1617656400.0 4003.0 NA 122 286 NA NA NA NA 228 630 NA NA NA NA 2459 3511 NA NA NA NA 1238 2834 NA NA NA
1617656400.0 4007.0 59 0 0 NA NA NA 157 0 0 NA NA NA 788 170 1542 NA NA NA 825 470 2557 NA NA NA
1617656400.0 4008.0 59 0 0 NA NA NA 158 0 0 NA NA NA 974 138 2533 NA NA NA 1707 524 4739 NA NA NA
1617656400.0 512.0 18 51 0 NA NA NA 87 114 0 NA NA NA 2020 315 152 NA NA NA 12031 1181 767 NA NA NA
1617656400.0 513.0 18 47 0 NA NA NA 87 114 0 NA NA NA 592 303 149 NA NA NA 4072 1307 625 NA NA NA
1617656400.0 516.0 18 45 0 NA NA NA 87 110 0 NA NA NA 2035 253 146 NA NA NA 11145 513 782 NA NA NA
1617656400.0 521.0 18 34 0 NA NA NA 87 106 0 NA NA NA 2026 195 147 NA NA NA 11173 983 614 NA NA NA
1617656400.0 522.0 18 35 0 NA NA NA 87 110 0 NA NA NA 615 184 153 NA NA NA 4132 786 485 NA NA NA
1617656400.0 523.0 18 36 0 NA NA NA 87 110 0 NA NA NA 854 202 149 NA NA NA 3960 821 686 NA NA NA
1617656400.0 525.0 18 43 0 NA NA NA 87 105 0 NA NA NA 6100 184 158 NA NA NA 11228 734 864 NA NA NA
1617656400.0 526.0 18 35 0 NA NA NA 87 106 0 NA NA NA 2035 188 147 NA NA NA 12363 717 486 NA NA NA
1617656400.0 551.0 18 37 0 NA NA NA 87 113 0 NA NA NA 839 244 149 NA NA NA 3882 1128 899 NA NA NA
1617656400.0 555.0 18 40 0 NA NA NA 87 113 0 NA NA NA 973 257 150 NA NA NA 4282 1090 529 NA NA NA
