Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617397200.0 1.0 75 91 191 NA NA NA NA NA NA 222 189 585 NA NA NA NA NA NA 1291 921 1705 NA NA NA NA NA NA 1175 964 1814 NA NA NA NA NA NA
1617397200.0 10.0 NA 121 298 0 NA NA NA NA NA NA 237 647 0 NA NA NA NA NA NA 2396 4208 537 NA NA NA NA NA NA 1405 3898 676 NA NA NA NA NA
1617397200.0 1000.0 NA 276 142 0 51 NA NA NA NA NA 629 299 0 149 NA NA NA NA NA 3879 1429 403 321 NA NA NA NA NA 4148 1552 1004 418 NA NA NA NA
1617397200.0 10001.0 NA 191 367 0 81 151 NA NA NA NA 384 797 0 190 315 NA NA NA NA 2639 2736 639 592 837 NA NA NA NA 2299 4096 1369 1277 1269 NA NA NA
1617397200.0 10002.0 NA 192 369 0 81 164 NA NA NA NA 399 810 0 189 338 NA NA NA NA 2914 2416 643 500 820 NA NA NA NA 2437 3471 1252 1139 1077 NA NA NA
1617397200.0 10003.0 NA 193 373 0 80 169 NA NA NA NA 391 812 0 187 332 NA NA NA NA 2640 2547 633 418 702 NA NA NA NA 2273 3779 1051 733 975 NA NA NA
1617397200.0 10004.0 NA 192 362 0 81 141 NA NA NA NA 390 750 0 192 299 NA NA NA NA 2920 2336 629 395 702 NA NA NA NA 2369 3254 944 803 1624 NA NA NA
1617397200.0 10005.0 NA 192 366 0 80 163 NA NA NA NA 383 774 0 188 324 NA NA NA NA 2608 2820 644 406 693 NA NA NA NA 1891 4481 1287 944 1160 NA NA NA
1617397200.0 10006.0 NA 200 365 0 78 136 NA NA NA NA 399 804 0 186 279 NA NA NA NA 2592 2264 633 427 758 NA NA NA NA 1907 2941 898 752 1208 NA NA NA
1617397200.0 1001.0 NA 259 118 0 0 0 0 0 0 NA 578 232 0 0 0 0 0 0 NA 3498 830 93 73 108 245 123 247 NA 3468 1387 342 334 258 717 391 356
1617397200.0 1002.0 NA 280 74 NA NA NA NA NA NA NA 667 168 NA NA NA NA NA NA NA 3612 401 NA NA NA NA NA NA NA 3446 280 NA NA NA NA NA NA
1617397200.0 10023.0 NA 200 361 0 78 137 NA NA NA NA 406 782 0 179 272 NA NA NA NA 2691 2574 644 486 681 NA NA NA NA 1804 4073 1293 1415 1216 NA NA NA
1617397200.0 10024.0 NA 198 380 0 82 171 NA NA NA NA 403 804 0 190 342 NA NA NA NA 2791 2929 669 405 807 NA NA NA NA 2586 4304 1486 600 1109 NA NA NA
1617397200.0 10024.1 NA 202 379 0 NA NA NA NA NA NA 387 776 0 NA NA NA NA NA NA 2851 2784 693 NA NA NA NA NA NA 1702 3417 956 NA NA NA NA NA
1617397200.0 10024.2 NA 208 377 0 NA NA NA NA NA NA 385 783 0 NA NA NA NA NA NA 2753 2793 695 NA NA NA NA NA NA 1318 3766 1151 NA NA NA NA NA
1617397200.0 10024.3 NA 199 386 0 NA NA NA NA NA NA 389 815 0 NA NA NA NA NA NA 3024 3192 678 NA NA NA NA NA NA 2266 4451 885 NA NA NA NA NA
1617397200.0 10024.4 NA 203 380 0 NA NA NA NA NA NA 402 790 0 NA NA NA NA NA NA 2806 2778 681 NA NA NA NA NA NA 1426 3062 1102 NA NA NA NA NA
1617397200.0 10024.5 NA 198 383 0 NA NA NA NA NA NA 396 792 0 NA NA NA NA NA NA 2724 2777 697 NA NA NA NA NA NA 1692 2929 1444 NA NA NA NA NA
1617397200.0 10025.0 NA 199 380 0 81 165 NA NA NA NA 384 783 0 192 340 NA NA NA NA 2685 2579 658 486 901 NA NA NA NA 1627 3975 1286 935 1411 NA NA NA
