Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617656400.0 11634.911 75 NA NA 173 NA NA 4675 NA NA 4340 NA NA
1617656400.0 11834.99 NA 486 NA NA 803 NA NA 6405 NA NA 6124 NA
1617656400.0 1361.17 70 NA NA 177 NA NA 8433 NA NA 8224 NA NA
1617656400.0 1361.18 72 NA NA 171 NA NA 9352 NA NA 9423 NA NA
1617656400.0 1361.181 70 NA NA 174 NA NA 8492 NA NA 8028 NA NA
1617656400.0 159.3 65 NA NA 151 NA NA 1066 NA NA 1286 NA NA
1617656400.0 23434.99 NA 894 NA NA 1391 NA NA 11756 NA NA 9823 NA
1617656400.0 23461.97 868 NA NA 1429 NA NA 10709 NA NA 7289 NA NA
1617656400.0 250202.1 NA 309 NA NA 562 NA NA 5695 NA NA 3616 NA
1617656400.0 250202.181 NA 379 NA NA 622 NA NA 5019 NA NA 5352 NA
1617656400.0 250206.181 NA 379 NA NA 633 NA NA 4980 NA NA 5285 NA
1617656400.0 250206.182 69 NA NA 175 NA NA 2917 NA NA 4191 NA NA
1617656400.0 25211.0 86 NA NA 210 NA NA 8455 NA NA 8292 NA NA
1617656400.0 25211.17 71 NA NA 177 NA NA 8505 NA NA 8316 NA NA
1617656400.0 25215.18 30 71 NA 87 179 NA 84 6624 NA 183 5666 NA
1617656400.0 29834.0 90 NA NA 188 NA NA 16106 NA NA 11461 NA NA
1617656400.0 302.0 65 NA NA 186 NA NA 989 NA NA 1479 NA NA
1617656400.0 312.0 71 NA NA 168 NA NA 1224 NA NA 1467 NA NA
1617656400.0 32234.0 88 NA NA 187 NA NA 16406 NA NA 11631 NA NA
1617656400.0 33034.0 88 NA NA 188 NA NA 16469 NA NA 12099 NA NA
1617656400.0 34234.0 87 NA NA 186 NA NA 15948 NA NA 11826 NA NA
1617656400.0 34834.999 NA 406 NA NA 682 NA NA 9444 NA NA 7759 NA
1617656400.0 513.0 18 42 0 84 117 0 572 320 154 4741 832 671
1617656400.0 523.0 18 39 0 85 115 0 2529 380 274 4377 927 632
1617656400.0 551.0 18 40 0 85 119 0 2439 450 271 3676 906 609
