Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617397200.0 1.0 73 93 187 NA NA NA NA NA NA 217 196 597 NA NA NA NA NA NA 1635 825 1769 NA NA NA NA NA NA 2089 965 2001 NA NA NA NA NA NA
1617397200.0 10.0 NA 121 301 0 NA NA NA NA NA NA 247 643 0 NA NA NA NA NA NA 2459 3881 515 NA NA NA NA NA NA 1733 2934 680 NA NA NA NA NA
1617397200.0 1000.0 NA 278 142 0 65 NA NA NA NA NA 687 305 0 150 NA NA NA NA NA 3722 1573 381 325 NA NA NA NA NA 3776 1467 660 1562 NA NA NA NA
1617397200.0 10001.0 NA 200 371 0 81 150 NA NA NA NA 412 767 0 197 309 NA NA NA NA 2621 2904 632 540 1052 NA NA NA NA 1472 3513 1065 1066 1927 NA NA NA
1617397200.0 10002.0 NA 194 362 0 98 165 NA NA NA NA 413 817 0 198 335 NA NA NA NA 2639 2466 636 473 852 NA NA NA NA 1944 3382 1210 940 2687 NA NA NA
1617397200.0 10003.0 NA 194 370 0 81 165 NA NA NA NA 398 813 0 198 352 NA NA NA NA 2947 2837 634 526 912 NA NA NA NA 2877 4776 1026 903 1019 NA NA NA
1617397200.0 10004.0 NA 192 365 0 82 143 NA NA NA NA 397 800 0 198 304 NA NA NA NA 2756 2863 632 633 801 NA NA NA NA 2207 3288 1083 1610 1894 NA NA NA
1617397200.0 10005.0 NA 193 367 0 82 165 NA NA NA NA 392 806 0 199 341 NA NA NA NA 2601 2973 638 430 922 NA NA NA NA 2000 5454 1341 910 1609 NA NA NA
1617397200.0 10006.0 NA 193 360 0 78 136 NA NA NA NA 382 810 0 186 285 NA NA NA NA 2737 2889 641 510 884 NA NA NA NA 1647 3860 1425 1507 1383 NA NA NA
1617397200.0 10007.0 NA 206 366 0 85 145 NA NA NA NA 417 798 0 196 306 NA NA NA NA 2748 2687 647 682 770 NA NA NA NA 2175 3262 1024 1807 1230 NA NA NA
1617397200.0 10008.0 NA 216 365 0 81 160 NA NA NA NA 419 834 0 198 351 NA NA NA NA 2702 2729 643 506 892 NA NA NA NA 2056 3824 1370 1082 992 NA NA NA
1617397200.0 10009.0 NA 210 374 0 81 161 NA NA NA NA 392 806 0 192 345 NA NA NA NA 2800 2799 644 563 1093 NA NA NA NA 2693 3736 1516 1576 2044 NA NA NA
1617397200.0 1001.0 NA 267 119 0 0 0 0 0 0 NA 637 236 0 0 0 0 0 0 NA 3607 1555 94 73 107 230 122 240 NA 3132 1351 576 447 637 302 217 554
1617397200.0 1001.2 NA 421 148 0 NA NA NA NA NA NA 851 312 0 NA NA NA NA NA NA 15218 2238 115 NA NA NA NA NA NA 7061 1756 703 NA NA NA NA NA
1617397200.0 1002.0 NA 284 80 NA NA NA NA NA NA NA 604 169 NA NA NA NA NA NA NA 4117 408 NA NA NA NA NA NA NA 4929 323 NA NA NA NA NA NA
1617397200.0 10023.0 NA 194 370 0 81 138 NA NA NA NA 391 841 0 197 284 NA NA NA NA 2926 2768 663 424 858 NA NA NA NA 2644 3473 2106 829 1316 NA NA NA
1617397200.0 10024.0 NA 216 382 0 85 167 NA NA NA NA 407 780 0 202 340 NA NA NA NA 2757 2909 672 648 871 NA NA NA NA 1963 3612 2039 1771 1866 NA NA NA
1617397200.0 10024.1 NA 213 388 0 NA NA NA NA NA NA 414 803 0 NA NA NA NA NA NA 2902 3580 672 NA NA NA NA NA NA 1720 3190 949 NA NA NA NA NA
1617397200.0 10024.2 NA 225 386 0 NA NA NA NA NA NA 396 821 0 NA NA NA NA NA NA 2774 2787 677 NA NA NA NA NA NA 1077 3012 1075 NA NA NA NA NA
1617397200.0 10024.3 NA 224 389 0 NA NA NA NA NA NA 403 869 0 NA NA NA NA NA NA 2809 2775 666 NA NA NA NA NA NA 1747 2796 1016 NA NA NA NA NA
1617397200.0 10024.4 NA 213 383 0 NA NA NA NA NA NA 403 820 0 NA NA NA NA NA NA 2808 3188 664 NA NA NA NA NA NA 1761 3633 980 NA NA NA NA NA
1617397200.0 10024.5 NA 211 385 0 NA NA NA NA NA NA 389 849 0 NA NA NA NA NA NA 2912 3006 672 NA NA NA NA NA NA 1510 2566 1058 NA NA NA NA NA
1617397200.0 10025.0 NA 203 374 0 82 165 NA NA NA NA 394 802 0 192 348 NA NA NA NA 2660 2602 660 511 1024 NA NA NA NA 1533 4150 1716 1380 1404 NA NA NA
1617397200.0 10026.0 NA 223 392 0 83 170 NA NA NA NA 430 855 0 198 337 NA NA NA NA 2775 2953 667 548 865 NA NA NA NA 1643 3125 1108 888 2697 NA NA NA
1617397200.0 1003.0 NA 316 0 NA NA NA NA NA NA NA 795 0 NA NA NA NA NA NA NA 3826 372 NA NA NA NA NA NA NA 3491 508 NA NA NA NA NA NA
1617397200.0 1004.0 NA 207 91 0 0 0 0 NA NA NA 401 206 0 0 0 0 NA NA NA 4780 533 72 104 239 238 NA NA NA 6439 688 223 229 365 301 NA NA
