Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617656400.0 1.0 75 95 182 NA NA NA NA 221 200 581 NA NA NA NA 1198 663 1695 NA NA NA NA 1246 844 1693 NA NA NA NA
1617656400.0 10005.0 NA 193 366 0 81 168 NA NA 389 706 0 195 340 NA NA 3133 3150 675 564 857 NA NA 2139 5442 1343 1011 1140 NA
1617656400.0 10009.0 NA 214 372 0 82 162 NA NA 417 799 0 197 349 NA NA 2778 2965 682 611 1067 NA NA 1710 4425 1216 1869 2033 NA
1617656400.0 10024.0 NA 219 386 0 83 168 NA NA 430 798 0 198 348 NA NA 2838 3187 700 487 1079 NA NA 2049 4875 1274 1109 1978 NA
1617656400.0 10025.0 NA 196 375 0 82 168 NA NA 409 809 0 197 350 NA NA 3085 3066 687 519 1023 NA NA 2119 5249 1625 958 1136 NA
1617656400.0 1003.0 NA 317 0 NA NA NA NA NA 777 0 NA NA NA NA NA 4170 362 NA NA NA NA NA 3387 474 NA NA NA NA
1617656400.0 101.0 86 NA NA NA NA NA NA 220 NA NA NA NA NA NA 787 NA NA NA NA NA NA 1104 NA NA NA NA NA NA
1617656400.0 1010.0 NA 27 49 0 NA NA NA NA 130 157 0 NA NA NA NA 138 269 149 NA NA NA NA 295 317 208 NA NA NA
1617656400.0 102.0 87 NA NA NA NA NA NA 220 NA NA NA NA NA NA 670 NA NA NA NA NA NA 935 NA NA NA NA NA NA
1617656400.0 1020.0 NA 42 35 0 43 NA NA NA 193 121 0 192 NA NA NA 298 125 62 305 NA NA NA 435 324 130 340 NA NA
1617656400.0 10224.15 NA 375 605 0 198 NA NA NA 633 1054 0 373 NA NA NA 5153 5427 729 1158 NA NA NA 4449 6758 1514 1573 NA NA
1617656400.0 10225.0 NA 360 612 0 169 NA NA NA 606 986 0 350 NA NA NA 4989 4893 696 942 NA NA NA 6165 7690 1500 1417 NA NA
1617656400.0 103.0 57 0 0 NA NA NA NA 161 0 0 NA NA NA NA 728 141 1848 NA NA NA NA 1601 399 2357 NA NA NA NA
1617656400.0 1030.0 NA 188 52 0 0 NA NA NA 456 147 0 0 NA NA NA 8075 275 64 62 NA NA NA 4802 294 116 92 NA NA
1617656400.0 1040.0 NA 367 39 0 NA NA NA NA 785 125 0 NA NA NA NA 12915 183 113 NA NA NA NA 5748 760 233 NA NA NA
1617656400.0 1040.1 NA 66 37 0 NA NA NA NA 185 122 0 NA NA NA NA 480 156 107 NA NA NA NA 680 219 138 NA NA NA
1617656400.0 105.0 73 93 31 NA NA NA NA 225 200 122 NA NA NA NA 1066 593 141 NA NA NA NA 895 380 203 NA NA NA NA
1617656400.0 106.0 60 0 0 NA NA NA NA 163 0 0 NA NA NA NA 667 166 1684 NA NA NA NA 1146 641 2183 NA NA NA NA
1617656400.0 108.0 75 99 287 NA NA NA NA 224 207 658 NA NA NA NA 3196 821 2550 NA NA NA NA 2362 592 3153 NA NA NA NA
1617656400.0 10802.0 NA 191 366 0 82 169 NA NA 386 809 0 189 349 NA NA 2717 2880 677 606 1335 NA NA 1899 5003 1486 1242 2553 NA
1617656400.0 10804.0 NA 185 367 0 82 168 NA NA 396 773 0 199 345 NA NA 2990 2820 679 499 1000 NA NA 3317 3738 1452 1605 1456 NA
1617656400.0 10807.0 NA 192 367 0 82 142 NA NA 393 822 0 198 282 NA NA 3227 2862 678 547 1510 NA NA 3422 3624 1552 1160 3112 NA
1617656400.0 10809.0 NA 193 367 0 82 170 NA NA 399 796 0 188 348 NA NA 2970 2759 673 687 1104 NA NA 2925 3555 1202 1600 1964 NA
1617656400.0 10824.0 NA 205 380 0 84 172 NA NA 405 808 0 192 349 NA NA 2817 3390 710 475 1118 NA NA 2915 4811 1471 1072 2530 NA
1617656400.0 10824.501 NA 206 99 0 NA NA NA NA 399 286 0 NA NA NA NA 2560 774 197 NA NA NA NA 2034 871 263 NA NA NA
1617656400.0 10824.511 NA 211 73 0 NA NA NA NA 396 205 0 NA NA NA NA 2613 412 164 NA NA NA NA 1736 677 248 NA NA NA
1617656400.0 10824.521 NA 211 69 0 NA NA NA NA 404 182 0 NA NA NA NA 2541 385 171 NA NA NA NA 1450 533 267 NA NA NA
1617656400.0 10824.6 NA 195 381 0 83 174 NA NA 394 831 0 201 351 NA NA 2891 2987 704 541 1010 NA NA 2598 4569 1296 1252 1505 NA
1617656400.0 10826.0 NA 202 384 0 84 171 NA NA 411 871 0 202 349 NA NA 2983 3155 713 463 1075 NA NA 2256 4159 1467 932 2373 NA
1617656400.0 10842.501 NA 212 93 0 NA NA NA NA 389 280 0 NA NA NA NA 2606 750 200 NA NA NA NA 1543 893 288 NA NA NA
1617656400.0 109.0 82 112 288 NA NA NA NA 227 199 635 NA NA NA NA 2833 838 2483 NA NA NA NA 2253 1049 2206 NA NA NA NA
1617656400.0 110.0 64 101 274 NA NA NA NA 162 197 697 NA NA NA NA 1595 618 2173 NA NA NA NA 1704 531 3038 NA NA NA NA
1617656400.0 11024.0 NA 408 688 0 173 NA NA NA 697 1195 0 350 NA NA NA 6379 6478 714 1002 NA NA NA 4957 7217 2107 1210 NA NA
1617656400.0 11024.15 NA 393 691 0 196 NA NA NA 678 1080 0 368 NA NA NA 6058 5819 706 1054 NA NA NA 5083 7485 1848 1211 NA NA
1617656400.0 11024.2 NA 415 690 0 177 NA NA NA 692 1176 0 354 NA NA NA 6286 6371 688 970 NA NA NA 4569 7036 986 1232 NA NA
1617656400.0 11024.6 NA 399 709 0 173 NA NA NA 694 1128 0 348 NA NA NA 6058 6286 694 1027 NA NA NA 5041 6967 995 1331 NA NA
1617656400.0 11025.0 NA 424 695 0 174 NA NA NA 722 1045 0 337 NA NA NA 6466 6279 693 872 NA NA NA 5347 8988 1885 1141 NA NA
1617656400.0 111.0 64 91 275 NA NA NA NA 191 194 635 NA NA NA NA 897 1468 2391 NA NA NA NA 1435 1283 3915 NA NA NA NA
1617656400.0 112.0 85 98 284 NA NA NA NA 229 196 680 NA NA NA NA 2102 707 2686 NA NA NA NA 1236 469 2936 NA NA NA NA
1617656400.0 113.0 82 97 282 NA NA NA NA 229 201 625 NA NA NA NA 2349 761 2339 NA NA NA NA 1426 457 2619 NA NA NA NA
1617656400.0 114.0 77 107 280 NA NA NA NA 221 201 644 NA NA NA NA 1951 748 2433 NA NA NA NA 1748 471 2299 NA NA NA NA
1617656400.0 115.0 84 100 285 NA NA NA NA 224 204 630 NA NA NA NA 2271 602 2378 NA NA NA NA 1837 368 3122 NA NA NA NA
1617656400.0 116.0 85 100 288 NA NA NA NA 227 209 612 NA NA NA NA 2515 747 2378 NA NA NA NA 2100 624 2381 NA NA NA NA
1617656400.0 11606.0 NA 253 444 0 88 NA NA NA 470 807 0 206 NA NA NA 2765 3377 930 912 NA NA NA 4518 7242 3673 1060 NA NA
1617656400.0 11607.0 NA 267 451 0 93 NA NA NA 478 785 0 209 NA NA NA 2831 3393 909 919 NA NA NA 4150 6969 2170 1160 NA NA
1617656400.0 11634.5 NA 291 116 0 NA NA NA NA 515 313 0 NA NA NA NA 2455 1220 202 NA NA NA NA 2570 1330 286 NA NA NA
1617656400.0 11634.501 NA 291 124 0 NA NA NA NA 539 309 0 NA NA NA NA 2267 1071 199 NA NA NA NA 2877 1450 301 NA NA NA
1617656400.0 11634.511 NA 292 104 0 NA NA NA NA 524 241 0 NA NA NA NA 2316 696 162 NA NA NA NA 2171 1002 243 NA NA NA
1617656400.0 11634.521 NA 287 100 0 NA NA NA NA 492 224 0 NA NA NA NA 2326 672 169 NA NA NA NA 2910 949 250 NA NA NA
1617656400.0 11634.911 75 289 469 0 96 NA NA 176 514 827 0 210 NA NA 4621 3631 4164 1465 1232 NA NA 6010 4955 6150 3871 1265 NA NA
1617656400.0 11640.0 NA 258 446 0 92 NA NA NA 489 787 0 203 NA NA NA 2820 3200 951 851 NA NA NA 3804 5516 1516 878 NA NA
1617656400.0 11650.501 NA 273 112 0 NA NA NA NA 493 299 0 NA NA NA NA 2463 952 198 NA NA NA NA 2655 1248 277 NA NA NA
1617656400.0 11650.911 73 280 463 0 96 NA NA 173 499 784 0 215 NA NA 3398 3661 4058 1452 1222 NA NA 3193 5239 7412 3388 1276 NA NA
1617656400.0 117.0 84 110 290 NA NA NA NA 229 204 635 NA NA NA NA 2592 673 2763 NA NA NA NA 1444 777 2876 NA NA NA NA
1617656400.0 118.0 88 101 292 NA NA NA NA 229 206 635 NA NA NA NA 3296 1122 2701 NA NA NA NA 2211 765 2368 NA NA NA NA
1617656400.0 11834.0 NA 567 944 0 179 NA NA NA 973 1405 0 349 NA NA NA 8229 10498 988 1041 NA NA NA 10601 10298 1971 1244 NA NA
1617656400.0 11834.13 NA 563 1014 0 180 NA NA NA 996 1529 0 353 NA NA NA 7794 12198 991 1078 NA NA NA 7460 11652 2028 1265 NA NA
