Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617487200.0 122.0 72 106 271 NA 211 199 575 NA 1072 808 3124 NA 1173 1171 3482 NA
1617487200.0 1325.6 NA 202 NA NA NA 394 NA NA NA 4489 NA NA NA 4334 NA NA
1617487200.0 134.0 NA 292 41 0 NA 616 142 0 NA 4940 213 94 NA 5269 994 717
1617487200.0 144.6 NA 277 NA NA NA 644 NA NA NA 3842 NA NA NA 3886 NA NA
1617487200.0 23461.97 894 NA NA NA 1571 NA NA NA 14722 NA NA NA 7614 NA NA NA
1617487200.0 4000.0 NA 121 315 NA NA 256 730 NA NA 2635 5691 NA NA 1292 3963 NA
1617487200.0 4008.0 63 106 307 NA 179 224 713 NA 957 453 3037 NA 1103 978 3580 NA
1617487200.0 512.0 19 42 0 NA 94 124 0 NA 2332 352 174 NA 13838 952 529 NA
1617487200.0 518.0 19 43 0 NA 94 123 0 NA 2246 281 171 NA 14184 747 880 NA
1617487200.0 521.0 19 50 0 NA 95 120 0 NA 2262 232 173 NA 13886 1087 493 NA
1617487200.0 526.0 19 54 0 NA 94 120 0 NA 2262 234 175 NA 14165 1252 1031 NA
