Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617440400.0 1.0 72 91 191 NA NA NA NA NA NA 222 190 521 NA NA NA NA NA NA 1060 656 1625 NA NA NA NA NA NA 1599 808 1675 NA NA NA NA NA NA
1617440400.0 10.0 NA 121 304 0 NA NA NA NA NA NA 233 699 0 NA NA NA NA NA NA 2775 3862 520 NA NA NA NA NA NA 1672 2902 705 NA NA NA NA NA
1617440400.0 1000.0 NA 280 141 0 53 NA NA NA NA NA 662 289 0 150 NA NA NA NA NA 3978 1706 382 316 NA NA NA NA NA 3024 1730 586 833 NA NA NA NA
1617440400.0 10001.0 NA 195 370 0 81 149 NA NA NA NA 385 761 0 191 312 NA NA NA NA 2771 2399 648 433 910 NA NA NA NA 2411 3170 2240 1165 1561 NA NA NA
1617440400.0 10002.0 NA 200 371 0 82 163 NA NA NA NA 395 824 0 191 340 NA NA NA NA 2629 3018 643 383 832 NA NA NA NA 1366 3791 1270 735 1001 NA NA NA
1617440400.0 10003.0 NA 193 376 0 81 165 NA NA NA NA 383 785 0 189 341 NA NA NA NA 2778 3151 636 367 886 NA NA NA NA 2200 3323 993 397 1785 NA NA NA
1617440400.0 10004.0 NA 200 370 0 96 142 NA NA NA NA 426 683 0 190 295 NA NA NA NA 2580 3064 642 412 670 NA NA NA NA 1520 6485 2029 1038 977 NA NA NA
1617440400.0 10005.0 NA 201 368 0 91 162 NA NA NA NA 404 806 0 191 333 NA NA NA NA 2613 3116 630 482 679 NA NA NA NA 1242 3859 1083 745 867 NA NA NA
1617440400.0 10006.0 NA 194 364 0 78 139 NA NA NA NA 375 769 0 179 285 NA NA NA NA 2794 2663 639 449 766 NA NA NA NA 1916 3422 1424 549 1123 NA NA NA
1617440400.0 10007.0 NA 214 363 0 81 146 NA NA NA NA 387 804 0 191 299 NA NA NA NA 2757 2669 644 414 922 NA NA NA NA 2581 3230 1202 707 1182 NA NA NA
1617440400.0 10008.0 NA 209 371 0 99 160 NA NA NA NA 395 825 0 186 340 NA NA NA NA 2719 2595 641 334 813 NA NA NA NA 1363 3885 1118 377 1219 NA NA NA
1617440400.0 10009.0 NA 205 374 0 84 168 NA NA NA NA 400 805 0 196 338 NA NA NA NA 3236 2882 648 452 892 NA NA NA NA 2488 3477 1426 1210 1975 NA NA NA
1617440400.0 1001.0 NA 261 123 0 0 0 0 0 0 NA 629 232 0 0 0 0 0 0 NA 3434 908 98 72 107 232 116 241 NA 2923 870 742 338 272 450 390 303
1617440400.0 1001.2 NA 417 146 0 NA NA NA NA NA NA 908 311 0 NA NA NA NA NA NA 15136 1988 109 NA NA NA NA NA NA 8176 1640 163 NA NA NA NA NA
1617440400.0 1002.0 NA 282 80 NA NA NA NA NA NA NA 596 171 NA NA NA NA NA NA NA 3800 393 NA NA NA NA NA NA NA 5543 253 NA NA NA NA NA NA
1617440400.0 10023.0 NA 194 366 0 82 133 NA NA NA NA 385 804 0 190 275 NA NA NA NA 2697 2803 648 605 732 NA NA NA NA 1900 3474 1016 1481 1017 NA NA NA
1617440400.0 10024.0 NA 215 388 0 97 167 NA NA NA NA 399 807 0 194 341 NA NA NA NA 2638 2789 674 369 803 NA NA NA NA 1671 3666 1774 364 1118 NA NA NA
1617440400.0 10024.1 NA 225 383 0 NA NA NA NA NA NA 400 780 0 NA NA NA NA NA NA 2758 2806 669 NA NA NA NA NA NA 1234 2901 919 NA NA NA NA NA
1617440400.0 10024.2 NA 233 390 0 NA NA NA NA NA NA 392 825 0 NA NA NA NA NA NA 2867 3237 660 NA NA NA NA NA NA 1990 3423 919 NA NA NA NA NA
1617440400.0 10024.3 NA 223 384 0 NA NA NA NA NA NA 390 800 0 NA NA NA NA NA NA 2649 2843 672 NA NA NA NA NA NA 1263 3325 1044 NA NA NA NA NA
1617440400.0 10024.4 NA 226 384 0 NA NA NA NA NA NA 401 814 0 NA NA NA NA NA NA 2742 2856 660 NA NA NA NA NA NA 1488 3517 855 NA NA NA NA NA
1617440400.0 10024.5 NA 212 386 0 NA NA NA NA NA NA 409 811 0 NA NA NA NA NA NA 2975 2718 664 NA NA NA NA NA NA 1818 3481 1056 NA NA NA NA NA
1617440400.0 10025.0 NA 202 378 0 87 165 NA NA NA NA 409 843 0 189 340 NA NA NA NA 2733 3291 660 736 784 NA NA NA NA 1265 3430 1616 1768 1446 NA NA NA
1617440400.0 10026.0 NA 221 391 0 94 166 NA NA NA NA 397 796 0 195 344 NA NA NA NA 2818 3304 671 390 858 NA NA NA NA 1616 3467 1429 380 1660 NA NA NA
1617440400.0 1003.0 NA 319 0 NA NA NA NA NA NA NA 728 0 NA NA NA NA NA NA NA 3980 372 NA NA NA NA NA NA NA 3350 475 NA NA NA NA NA NA
1617440400.0 1004.0 NA 207 91 0 0 0 0 NA NA NA 394 197 0 0 0 0 NA NA NA 1601 507 69 107 246 242 NA NA NA 1809 628 131 185 323 293 NA NA
1617440400.0 10042.0 NA 214 380 0 85 166 NA NA NA NA 422 808 0 197 345 NA NA NA NA 3270 2889 665 460 798 NA NA NA NA 2315 3617 1221 1269 1133 NA NA NA
1617440400.0 10059.0 NA 227 391 0 83 166 NA NA NA NA 402 812 0 196 341 NA NA NA NA 2784 3331 678 459 912 NA NA NA NA 1660 5017 1261 1007 1566 NA NA NA
1617440400.0 10071.0 NA 199 380 0 84 172 NA NA NA NA 380 818 0 190 351 NA NA NA NA 2903 2945 668 394 843 NA NA NA NA 1632 3753 1401 549 980 NA NA NA
1617440400.0 101.0 86 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 817 NA NA NA NA NA NA NA NA 1158 NA NA NA NA NA NA NA NA
1617440400.0 1010.0 NA 29 49 0 NA NA NA NA NA NA 125 155 0 NA NA NA NA NA NA 144 264 149 NA NA NA NA NA NA 347 342 201 NA NA NA NA NA
1617440400.0 102.0 86 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 698 NA NA NA NA NA NA NA NA 958 NA NA NA NA NA NA NA NA
1617440400.0 1020.0 NA 46 22 0 45 NA NA NA NA NA 185 112 0 186 NA NA NA NA NA 308 128 68 325 NA NA NA NA NA 448 289 117 363 NA NA NA NA
1617440400.0 10224.0 NA 369 580 0 168 NA NA NA NA NA 599 994 0 342 NA NA NA NA NA 5167 5043 686 807 NA NA NA NA NA 3846 7442 1404 1149 NA NA NA NA
1617440400.0 10224.15 NA 356 613 0 198 NA NA NA NA NA 597 1026 0 372 NA NA NA NA NA 4668 4840 711 1055 NA NA NA NA NA 2586 6347 1531 1654 NA NA NA NA
1617440400.0 10225.0 NA 364 601 0 169 NA NA NA NA NA 596 1001 0 332 NA NA NA NA NA 4863 4918 683 782 NA NA NA NA NA 4087 6186 1438 1146 NA NA NA NA
1617440400.0 103.0 57 0 0 NA NA NA NA NA NA 158 0 0 NA NA NA NA NA NA 872 175 1752 NA NA NA NA NA NA 904 540 2958 NA NA NA NA NA NA
1617440400.0 1030.0 NA 184 47 0 0 NA NA NA NA NA 446 141 0 0 NA NA NA NA NA 8321 281 64 58 NA NA NA NA NA 4224 337 120 85 NA NA NA NA
1617440400.0 1040.0 NA 369 27 0 NA NA NA NA NA NA 791 116 0 NA NA NA NA NA NA 12500 163 109 NA NA NA NA NA NA 4983 412 423 NA NA NA NA NA
1617440400.0 1040.1 NA 64 27 0 NA NA NA NA NA NA 180 116 0 NA NA NA NA NA NA 498 162 103 NA NA NA NA NA NA 770 255 128 NA NA NA NA NA
1617440400.0 10424.0 NA 179 379 0 NA NA NA NA NA NA 345 773 0 NA NA NA NA NA NA 1403 3967 664 NA NA NA NA NA NA 1207 4494 939 NA NA NA NA NA
1617440400.0 105.0 73 92 36 NA NA NA NA NA NA 214 192 115 NA NA NA NA NA NA 1189 638 141 NA NA NA NA NA NA 1045 416 224 NA NA NA NA NA NA
1617440400.0 106.0 60 0 0 NA NA NA NA NA NA 157 0 0 NA NA NA NA NA NA 1015 164 1665 NA NA NA NA NA NA 1134 445 3150 NA NA NA NA NA NA
1617440400.0 107.0 81 97 287 NA NA NA NA NA NA 222 201 640 NA NA NA NA NA NA 2510 709 2340 NA NA NA NA NA NA 1351 834 2359 NA NA NA NA NA NA
1617440400.0 108.0 75 98 286 NA NA NA NA NA NA 228 198 624 NA NA NA NA NA NA 2723 622 2280 NA NA NA NA NA NA 1374 522 2469 NA NA NA NA NA NA
