Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617310800.0 1.0 74 91 182 NA NA NA NA NA NA 216 189 578 NA NA NA NA NA NA 1148 741 1562 NA NA NA NA NA NA 1142 1003 1583 NA NA NA NA NA NA
1617310800.0 10.0 NA 122 307 0 NA NA NA NA NA NA 245 667 0 NA NA NA NA NA NA 2567 4107 524 NA NA NA NA NA NA 1748 3720 592 NA NA NA NA NA
1617310800.0 1000.0 NA 278 140 0 61 NA NA NA NA NA 652 294 0 148 NA NA NA NA NA 4283 2275 404 330 NA NA NA NA NA 4197 2709 712 622 NA NA NA NA
1617310800.0 10001.0 NA 195 373 0 80 157 NA NA NA NA 386 802 0 190 329 NA NA NA NA 2925 3448 682 482 857 NA NA NA NA 2293 4617 1820 772 1063 NA NA NA
1617310800.0 10002.0 NA 195 368 0 82 168 NA NA NA NA 379 845 0 189 342 NA NA NA NA 2860 2791 679 556 853 NA NA NA NA 1635 4092 1897 1325 1200 NA NA NA
1617310800.0 10003.0 NA 196 370 0 81 166 NA NA NA NA 379 813 0 190 331 NA NA NA NA 3042 2842 685 474 730 NA NA NA NA 2529 4218 1581 840 1037 NA NA NA
1617310800.0 10004.0 NA 194 367 0 81 143 NA NA NA NA 391 775 0 189 284 NA NA NA NA 2565 2891 637 856 729 NA NA NA NA 1569 3451 997 2017 843 NA NA NA
1617310800.0 10005.0 NA 192 366 0 81 163 NA NA NA NA 384 774 0 188 341 NA NA NA NA 2833 2644 635 400 827 NA NA NA NA 2419 3746 1591 604 1300 NA NA NA
1617310800.0 10006.0 NA 192 359 0 78 135 NA NA NA NA 390 783 0 180 277 NA NA NA NA 2725 2392 646 583 819 NA NA NA NA 1883 3626 1877 1789 1922 NA NA NA
1617310800.0 10007.0 NA 204 364 0 81 144 NA NA NA NA 384 761 0 195 297 NA NA NA NA 2984 3167 680 465 859 NA NA NA NA 1667 4097 1092 767 1253 NA NA NA
1617310800.0 10008.0 NA 211 368 0 81 161 NA NA NA NA 381 784 0 187 339 NA NA NA NA 2995 2951 684 431 837 NA NA NA NA 2433 3869 1415 703 1333 NA NA NA
1617310800.0 10009.0 NA 202 369 0 81 162 NA NA NA NA 394 795 0 195 339 NA NA NA NA 2843 2485 643 453 928 NA NA NA NA 2451 3790 1276 996 1114 NA NA NA
1617310800.0 1001.0 NA 260 119 0 0 0 0 0 0 NA 617 235 0 0 0 0 0 0 NA 4385 972 96 77 114 253 130 244 NA 3907 1151 428 380 380 465 538 400
1617310800.0 1001.2 NA 422 145 0 NA NA NA NA NA NA 957 315 0 NA NA NA NA NA NA 15389 1923 112 NA NA NA NA NA NA 8907 1740 204 NA NA NA NA NA
1617310800.0 1002.0 NA 280 71 NA NA NA NA NA NA NA 714 172 NA NA NA NA NA NA NA 3592 382 NA NA NA NA NA NA NA 3754 322 NA NA NA NA NA NA
1617310800.0 10023.0 NA 202 362 0 81 138 NA NA NA NA 404 809 0 188 282 NA NA NA NA 2800 3135 693 538 788 NA NA NA NA 1218 4376 1176 949 1289 NA NA NA
1617310800.0 10024.0 NA 216 384 0 82 167 NA NA NA NA 404 784 0 194 347 NA NA NA NA 2853 2854 690 440 832 NA NA NA NA 2008 3388 2396 607 1240 NA NA NA
1617310800.0 10024.1 NA 215 384 0 NA NA NA NA NA NA 400 856 0 NA NA NA NA NA NA 3695 2978 721 NA NA NA NA NA NA 2753 4144 1522 NA NA NA NA NA
1617310800.0 10024.2 NA 215 385 0 NA NA NA NA NA NA 394 836 0 NA NA NA NA NA NA 3098 3384 712 NA NA NA NA NA NA 2127 5450 1121 NA NA NA NA NA
1617310800.0 10024.3 NA 218 386 0 NA NA NA NA NA NA 422 803 0 NA NA NA NA NA NA 2725 2983 671 NA NA NA NA NA NA 1603 3948 829 NA NA NA NA NA
1617310800.0 10024.4 NA 216 385 0 NA NA NA NA NA NA 403 693 0 NA NA NA NA NA NA 2792 3414 668 NA NA NA NA NA NA 1419 3545 1088 NA NA NA NA NA
1617310800.0 10024.5 NA 224 385 0 NA NA NA NA NA NA 402 805 0 NA NA NA NA NA NA 2959 3906 733 NA NA NA NA NA NA 1442 3340 1352 NA NA NA NA NA
1617310800.0 10025.0 NA 195 376 0 92 165 NA NA NA NA 392 799 0 189 329 NA NA NA NA 2712 2528 664 443 716 NA NA NA NA 1838 3153 1049 936 1322 NA NA NA
1617310800.0 10026.0 NA 219 391 0 83 166 NA NA NA NA 406 777 0 189 342 NA NA NA NA 2773 2931 680 428 886 NA NA NA NA 2050 4654 2013 930 2105 NA NA NA
1617310800.0 1003.0 NA 317 0 NA NA NA NA NA NA NA 727 0 NA NA NA NA NA NA NA 4032 359 NA NA NA NA NA NA NA 3765 486 NA NA NA NA NA NA
1617310800.0 1004.0 NA 213 90 0 0 0 0 NA NA NA 382 204 0 0 0 0 NA NA NA 2282 696 75 117 249 242 NA NA NA 3099 818 274 657 391 353 NA NA
1617310800.0 10042.0 NA 219 376 0 82 167 NA NA NA NA 409 808 0 189 335 NA NA NA NA 2685 2813 684 437 722 NA NA NA NA 1791 3627 1714 817 2399 NA NA NA
1617310800.0 10059.0 NA 219 393 0 82 167 NA NA NA NA 392 813 0 196 344 NA NA NA NA 3434 4521 702 552 1062 NA NA NA NA 3100 4953 1349 1029 1563 NA NA NA
1617310800.0 10071.0 NA 198 378 0 82 165 NA NA NA NA 385 818 0 190 337 NA NA NA NA 3056 3457 707 442 926 NA NA NA NA 2292 3801 1443 812 1195 NA NA NA
1617310800.0 101.0 86 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 789 NA NA NA NA NA NA NA NA 1104 NA NA NA NA NA NA NA NA
1617310800.0 1010.0 NA 26 49 0 NA NA NA NA NA NA 125 155 0 NA NA NA NA NA NA 147 253 148 NA NA NA NA NA NA 515 325 228 NA NA NA NA NA
1617310800.0 102.0 86 NA NA NA NA NA NA NA NA 213 NA NA NA NA NA NA NA NA 664 NA NA NA NA NA NA NA NA 896 NA NA NA NA NA NA NA NA
1617310800.0 1020.0 NA 42 33 0 40 NA NA NA NA NA 186 112 0 185 NA NA NA NA NA 303 123 65 315 NA NA NA NA NA 505 305 213 383 NA NA NA NA
1617310800.0 10224.0 NA 372 623 0 169 NA NA NA NA NA 598 996 0 345 NA NA NA NA NA 5146 4654 696 879 NA NA NA NA NA 3664 5358 1321 1152 NA NA NA NA
