Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617397200.0 1.0 122 153 283 NA NA NA NA NA NA 381 387 840 NA NA NA NA NA NA 1898 1091 1952 NA NA NA NA NA NA 2268 2022 3008 NA NA NA NA NA NA
1617397200.0 10.0 NA 187 448 0 NA NA NA NA NA NA 439 1091 0 NA NA NA NA NA NA 5901 10606 711 NA NA NA NA NA NA 3345 5006 992 NA NA NA NA NA
1617397200.0 1000.0 NA 394 203 0 91 NA NA NA NA NA 1017 526 0 288 NA NA NA NA NA 8754 2301 566 376 NA NA NA NA NA 9831 6231 2097 1640 NA NA NA NA
1617397200.0 10001.0 NA 247 508 0 130 212 NA NA NA NA 579 1250 0 364 533 NA NA NA NA 4373 3491 1021 536 940 NA NA NA NA 3175 7240 2201 1688 1697 NA NA NA
1617397200.0 10002.0 NA 249 505 0 130 228 NA NA NA NA 574 1232 0 367 548 NA NA NA NA 4253 3238 1053 671 813 NA NA NA NA 3662 5363 3190 1384 3241 NA NA NA
1617397200.0 10003.0 NA 256 510 0 130 226 NA NA NA NA 597 1261 0 365 549 NA NA NA NA 4164 3505 1056 757 1109 NA NA NA NA 2392 8428 2823 2977 3522 NA NA NA
1617397200.0 10004.0 NA 248 506 0 130 211 NA NA NA NA 573 1258 0 368 530 NA NA NA NA 4242 3365 1043 738 1004 NA NA NA NA 4296 7822 3243 3191 3821 NA NA NA
1617397200.0 10005.0 NA 248 505 0 130 227 NA NA NA NA 577 1258 0 365 554 NA NA NA NA 4390 2936 1036 614 1002 NA NA NA NA 4034 6391 2958 1683 2356 NA NA NA
1617397200.0 10006.0 NA 250 501 0 127 196 NA NA NA NA 575 1244 0 365 484 NA NA NA NA 4754 3809 1036 594 1006 NA NA NA NA 4105 5614 1660 1075 1968 NA NA NA
1617397200.0 10007.0 NA 258 503 0 130 206 NA NA NA NA 588 1320 0 373 505 NA NA NA NA 4263 3337 1043 628 1020 NA NA NA NA 3817 7133 2645 1570 3002 NA NA NA
1617397200.0 10008.0 NA 265 513 0 131 222 NA NA NA NA 598 1228 0 365 552 NA NA NA NA 4230 3191 1046 485 897 NA NA NA NA 3650 4986 3428 1469 1753 NA NA NA
1617397200.0 10009.0 NA 273 509 0 131 218 NA NA NA NA 577 1243 0 365 546 NA NA NA NA 4152 3613 1038 506 1083 NA NA NA NA 2219 8693 2369 1477 2234 NA NA NA
