Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617487200.0 1.0 72 91 194 NA NA NA 219 193 496 NA NA NA 1077 686 1611 NA NA NA 1149 585 1717 NA NA NA
1617487200.0 10026.0 NA 221 389 0 100 166 NA 433 847 0 189 341 NA 2875 3037 720 443 971 NA 1891 3970 1587 585 1396
1617487200.0 103.0 59 0 0 NA NA NA 155 0 0 NA NA NA 850 159 1627 NA NA NA 1063 685 2156 NA NA NA
1617487200.0 106.0 60 0 0 NA NA NA 156 0 0 NA NA NA 1065 134 1625 NA NA NA 1136 311 2242 NA NA NA
1617487200.0 109.0 84 97 286 NA NA NA 222 192 625 NA NA NA 2364 680 2079 NA NA NA 1901 554 2687 NA NA NA
1617487200.0 111.0 64 90 284 NA NA NA 181 192 613 NA NA NA 2579 917 3011 NA NA NA 2306 1534 5188 NA NA NA
1617487200.0 120.0 63 92 283 NA NA NA 178 193 638 NA NA NA 810 670 1925 NA NA NA 1160 670 2553 NA NA NA
1617487200.0 122.0 69 91 280 NA NA NA 194 184 624 NA NA NA 1211 552 2002 NA NA NA 1434 1273 2980 NA NA NA
1617487200.0 123.1 327 NA NA NA NA NA 627 NA NA NA NA NA 1513 NA NA NA NA NA 1694 NA NA NA NA NA
1617487200.0 123.2 329 NA NA NA NA NA 703 NA NA NA NA NA 1727 NA NA NA NA NA 1788 NA NA NA NA NA
1617487200.0 126.0 64 102 279 NA NA NA 181 190 682 NA NA NA 1462 807 2052 NA NA NA 834 1352 1869 NA NA NA
1617487200.0 127.0 64 90 280 NA NA NA 164 192 638 NA NA NA 1101 665 2073 NA NA NA 1514 707 2618 NA NA NA
1617487200.0 128.0 63 104 271 NA NA NA 164 195 624 NA NA NA 773 638 2166 NA NA NA 1520 487 2567 NA NA NA
1617487200.0 129.0 61 90 284 NA NA NA 162 190 624 NA NA NA 827 637 2041 NA NA NA 1610 607 2497 NA NA NA
1617487200.0 1301.0 86 138 210 NA NA NA 200 316 569 NA NA NA 1544 1468 1545 NA NA NA 1782 1791 1722 NA NA NA
1617487200.0 1301.17 65 199 227 NA NA NA 164 398 716 NA NA NA 1911 2634 1957 NA NA NA 2859 1186 1826 NA NA NA
1617487200.0 1325.6 NA 200 NA NA NA NA NA 387 NA NA NA NA NA 3725 NA NA NA NA NA 3342 NA NA NA NA
1617487200.0 1325.61 NA 196 NA NA NA NA NA 381 NA NA NA NA NA 3252 NA NA NA NA NA 2572 NA NA NA NA
1617487200.0 134.0 NA 296 48 0 NA NA NA 710 130 0 NA NA NA 4006 181 83 NA NA NA 4397 528 256 NA NA
1617487200.0 140.0 77 99 189 0 NA NA 182 204 385 0 NA NA 2649 497 1567 306 NA NA 2913 1259 2167 1144 NA NA
1617487200.0 144.6 NA 281 NA NA NA NA NA 645 NA NA NA NA NA 3258 NA NA NA NA NA 3112 NA NA NA NA
1617487200.0 2.0 88 114 199 NA NA NA 219 197 592 NA NA NA 2632 778 1746 NA NA NA 1976 1151 1786 NA NA NA
1617487200.0 23461.97 912 NA NA NA NA NA 1458 NA NA NA NA NA 11598 NA NA NA NA NA 6258 NA NA NA NA NA
1617487200.0 250199.0 315 NA NA NA NA NA 565 NA NA NA NA NA 3436 NA NA NA NA NA 2237 NA NA NA NA NA
1617487200.0 250199.17 305 NA NA NA NA NA 527 NA NA NA NA NA 3729 NA NA NA NA NA 2356 NA NA NA NA NA
1617487200.0 250199.18 394 NA NA NA NA NA 618 NA NA NA NA NA 5119 NA NA NA NA NA 2698 NA NA NA NA NA
1617487200.0 3.0 71 99 199 NA NA NA 198 198 550 NA NA NA 4554 578 1823 NA NA NA 2975 529 1776 NA NA NA
1617487200.0 4.28 NA 71 292 0 NA NA NA 144 633 0 NA NA NA 297 4154 1855 NA NA NA 730 5096 2737 NA NA
1617487200.0 4001.0 NA 176 360 NA NA NA NA 302 694 NA NA NA NA 1101 3363 NA NA NA NA 686 4766 NA NA NA
1617487200.0 4007.0 58 0 0 NA NA NA 158 0 0 NA NA NA 867 143 1716 NA NA NA 1156 759 2316 NA NA NA
1617487200.0 4008.0 63 101 290 NA NA NA 170 220 646 NA NA NA 821 433 2547 NA NA NA 1207 1084 3464 NA NA NA
1617487200.0 513.0 19 51 0 NA NA NA 87 117 0 NA NA NA 620 297 162 NA NA NA 5089 1054 843 NA NA NA
1617487200.0 515.0 19 50 0 NA NA NA 86 114 0 NA NA NA 2232 261 167 NA NA NA 8438 705 573 NA NA NA
1617487200.0 516.0 18 39 0 NA NA NA 87 114 0 NA NA NA 2049 265 164 NA NA NA 7103 639 561 NA NA NA
1617487200.0 522.0 19 53 0 NA NA NA 87 113 0 NA NA NA 580 195 167 NA NA NA 4686 483 869 NA NA NA
1617487200.0 525.0 19 52 0 NA NA NA 87 114 0 NA NA NA 2027 205 166 NA NA NA 7062 1113 565 NA NA NA
1617487200.0 555.0 18 43 0 NA NA NA 86 115 0 NA NA NA 931 268 162 NA NA NA 3250 900 748 NA NA NA
