Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617570000.0 109.0 82 97 292 NA 219 197 620 NA 2473 964 2334 NA 1447 1061 2734 NA
1617570000.0 120.0 64 91 276 NA 180 191 595 NA 897 682 2186 NA 1681 446 2721 NA
1617570000.0 127.0 63 92 280 NA 163 195 616 NA 1417 636 2307 NA 1903 615 2730 NA
1617570000.0 128.0 62 92 272 NA 162 187 626 NA 1579 627 2257 NA 2434 650 2702 NA
1617570000.0 129.0 62 91 274 NA 162 189 611 NA 1132 636 2140 NA 2204 640 2724 NA
1617570000.0 1325.6 NA 206 NA NA NA 381 NA NA NA 3925 NA NA NA 3338 NA NA
1617570000.0 1325.61 NA 193 NA NA NA 376 NA NA NA 3508 NA NA NA 2939 NA NA
1617570000.0 134.0 NA 287 50 0 NA 662 130 0 NA 4224 166 76 NA 4259 314 203
1617570000.0 144.6 NA 277 NA NA NA 589 NA NA NA 3421 NA NA NA 3498 NA NA
1617570000.0 23461.97 894 NA NA NA 1460 NA NA NA 11309 NA NA NA 5629 NA NA NA
1617570000.0 250199.18 374 NA NA NA 634 NA NA NA 5444 NA NA NA 2945 NA NA NA
1617570000.0 4007.0 60 0 0 NA 159 0 0 NA 997 159 1826 NA 1683 555 2459 NA
1617570000.0 513.0 19 47 0 NA 87 119 0 NA 593 342 168 NA 4363 804 1108 NA
1617570000.0 515.0 19 56 0 NA 86 116 0 NA 2111 265 165 NA 7466 2057 563 NA
1617570000.0 516.0 19 56 0 NA 87 117 0 NA 2053 268 156 NA 6100 1338 280 NA
1617570000.0 522.0 19 39 0 NA 87 113 0 NA 580 200 168 NA 4645 589 1149 NA
1617570000.0 525.0 19 50 0 NA 87 115 0 NA 2054 217 161 NA 6022 1310 274 NA
1617570000.0 555.0 18 46 0 NA 87 118 0 NA 924 256 161 NA 4393 953 701 NA
