Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617656400.0 1.0 88 108 244 NA NA NA NA 1042 1289 1357 NA NA NA NA 4279 2408 4623 NA NA NA NA 2788 842 3105 NA NA NA NA
1617656400.0 1004.0 NA 258 132 0 0 0 0 NA 1262 1009 0 0 0 0 NA 3683 1008 163 245 448 505 NA 2239 636 195 270 468 530
1617656400.0 101.0 104 NA NA NA NA NA NA 1023 NA NA NA NA NA NA 1951 NA NA NA NA NA NA 1991 NA NA NA NA NA NA
1617656400.0 1010.0 NA 35 85 0 NA NA NA NA 951 964 0 NA NA NA NA 276 600 274 NA NA NA NA 332 507 291 NA NA NA
1617656400.0 102.0 107 NA NA NA NA NA NA 1023 NA NA NA NA NA NA 1463 NA NA NA NA NA NA 1503 NA NA NA NA NA NA
1617656400.0 1020.0 NA 60 54 0 73 NA NA NA 1004 925 0 1008 NA NA NA 1173 206 99 775 NA NA NA 778 267 117 516 NA NA
1617656400.0 103.0 78 0 0 NA NA NA NA 983 0 0 NA NA NA NA 3003 822 3222 NA NA NA NA 1371 408 3029 NA NA NA NA
1617656400.0 1040.1 NA 94 47 0 NA NA NA NA 1032 930 0 NA NA NA NA 1111 241 204 NA NA NA NA 911 257 230 NA NA NA
1617656400.0 105.0 98 109 36 NA NA NA NA 1045 1260 928 NA NA NA NA 4098 1090 169 NA NA NA NA 1816 406 175 NA NA NA NA
1617656400.0 10824.501 NA 239 128 0 NA NA NA NA 1491 1089 0 NA NA NA NA 7930 2852 313 NA NA NA NA 2285 1590 336 NA NA NA
1617656400.0 10824.502 NA 241 163 0 NA NA NA NA 1442 4610 0 NA NA NA NA 7975 3104 263 NA NA NA NA 2254 1755 285 NA NA NA
1617656400.0 10824.511 NA 245 122 0 NA NA NA NA 1475 1018 0 NA NA NA NA 8122 1378 339 NA NA NA NA 2301 1268 369 NA NA NA
1617656400.0 10824.512 NA 246 174 0 NA NA NA NA 1413 4520 0 NA NA NA NA 8122 1415 334 NA NA NA NA 2305 1250 372 NA NA NA
1617656400.0 10824.521 NA 238 110 0 NA NA NA NA 1469 997 0 NA NA NA NA 7113 799 328 NA NA NA NA 2038 692 355 NA NA NA
1617656400.0 10824.522 NA 243 159 0 NA NA NA NA 1458 4508 0 NA NA NA NA 7285 1060 382 NA NA NA NA 2088 961 414 NA NA NA
1617656400.0 10842.501 NA 237 108 0 NA NA NA NA 1421 1098 0 NA NA NA NA 7376 1766 279 NA NA NA NA 2118 927 307 NA NA NA
1617656400.0 10842.502 NA 237 184 0 NA NA NA NA 1464 4601 0 NA NA NA NA 7568 2869 328 NA NA NA NA 2154 1724 375 NA NA NA
1617656400.0 11634.5 NA 339 140 0 NA NA NA NA 1560 1112 0 NA NA NA NA 5292 3487 371 NA NA NA NA 3231 2594 404 NA NA NA
1617656400.0 11634.502 NA 324 181 0 NA NA NA NA 1561 4639 0 NA NA NA NA 6022 3545 276 NA NA NA NA 3414 2782 303 NA NA NA
1617656400.0 11634.522 NA 334 182 0 NA NA NA NA 1548 4546 0 NA NA NA NA 5536 2736 343 NA NA NA NA 3289 2558 376 NA NA NA
1617656400.0 11650.501 NA 325 146 0 NA NA NA NA 1542 1107 0 NA NA NA NA 5464 3534 363 NA NA NA NA 3259 2675 393 NA NA NA
