Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1617310800.0 1.0 87 109 249 NA NA NA NA NA NA 1052 1028 1384 NA NA NA NA NA NA 3770 1184 2614 NA NA NA NA NA NA 1632 471 1791 NA NA NA NA NA NA
1617310800.0 10.0 NA 139 341 0 NA NA NA NA NA NA 1107 1489 0 NA NA NA NA NA NA 6543 11929 1593 NA NA NA NA NA NA 1935 6290 1655 NA NA NA NA NA
1617310800.0 1000.0 NA 326 178 0 93 NA NA NA NA NA 1471 1156 0 995 NA NA NA NA NA 11691 3233 744 458 NA NA NA NA NA 5494 1725 777 364 NA NA NA NA
1617310800.0 10001.0 NA 223 423 0 99 219 NA NA NA NA 1235 1646 0 1031 1194 NA NA NA NA 7260 8421 2557 964 1928 NA NA NA NA 2108 5949 2738 807 1770 NA NA NA
1617310800.0 10002.0 NA 223 419 0 125 238 NA NA NA NA 1246 1618 0 1035 1230 NA NA NA NA 6660 7782 2402 969 1988 NA NA NA NA 1916 5288 2434 836 1803 NA NA NA
1617310800.0 10003.0 NA 225 410 0 102 242 NA NA NA NA 1260 1648 0 1037 1254 NA NA NA NA 9012 7213 2171 1072 1500 NA NA NA NA 2580 5134 2210 934 1454 NA NA NA
1617310800.0 10004.0 NA 222 418 0 98 218 NA NA NA NA 1228 1644 0 1033 1188 NA NA NA NA 6769 8294 2674 1720 1742 NA NA NA NA 1962 5657 2708 1362 1590 NA NA NA
1617310800.0 10005.0 NA 223 418 0 98 240 NA NA NA NA 1229 1646 0 1035 1234 NA NA NA NA 7428 7767 2372 890 1840 NA NA NA NA 2133 5363 2406 748 1692 NA NA NA
1617310800.0 10006.0 NA 224 413 0 102 209 NA NA NA NA 1270 1645 0 1028 1181 NA NA NA NA 8997 7064 1824 842 1780 NA NA NA NA 2574 5122 1855 693 1661 NA NA NA
1617310800.0 10007.0 NA 248 421 0 99 219 NA NA NA NA 1277 1648 0 1034 1181 NA NA NA NA 7709 6052 2100 747 1829 NA NA NA NA 2248 4278 2130 638 1806 NA NA NA
1617310800.0 10008.0 NA 244 416 0 98 230 NA NA NA NA 1280 1636 0 1042 1218 NA NA NA NA 7658 7322 2290 1042 1834 NA NA NA NA 2225 5158 2325 881 1793 NA NA NA
1617310800.0 10009.0 NA 229 415 0 99 239 NA NA NA NA 1281 1658 0 1039 1223 NA NA NA NA 7342 7075 1967 1075 1802 NA NA NA NA 2125 4621 1998 897 1634 NA NA NA
1617310800.0 1001.0 NA 297 134 0 0 0 0 0 0 NA 1459 1079 0 0 0 0 0 0 NA 9996 1117 137 123 142 497 196 464 NA 4969 590 153 139 156 525 218 478
1617310800.0 1001.2 NA 453 159 0 NA NA NA NA NA NA 1782 1154 0 NA NA NA NA NA NA 57556 6261 189 NA NA NA NA NA NA 17035 2571 215 NA NA NA NA NA
