Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617487200.0 10042.0 NA 247 424 0 100 243 NA 1266 1629 0 1042 1229 NA 8455 8535 2714 1065 1921 NA 3027 5876 2797 888 1828
1617487200.0 10059.0 NA 244 442 0 100 239 NA 1292 1660 0 1040 1233 NA 8564 11322 2754 1057 2131 NA 3020 6469 2833 863 1947
1617487200.0 10804.0 NA 210 422 0 95 242 NA 1218 1661 0 1028 1255 NA 8393 8639 2315 987 2206 NA 2442 6253 2380 838 2048
1617487200.0 10825.0 NA 224 416 0 104 247 NA 1275 1675 0 1035 1235 NA 6261 9352 3072 1158 2380 NA 1898 6111 3168 980 2178
1617487200.0 11602.0 NA 317 502 0 108 NA NA 1345 1674 0 1045 NA NA 5198 11454 3987 1207 NA NA 3226 7845 4086 1002 NA
1617487200.0 11604.0 NA 303 503 0 105 NA NA 1323 1632 0 1041 NA NA 5039 11066 3580 1233 NA NA 3109 7621 3666 1026 NA
1617487200.0 11608.0 NA 320 511 0 111 NA NA 1334 1658 0 1047 NA NA 5509 11342 3628 1504 NA NA 3584 8153 3696 1241 NA
1617487200.0 11609.0 NA 317 502 0 112 NA NA 1339 1658 0 1044 NA NA 5294 11268 3567 1355 NA NA 3211 7702 3660 1115 NA
1617487200.0 11634.0 NA 335 514 0 113 NA NA 1357 1621 0 1044 NA NA 5730 12179 4220 1592 NA NA 3439 8473 4299 1251 NA
1617487200.0 11634.24 NA 261 468 0 106 NA NA 1266 1599 0 1035 NA NA 3858 10036 3646 1079 NA NA 3059 7364 3715 919 NA
1617487200.0 11643.0 NA 327 516 0 110 NA NA 1344 1646 0 1044 NA NA 5383 12362 3754 1547 NA NA 3173 8765 3824 1235 NA
1617487200.0 11650.0 NA 329 508 0 113 NA NA 1355 1644 0 1043 NA NA 5483 11956 3868 1393 NA NA 3256 8104 3937 1125 NA
1617487200.0 12034.0 NA 339 516 0 NA NA NA 1372 1622 0 NA NA NA 5688 12212 3767 NA NA NA 3259 8217 3832 NA NA
1617487200.0 134.806 NA 69 370 0 NA NA NA 992 1533 0 NA NA NA 1045 32407 1290 NA NA NA 1150 12158 1342 NA NA
1617487200.0 134.807 NA 144 412 0 NA NA NA 1110 1588 0 NA NA NA 4154 33762 2063 NA NA NA 2311 11791 2194 NA NA
1617487200.0 136.728 NA 202 430 0 NA NA NA 1205 1601 0 NA NA NA 5595 40440 1243 NA NA NA 2662 14448 1304 NA NA
1617487200.0 136.801 NA 136 488 0 NA NA NA 1088 1704 0 NA NA NA 2551 38676 2077 NA NA NA 1562 13070 2147 NA NA
1617487200.0 149.0 78 202 411 0 NA NA 1003 1186 1636 0 NA NA 3118 5033 8991 2311 NA NA 1769 2540 6732 2371 NA NA
1617487200.0 23461.97 902 NA NA NA NA NA 2391 NA NA NA NA NA 58581 NA NA NA NA NA 17439 NA NA NA NA NA
